Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date										
D3	D-Glucosaminic Acid		0.449		WT		7/20/2016										
D4	"1,2-Propanediol"		0.261		WT		7/20/2016										
D5	Tween 40		0.135		WT		7/20/2016										
D6	a-Keto-Glutaric Acid		0.355		WT		7/20/2016										
D7	a-Keto-Butyric Acid		0.416		WT		7/20/2016										
D8	a-Methyl-D-Galactoside		0.298		WT		7/20/2016										
D9	a-D-Lactose		0.266		WT		7/20/2016										
D10	Lactulose		0.279		WT		7/20/2016										
D11	Sucrose		0.3		WT		7/20/2016										
D12	Uridine		0.243		WT		7/20/2016										
E1	L-Glutamine		0.432		WT		7/20/2016										
E2	M-Tartaric Acid		0.475		WT		7/20/2016										
E3	D-Glucose-1-Phosphate		0.312		WT		7/20/2016										
E4	D-Fructose-6-Phosphate		0.267		WT		7/20/2016										
E5	Tween 80		0.017		WT		7/20/2016										
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.268		WT		7/20/2016										
E7	a-Hydroxy Butyric Acid		0.519		WT		7/20/2016										
E8	b-Methyl-D-Glucoside		0.299		WT		7/20/2016										
E9	Adonitol		0.288		WT		7/20/2016										
E10	Maltotriose		0.273		WT		7/20/2016										
E11	2-Deoxy Adenosine		0.253		WT		7/20/2016										
E12	Adenosine		0.215		WT		7/20/2016										
F1	Glycil-L-Aspartic Acid		0.272		WT		7/20/2016										
F2	Citric Acid		0.577		WT		7/20/2016										
F3	M-Inositol		0.267		WT		7/20/2016										
F4	D-Threonine		0.453		WT		7/20/2016										
F5	Fumaric Acid		0.397		WT		7/20/2016										
F6	Bromo Succinic Acid		0.294		WT		7/20/2016										
F7	Propionic Acid		0.442		WT		7/20/2016										
F8	Mucic Acid		0.266		WT		7/20/2016										
F9	Glycolic Acid		0.28		WT		7/20/2016										
F10	Glyoxylic Acid		0.489		WT		7/20/2016										
F11	D-Cellobiose		0.289		WT		7/20/2016										
F12	Inosine		0.262		WT		7/20/2016										
G1	Glycil-L-Glutamic Acid		0.292		WT		7/20/2016										
G2	Tricarballylic Acid		0.302		WT		7/20/2016										
G3	L-Serine		0.461		WT		7/20/2016										
G4	L-Threonine		0.451		WT		7/20/2016										
G5	L-Alanine		0.366		WT		7/20/2016										
G6	L-Alanyl-Glycine		0.236		WT		7/20/2016										
G7	Acetoacetic Acid		0.338		WT		7/20/2016										
G8	N-Acetyl-b-D-Mannosamine		0.28		WT		7/20/2016										
G9	Mono Methyl Succinate		0.288		WT		7/20/2016										
G10	Methyl Pyruvate		0.211		WT		7/20/2016										
G11	D-Malic Acid		0.384		WT		7/20/2016										
G12	L-Malic Acid		0.387		WT		7/20/2016										
H1	Glycil-L-Proline		0.234		WT		7/20/2016										
H2	p-Hydroxy Phenyl Acetic Acid		0.252		WT		7/20/2016										
H3	m-Hydroxy Phenyl Acetic Acid		0.251		WT		7/20/2016										
H4	Tyramine		0.374		WT		7/20/2016										
H5	D-Psicose		0.269		WT		7/20/2016										
H6	L-Lyxose		0.311		WT		7/20/2016										
H7	Glucuronamide		0.297		WT		7/20/2016										
H8	Pyruvic Acid		0.29		WT		7/20/2016										
H9	L-Galactonic Acid-g-Lactone		0.293		WT		7/20/2016										
H10	D-Galacturonic Acid		0.303		WT		7/20/2016										
H11	Phenylethyl-amine		0.368		WT		7/20/2016										
H12	2-Aminoethanol		0.3728		WT		7/20/2016										
A1	Negative Control		0.274		WT		7/20/2016										
A2	Chondroitin Sulfate C		0.358		WT		7/20/2016										
A3	a-Cyclodextrin		0.546		WT		7/20/2016										
A4	b-Cyclodextrin		0.435		WT		7/20/2016										
A5	g-Cyclodextrin		0.269		WT		7/20/2016										
A6	Dextrin		0.106		WT		7/20/2016										
A7	Gelatin		0.188		WT		7/20/2016										
A8	Glycogen		0.149		WT	1	7/20/2016	3	4	5	6	7	8	9	10	11	12
A9	Inulin		0.241		WT	0	7/20/2016										
A10	Laminarin		0.198		WT		7/20/2016										
A11	Mannan		0.122		WT		7/20/2016										
A12	Pectin		0.193		WT		7/20/2016										
B1	N-Acetyl-D-Galactosamine		0.323		WT		7/20/2016										
B2	N-Acetyl-Neuraminic Acid		0.396		WT		7/20/2016										
B3	b-D-Allose		0.489		WT		7/20/2016										
B4	Amygdalin		0.303		WT		7/20/2016										
B5	D-Arabinose		0.422		WT		7/20/2016										
B6	D-Arabitol		0.517		WT		7/20/2016										
B7	L-Arabitol		0.306		WT		7/20/2016										
B8	Arbutin		0.334		WT		7/20/2016										
B9	2-Deoxy-D-Ribose		0.254		WT		7/20/2016										
B10	I-Erythritol		0.3		WT		7/20/2016										
B11	D-Fucose		0.373		WT		7/20/2016										
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.293		WT		7/20/2016										
C1	Gentiobiose		0.34		WT		7/20/2016										
C2	L-Glucose		0.422		WT		7/20/2016										
C3	Lactitol		0.357		WT		7/20/2016										
C4	D-Melezitose		0.357		WT		7/20/2016										
C5	Maltitol		0.317		WT		7/20/2016										
C6	a-Methyl-D-Glucoside		0.326		WT		7/20/2016										
C7	b-Methyl-D-Gactoside		0.315		WT		7/20/2016										
C8	3-Methyl-Glucose		0.3		WT		7/20/2016										
C9	b-Methyl-D-Glucuronic Acid		0.341		WT		7/20/2016										
C10	a-Methyl-D-Mannoside		0.325		WT		7/20/2016										
C11	b-Methyl-D-Xyloside		0.354		WT		7/20/2016										
C12	Palatinose		0.372		WT		7/20/2016										
D1	D-Raffinose		0.288		WT		7/20/2016										
D2	Salicin		0.313		WT		7/20/2016										
D3	Sedoheptulosa		0.354		WT		7/20/2016										
D4	L-Sorbose		0.347		WT		7/20/2016										
D5	Stachyose		0.305		WT		7/20/2016										
D6	D-Tagatose		0.374		WT		7/20/2016										
D7	Turanose		0.33		WT		7/20/2016										
D8	Xylitol		0.306		WT		7/20/2016										
D9	N-Acetyl-D-Glucosaminatol		0.303		WT		7/20/2016										
D10	g-Amino Butyric Acid		0.413		WT		7/20/2016										
D11	d-Amino Valeric Acid		0.341		WT		7/20/2016										
D12	Butyric Acid		0.426		WT		7/20/2016										
E1	Capric Acid		0.332		WT		7/20/2016										
E2	Caproic Acid		0.366		WT		7/20/2016										
E3	Citraconic Acid		0.62		WT		7/20/2016										
E4	Citramalic Acid		0.447		WT		7/20/2016										
E5	D-Glucosamine		0.325		WT		7/20/2016										
E6	2-Hydroxy Benzoic Acid		0.449		WT		7/20/2016										
E7	4-Hydroxy Benzoic Acid		0.301		WT		7/20/2016										
E8	b-Hydroxy Butyric Acid		0.407		WT		7/20/2016										
E9	g-Hydroxy Butyric Acid		0.339		WT		7/20/2016										
E10	a-Keto Valeric Acid		0.469		WT		7/20/2016										
E11	Itaconic Acid		0.453		WT		7/20/2016										
E12	5-Keto-D-Gluconic Acid		0.379		WT		7/20/2016										
F1	D-Lactic Acid Methyl Ester		0.331		WT		7/20/2016										
F2	Malonic Acid		0.484		WT		7/20/2016										
F3	Melibionic Acid		0.316		WT		7/20/2016										
F4	Oxalic Acid		0.304		WT		7/20/2016										
F5	Oxalomalic Acid		0.423		WT		7/20/2016										
F6	Quinic Acid		0.403		WT		7/20/2016										
F7	"D-Ribono-1,4-Lactone"		0.28		WT		7/20/2016										
F8	Sebacic Acid		0.305		WT		7/20/2016										
F9	Sorbic Acid		0.39		WT		7/20/2016										
F10	Succinamic Acid		0.31		WT		7/20/2016										
F11	D-Tartaric Acid		0.618		WT		7/20/2016										
F12	L-Tartaric Acid		0.442		WT		7/20/2016										
G1	Acetamide		0.306		WT		7/20/2016										
G2	L-Alaninamide		0.275		WT		7/20/2016										
G3	N-Acetyl-L-Glutamic Acid		0.375		WT		7/20/2016										
G4	L-Arginine		0.641		WT		7/20/2016										
G5	Glycine		0.44		WT		7/20/2016										
G6	L-Histidine		0.448		WT		7/20/2016										
G7	L-Homoserine		0.332		WT		7/20/2016										
G8	Hydroxy-L-Proline		0.541		WT		7/20/2016										
G9	L-Isoleucine		0.599		WT		7/20/2016										
G10	L-Leucine		0.378		WT		7/20/2016										
G11	L-Lysine		0.539		WT		7/20/2016										
G12	L-Methionine		0.461		WT		7/20/2016										
H1	L-Ornithine		0.562		WT		7/20/2016										
H2	Phenylalanine		0.281		WT		7/20/2016										
H3	L-Pyroglutamic Acid		0.404		WT		7/20/2016										
H4	L-Valine		0.394		WT		7/20/2016										
H5	"D,L-Carnitine"		0.368		WT		7/20/2016										
H6	Sec-Butylamine		0.405		WT		7/20/2016										
H7	"D,L-Octopamine"		0.334		WT		7/20/2016										
H8	Putrescine		0.411		WT		7/20/2016										
H9	Dihydroxy Acetone		0.352		WT		7/20/2016										
H10	"2,3-Butanediol"		0.351		WT		7/20/2016										
H11	"2,3-Butanone"		0.253		WT		7/20/2016										
H12	3-Hydroxy 2-Butanone		0.386		WT		7/20/2016										
A1	Negative Control		0.423		2049		7/20/2016										
A2	L-Arabinose		0.605		2049		7/20/2016										
A3	N-Acetyl-D-Glucosamine		0.305		2049		7/20/2016										
A4	D-Saccharic Acid		0.518		2049		7/20/2016										
A5	Succinic Acid		0.471		2049		7/20/2016										
A6	D-Galactose		0.518		2049		7/20/2016										
A7	L-Aspartic Acid		0.571		2049		7/20/2016										
A8	L-Proline		0.42		2049		7/20/2016										
A9	D-Alanine		0.411		2049		7/20/2016										
A10	D-Trehalose		0.418		2049		7/20/2016										
A11	D-Mannose		0.583		2049		7/20/2016										
A12	Dulcitol		0.426		2049		7/20/2016										
B1	D-Serine		0.545		2049		7/20/2016										
B2	D-Sorbitol		0.415		2049		7/20/2016										
B3	Glycerol		0.398		2049		7/20/2016										
B4	L-Fucose		0.401		2049		7/20/2016										
B5	D-Glucuronic Acid		0.416		2049		7/20/2016										
B6	D-Gluconic Acid		0.58		2049		7/20/2016										
B7	"D,L-a-Glycerol-Phosphate"		0.361		2049		7/20/2016										
B8	D-Xylose		0.55		2049		7/20/2016										
B9	L-Lactic Acid		0.485		2049		7/20/2016										
B10	Formic Acid		0.515		2049		7/20/2016										
B11	D-Mannitol		0.591		2049		7/20/2016										
B12	L-Glutamic Acid		0.477		2049		7/20/2016										
C1	D-Glucose-6-Phosphate		0.56		2049		7/20/2016										
C2	D-Galactonic Acid-g-Lactone		0.552		2049		7/20/2016										
C3	"D,L-Malic Acid"		0.431		2049		7/20/2016										
C4	D-Ribose		0.56		2049		7/20/2016										
C5	Tween 20		0.026		2049		7/20/2016										
C6	L-Rhamnose		0.396		2049		7/20/2016										
C7	D-Fructose		0.446		2049		7/20/2016										
C8	Acetic Acid		0.51		2049		7/20/2016										
C9	a-D-Glucose		0.558		2049		7/20/2016										
C10	Maltose		0.403		2049		7/20/2016										
C11	D-Melibiose		0.383		2049		7/20/2016										
C12	Thymidine		0.461		2049		7/20/2016										
D1	L-Asparagine		0.489		2049		7/20/2016										
D2	D-Aspartic Acid		0.519		2049		7/20/2016										
D3	D-Glucosaminic Acid		0.619		2049		7/20/2016										
D4	"1,2-Propanediol"		0.385		2049		7/20/2016										
D5	Tween 40		0.248		2049		7/20/2016										
D6	a-Keto-Glutaric Acid		0.422		2049		7/20/2016										
D7	a-Keto-Butyric Acid		0.548		2049		7/20/2016										
D8	a-Methyl-D-Galactoside		0.335		2049		7/20/2016										
D9	a-D-Lactose		0.346		2049		7/20/2016										
D10	Lactulose		0.383		2049		7/20/2016										
D11	Sucrose		0.389		2049		7/20/2016										
D12	Uridine		0.286		2049		7/20/2016										
E1	L-Glutamine		0.505		2049		7/20/2016										
E2	M-Tartaric Acid		0.712		2049		7/20/2016										
E3	D-Glucose-1-Phosphate		0.422		2049		7/20/2016										
E4	D-Fructose-6-Phosphate		0.41		2049		7/20/2016										
E5	Tween 80		0.017		2049		7/20/2016										
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.319		2049		7/20/2016										
E7	a-Hydroxy Butyric Acid		0.654		2049		7/20/2016										
E8	b-Methyl-D-Glucoside		0.371		2049		7/20/2016										
E9	Adonitol		0.393		2049		7/20/2016										
E10	Maltotriose		0.381		2049		7/20/2016										
E11	2-Deoxy Adenosine		0.344		2049		7/20/2016										
E12	Adenosine		0.261		2049		7/20/2016										
F1	Glycil-L-Aspartic Acid		0.421		2049		7/20/2016										
F2	Citric Acid		0.574		2049		7/20/2016										
F3	M-Inositol		0.386		2049		7/20/2016										
F4	D-Threonine		0.541		2049		7/20/2016										
F5	Fumaric Acid		0.433		2049		7/20/2016										
F6	Bromo Succinic Acid		0.35		2049		7/20/2016										
F7	Propionic Acid		0.591		2049		7/20/2016										
F8	Mucic Acid		0.263		2049		7/20/2016										
F9	Glycolic Acid		0.384		2049		7/20/2016										
F10	Glyoxylic Acid		0.496		2049		7/20/2016										
F11	D-Cellobiose		0.385		2049		7/20/2016										
F12	Inosine		0.284		2049		7/20/2016										
G1	Glycil-L-Glutamic Acid		0.413		2049		7/20/2016										
G2	Tricarballylic Acid		0.428		2049		7/20/2016										
G3	L-Serine		0.553		2049		7/20/2016										
G4	L-Threonine		0.566		2049		7/20/2016										
G5	L-Alanine		0.432		2049		7/20/2016										
G6	L-Alanyl-Glycine		0.285		2049		7/20/2016										
G7	Acetoacetic Acid		0.388		2049		7/20/2016										
G8	N-Acetyl-b-D-Mannosamine		0.367		2049		7/20/2016										
G9	Mono Methyl Succinate		0.4		2049		7/20/2016										
G10	Methyl Pyruvate		0.283		2049		7/20/2016										
G11	D-Malic Acid		0.495		2049		7/20/2016										
G12	L-Malic Acid		0.416		2049		7/20/2016										
H1	Glycil-L-Proline		0.348		2049		7/20/2016										
H2	p-Hydroxy Phenyl Acetic Acid		0.388		2049		7/20/2016										
H3	m-Hydroxy Phenyl Acetic Acid		0.403		2049		7/20/2016										
H4	Tyramine		0.557		2049		7/20/2016										
H5	D-Psicose		0.379		2049		7/20/2016										
H6	L-Lyxose		0.54		2049		7/20/2016										
H7	Glucuronamide		0.364		2049		7/20/2016										
H8	Pyruvic Acid		0.402		2049		7/20/2016										
H9	L-Galactonic Acid-g-Lactone		0.39		2049		7/20/2016										
H10	D-Galacturonic Acid		0.491		2049		7/20/2016										
H11	Phenylethyl-amine		0.623		2049		7/20/2016										
H12	2-Aminoethanol		0.505		2049		7/20/2016										
A1	Negative Control		0.424		2049		7/20/2016										
A2	Chondroitin Sulfate C		0.493		2049		7/20/2016										
A3	a-Cyclodextrin		0.493		2049		7/20/2016										
A4	b-Cyclodextrin		0.446		2049		7/20/2016										
A5	g-Cyclodextrin		0.4		2049		7/20/2016										
A6	Dextrin		0.232		2049		7/20/2016										
A7	Gelatin		0.36		2049		7/20/2016										
A8	Glycogen		0.308		2049		7/20/2016										
A9	Inulin		0.375		2049		7/20/2016										
A10	Laminarin		0.331		2049		7/20/2016										
A11	Mannan		0.252		2049		7/20/2016										
A12	Pectin		0.304		2049		7/20/2016										
B1	N-Acetyl-D-Galactosamine		0.418		2049		7/20/2016										
B2	N-Acetyl-Neuraminic Acid		0.442		2049		7/20/2016										
B3	b-D-Allose		0.53		2049		7/20/2016										
B4	Amygdalin		0.457		2049		7/20/2016										
B5	D-Arabinose		0.537		2049		7/20/2016										
B6	D-Arabitol		0.573		2049		7/20/2016										
B7	L-Arabitol		0.442		2049		7/20/2016										
B8	Arbutin		0.48		2049		7/20/2016										
B9	2-Deoxy-D-Ribose		0.382		2049		7/20/2016										
B10	I-Erythritol		0.423		2049		7/20/2016										
B11	D-Fucose		0.5		2049		7/20/2016										
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.324		2049		7/20/2016										
C1	Gentiobiose		0.475		2049		7/20/2016										
C2	L-Glucose		0.52		2049		7/20/2016										
C3	Lactitol		0.457		2049		7/20/2016										
C4	D-Melezitose		0.447		2049		7/20/2016										
C5	Maltitol		0.447		2049		7/20/2016										
C6	a-Methyl-D-Glucoside		0.413		2049		7/20/2016										
C7	b-Methyl-D-Gactoside		0.426		2049		7/20/2016										
C8	3-Methyl-Glucose		0.385		2049		7/20/2016										
C9	b-Methyl-D-Glucuronic Acid		0.398		2049		7/20/2016										
C10	a-Methyl-D-Mannoside		0.45		2049		7/20/2016										
C11	b-Methyl-D-Xyloside		0.494		2049		7/20/2016										
C12	Palatinose		0.463		2049		7/20/2016										
D1	D-Raffinose		0.441		2049		7/20/2016										
D2	Salicin		0.436		2049		7/20/2016										
D3	Sedoheptulosa		0.411		2049		7/20/2016										
D4	L-Sorbose		0.458		2049		7/20/2016										
D5	Stachyose		0.409		2049		7/20/2016										
D6	D-Tagatose		0.462		2049		7/20/2016										
D7	Turanose		0.414		2049		7/20/2016										
D8	Xylitol		0.439		2049		7/20/2016										
D9	N-Acetyl-D-Glucosaminatol		0.361		2049		7/20/2016										
D10	g-Amino Butyric Acid		0.464		2049		7/20/2016										
D11	d-Amino Valeric Acid		0.48		2049		7/20/2016										
D12	Butyric Acid		0.643		2049		7/20/2016										
E1	Capric Acid		0.474		2049		7/20/2016										
E2	Caproic Acid		0.485		2049		7/20/2016										
E3	Citraconic Acid		0.568		2049		7/20/2016										
E4	Citramalic Acid		0.514		2049		7/20/2016										
E5	D-Glucosamine		0.377		2049		7/20/2016										
E6	2-Hydroxy Benzoic Acid		0.556		2049		7/20/2016										
E7	4-Hydroxy Benzoic Acid		0.409		2049		7/20/2016										
E8	b-Hydroxy Butyric Acid		0.525		2049		7/20/2016										
E9	g-Hydroxy Butyric Acid		0.509		2049		7/20/2016										
E10	a-Keto Valeric Acid		0.499		2049		7/20/2016										
E11	Itaconic Acid		0.619		2049		7/20/2016										
E12	5-Keto-D-Gluconic Acid		0.42		2049		7/20/2016										
F1	D-Lactic Acid Methyl Ester		0.503		2049		7/20/2016										
F2	Malonic Acid		0.557		2049		7/20/2016										
F3	Melibionic Acid		0.199		2049		7/20/2016										
F4	Oxalic Acid		0.305		2049		7/20/2016										
F5	Oxalomalic Acid		0.477		2049		7/20/2016										
F6	Quinic Acid		0.466		2049		7/20/2016										
F7	"D-Ribono-1,4-Lactone"		0.404		2049		7/20/2016										
F8	Sebacic Acid		0.377		2049		7/20/2016										
F9	Sorbic Acid		0.369		2049		7/20/2016										
F10	Succinamic Acid		0.37		2049		7/20/2016										
F11	D-Tartaric Acid		0.646		2049		7/20/2016										
F12	L-Tartaric Acid		0.527		2049		7/20/2016										
G1	Acetamide		0.438		2049		7/20/2016										
G2	L-Alaninamide		0.404		2049		7/20/2016										
G3	N-Acetyl-L-Glutamic Acid		0.44		2049		7/20/2016										
G4	L-Arginine		0.643		2049		7/20/2016										
G5	Glycine		0.439		2049		7/20/2016										
G6	L-Histidine		0.588		2049		7/20/2016										
G7	L-Homoserine		0.155		2049		7/20/2016										
G8	Hydroxy-L-Proline		0.64		2049		7/20/2016										
G9	L-Isoleucine		0.716		2049		7/20/2016										
G10	L-Leucine		0.483		2049		7/20/2016										
G11	L-Lysine		0.697		2049		7/20/2016										
G12	L-Methionine		0.567		2049		7/20/2016										
H1	L-Ornithine		0.681		2049		7/20/2016										
H2	Phenylalanine		0.443		2049		7/20/2016										
H3	L-Pyroglutamic Acid		0.596		2049		7/20/2016										
H4	L-Valine		0.49		2049		7/20/2016										
H5	"D,L-Carnitine"		0.48		2049		7/20/2016										
H6	Sec-Butylamine		0.506		2049		7/20/2016										
H7	"D,L-Octopamine"		0.473		2049		7/20/2016										
H8	Putrescine		0.551		2049		7/20/2016										
H9	Dihydroxy Acetone		0.48		2049		7/20/2016										
H10	"2,3-Butanediol"		0.483		2049		7/20/2016										
H11	"2,3-Butanone"		0.375		2049		7/20/2016										
H12	3-Hydroxy 2-Butanone		0.45		2049		7/20/2016										
A1	Negative Control		0.358		4084		7/20/2016										
A2	L-Arabinose		0.524		4084		7/20/2016										
A3	N-Acetyl-D-Glucosamine		0.246		4084		7/20/2016										
A4	D-Saccharic Acid		0.466		4084		7/20/2016										
A5	Succinic Acid		0.375		4084		7/20/2016										
A6	D-Galactose		0.453		4084		7/20/2016										
A7	L-Aspartic Acid		0.514		4084		7/20/2016										
A8	L-Proline		0.362		4084		7/20/2016										
A9	D-Alanine		0.334		4084		7/20/2016										
A10	D-Trehalose		0.343		4084		7/20/2016										
A11	D-Mannose		0.478		4084		7/20/2016										
A12	Dulcitol		0.35		4084		7/20/2016										
B1	D-Serine		0.404		4084		7/20/2016										
B2	D-Sorbitol		0.338		4084		7/20/2016										
B3	Glycerol		0.319		4084		7/20/2016										
B4	L-Fucose		0.348		4084		7/20/2016										
B5	D-Glucuronic Acid		0.3		4084		7/20/2016										
B6	D-Gluconic Acid		0.444		4084		7/20/2016										
B7	"D,L-a-Glycerol-Phosphate"		0.305		4084		7/20/2016										
B8	D-Xylose		0.527		4084		7/20/2016										
B9	L-Lactic Acid		0.364		4084		7/20/2016										
B10	Formic Acid		0.401		4084		7/20/2016										
B11	D-Mannitol		0.503		4084		7/20/2016										
B12	L-Glutamic Acid		0.427		4084		7/20/2016										
C1	D-Glucose-6-Phosphate		0.454		4084		7/20/2016										
C2	D-Galactonic Acid-g-Lactone		0.446		4084		7/20/2016										
C3	"D,L-Malic Acid"		0.366		4084		7/20/2016										
C4	D-Ribose		0.479		4084		7/20/2016										
C5	Tween 20		0.024		4084		7/20/2016										
C6	L-Rhamnose		0.352		4084		7/20/2016										
C7	D-Fructose		0.371		4084		7/20/2016										
C8	Acetic Acid		0.452		4084		7/20/2016										
C9	a-D-Glucose		0.411		4084		7/20/2016										
C10	Maltose		0.348		4084		7/20/2016										
C11	D-Melibiose		0.345		4084		7/20/2016										
C12	Thymidine		0.359		4084		7/20/2016										
D1	L-Asparagine		0.414		4084		7/20/2016										
D2	D-Aspartic Acid		0.346		4084		7/20/2016										
D3	D-Glucosaminic Acid		0.463		4084		7/20/2016										
D4	"1,2-Propanediol"		0.32		4084		7/20/2016										
D5	Tween 40		0.184		4084		7/20/2016										
D6	a-Keto-Glutaric Acid		0.292		4084		7/20/2016										
D7	a-Keto-Butyric Acid		0.522		4084		7/20/2016										
D8	a-Methyl-D-Galactoside		0.31		4084		7/20/2016										
D9	a-D-Lactose		0.314		4084		7/20/2016										
D10	Lactulose		0.339		4084		7/20/2016										
D11	Sucrose		0.332		4084		7/20/2016										
D12	Uridine		0.248		4084		7/20/2016										
E1	L-Glutamine		0.429		4084		7/20/2016										
E2	M-Tartaric Acid		0.647		4084		7/20/2016										
E3	D-Glucose-1-Phosphate		0.339		4084		7/20/2016										
E4	D-Fructose-6-Phosphate		0.343		4084		7/20/2016										
E5	Tween 80		0.015		4084		7/20/2016										
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.289		4084		7/20/2016										
E7	a-Hydroxy Butyric Acid		0.622		4084		7/20/2016										
E8	b-Methyl-D-Glucoside		0.339		4084		7/20/2016										
E9	Adonitol		0.362		4084		7/20/2016										
E10	Maltotriose		0.348		4084		7/20/2016										
E11	2-Deoxy Adenosine		0.31		4084		7/20/2016										
E12	Adenosine		0.22		4084		7/20/2016										
F1	Glycil-L-Aspartic Acid		0.326		4084		7/20/2016										
F2	Citric Acid		0.482		4084		7/20/2016										
F3	M-Inositol		0.299		4084		7/20/2016										
F4	D-Threonine		0.471		4084		7/20/2016										
F5	Fumaric Acid		0.343		4084		7/20/2016										
F6	Bromo Succinic Acid		0.313		4084		7/20/2016										
F7	Propionic Acid		0.505		4084		7/20/2016										
F8	Mucic Acid		0.225		4084		7/20/2016										
F9	Glycolic Acid		0.327		4084		7/20/2016										
F10	Glyoxylic Acid		0.372		4084		7/20/2016										
F11	D-Cellobiose		0.322		4084		7/20/2016										
F12	Inosine		0.246		4084		7/20/2016										
G1	Glycil-L-Glutamic Acid		0.329		4084		7/20/2016										
G2	Tricarballylic Acid		0.354		4084		7/20/2016										
G3	L-Serine		0.464		4084		7/20/2016										
G4	L-Threonine		0.499		4084		7/20/2016										
G5	L-Alanine		0.386		4084		7/20/2016										
G6	L-Alanyl-Glycine		0.232		4084		7/20/2016										
G7	Acetoacetic Acid		0.336		4084		7/20/2016										
G8	N-Acetyl-b-D-Mannosamine		0.308		4084		7/20/2016										
G9	Mono Methyl Succinate		0.36		4084		7/20/2016										
G10	Methyl Pyruvate		0.227		4084		7/20/2016										
G11	D-Malic Acid		0.404		4084		7/20/2016										
G12	L-Malic Acid		0.359		4084		7/20/2016										
H1	Glycil-L-Proline		0.285		4084		7/20/2016										
H2	p-Hydroxy Phenyl Acetic Acid		0.317		4084		7/20/2016										
H3	m-Hydroxy Phenyl Acetic Acid		0.318		4084		7/20/2016										
H4	Tyramine		0.505		4084		7/20/2016										
H5	D-Psicose		0.37		4084		7/20/2016										
H6	L-Lyxose		0.41		4084		7/20/2016										
H7	Glucuronamide		0.321		4084		7/20/2016										
H8	Pyruvic Acid		0.339		4084		7/20/2016										
H9	L-Galactonic Acid-g-Lactone		0.344		4084		7/20/2016										
H10	D-Galacturonic Acid		0.388		4084		7/20/2016										
H11	Phenylethyl-amine		0.486		4084		7/20/2016										
H12	2-Aminoethanol		0.435		4084		7/20/2016										
A1	Negative Control		0.359		4084		7/20/2016										
A2	Chondroitin Sulfate C		0.445		4084		7/20/2016										
A3	a-Cyclodextrin		0.46		4084		7/20/2016										
A4	b-Cyclodextrin		0.431		4084		7/20/2016										
A5	g-Cyclodextrin		0.352		4084		7/20/2016										
A6	Dextrin		0.144		4084		7/20/2016										
A7	Gelatin		0.329		4084		7/20/2016										
A8	Glycogen		0.227		4084		7/20/2016										
A9	Inulin		0.341		4084		7/20/2016										
A10	Laminarin		0.302		4084		7/20/2016										
A11	Mannan		0.211		4084		7/20/2016										
A12	Pectin		0.307		4084		7/20/2016										
B1	N-Acetyl-D-Galactosamine		0.374		4084		7/20/2016										
B2	N-Acetyl-Neuraminic Acid		0.408		4084		7/20/2016										
B3	b-D-Allose		0.489		4084		7/20/2016										
