Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
G7	L-Homoserine		0.29		WT	PM2A	3/7/16					
G8	Hydroxy-L-Proline		0.434		WT	PM2A	3/7/16					
G9	L-Isoleucine		0.526		WT	PM2A	3/7/16					
G10	L-Leucine		0.406		WT	PM2A	3/7/16					
G11	L-Lysine		0.347		WT	PM2A	3/7/16					
G12	L-Methionine		0.382		WT	PM2A	3/7/16					
H1	L-Ornithine		0.48		WT	PM2A	3/7/16					
H2	Phenylalanine		0.3		WT	PM2A	3/7/16					
H3	L-Pyroglutamic Acid		0.344		WT	PM2A	3/7/16					
H4	L-Valine		0.345		WT	PM2A	3/7/16					
H5	"D,L-Carnitine"		0.345		WT	PM2A	3/7/16					
H6	Sec-Butylamine		0.451		WT	PM2A	3/7/16					
H7	"D,L-Octopamine"		0.337		WT	PM2A	3/7/16					
H8	Putrescine		0.36		WT	PM2A	3/7/16					
H9	Dihydroxy Acetone		0.284		WT	PM2A	3/7/16					
H10	"2,3-Butanediol"		0.353		WT	PM2A	3/7/16					
H11	"2,3-Butanone"		0.268		WT	PM2A	3/7/16					
H12	3-Hydroxy 2-Butanone		0.336		WT	PM2A	3/7/16					
A1	Negative Control		0.273		wspR	PM2A	3/7/16					
A2	Chondroitin Sulfate C		0.324		wspR	PM2A	3/7/16					
A3	a-Cyclodextrin		0.272		wspR	PM2A	3/7/16					
A4	b-Cyclodextrin		0.265		wspR	PM2A	3/7/16					
A5	g-Cyclodextrin		0.32		wspR	PM2A	3/7/16					
A6	Dextrin		0.075		wspR	PM2A	3/7/16					
A7	Gelatin		0.188		wspR	PM2A	3/7/16					
A8	Glycogen		0.128		wspR	PM2A	3/7/16					
A9	Inulin		0.264		wspR	PM2A	3/7/16					
A10	Laminarin		0.2		wspR	PM2A	3/7/16					
A11	Mannan		0.064		wspR	PM2A	3/7/16					
A12	Pectin		0.199		wspR	PM2A	3/7/16					
B1	N-Acetyl-D-Galactosamine		0.274		wspR	PM2A	3/7/16					
B2	N-Acetyl-Neuraminic Acid		0.316		wspR	PM2A	3/7/16					
B3	b-D-Allose		0.263		wspR	PM2A	3/7/16					
B4	Amygdalin		0.228		wspR	PM2A	3/7/16					
B5	D-Arabinose		0.309		wspR	PM2A	3/7/16					
B6	D-Arabitol		0.314		wspR	PM2A	3/7/16					
B7	L-Arabitol		0.28		wspR	PM2A	3/7/16					
B8	Arbutin		0.276		wspR	PM2A	3/7/16					
B9	2-Deoxy-D-Ribose		0.187		wspR	PM2A	3/7/16					
B10	I-Erythritol		0.23		wspR	PM2A	3/7/16					
B11	D-Fucose		0.272		wspR	PM2A	3/7/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.262		wspR	PM2A	3/7/16					
C1	Gentiobiose		0.245		wspR	PM2A	3/7/16					
C2	L-Glucose		0.314		wspR	PM2A	3/7/16					
C3	Lactitol		0.242		wspR	PM2A	3/7/16					
C4	D-Melezitose		0.263		wspR	PM2A	3/7/16					
C5	Maltitol		0.262		wspR	PM2A	3/7/16					
C6	a-Methyl-D-Glucoside		0.265		wspR	PM2A	3/7/16					
C7	b-Methyl-D-Gactoside		0.248		wspR	PM2A	3/7/16					
C8	3-Methyl-Glucose		0.251		wspR	PM2A	3/7/16					
C9	b-Methyl-D-Glucuronic Acid		0.215		wspR	PM2A	3/7/16					
C10	a-Methyl-D-Mannoside		0.234		wspR	PM2A	3/7/16					
C11	b-Methyl-D-Xyloside		0.24		wspR	PM2A	3/7/16					
C12	Palatinose		0.307		wspR	PM2A	3/7/16					
D1	D-Raffinose		0.226		wspR	PM2A	3/7/16					
D2	Salicin		0.312		wspR	PM2A	3/7/16					
D3	Sedoheptulosa		0.252		wspR	PM2A	3/7/16					
D4	L-Sorbose		0.244		wspR	PM2A	3/7/16					
D5	Stachyose		0.238		wspR	PM2A	3/7/16					
D6	D-Tagatose		0.276		wspR	PM2A	3/7/16					
D7	Turanose		0.233		wspR	PM2A	3/7/16					
D8	Xylitol		0.253		wspR	PM2A	3/7/16					
D9	N-Acetyl-D-Glucosaminatol		0.243		wspR	PM2A	3/7/16					
D10	g-Amino Butyric Acid		0.233		wspR	PM2A	3/7/16					
D11	d-Amino Valeric Acid		0.218		wspR	PM2A	3/7/16					
D12	Butyric Acid		0.337		wspR	PM2A	3/7/16					
E1	Capric Acid		0.275		wspR	PM2A	3/7/16					
E2	Caproic Acid		0.284		wspR	PM2A	3/7/16					
E3	Citraconic Acid		0.358		wspR	PM2A	3/7/16					
E4	Citramalic Acid		0.234		wspR	PM2A	3/7/16					
E5	D-Glucosamine		0.237		wspR	PM2A	3/7/16					
E6	2-Hydroxy Benzoic Acid		0.335		wspR	PM2A	3/7/16					
E7	4-Hydroxy Benzoic Acid		0.261		wspR	PM2A	3/7/16					
E8	b-Hydroxy Butyric Acid		0.244		wspR	PM2A	3/7/16					
E9	g-Hydroxy Butyric Acid		0.211		wspR	PM2A	3/7/16					
E10	a-Keto Valeric Acid		0.381		wspR	PM2A	3/7/16					
E11	Itaconic Acid		0.339		wspR	PM2A	3/7/16					
E12	5-Keto-D-Gluconic Acid		0.244		wspR	PM2A	3/7/16					
F1	D-Lactic Acid Methyl Ester		0.252		wspR	PM2A	3/7/16					
F2	Malonic Acid		0.238		wspR	PM2A	3/7/16					
F3	Melibionic Acid		0.212		wspR	PM2A	3/7/16					
F4	Oxalic Acid		0.251		wspR	PM2A	3/7/16					
F5	Oxalomalic Acid		0.261		wspR	PM2A	3/7/16					
F6	Quinic Acid		0.244		wspR	PM2A	3/7/16					
F7	"D-Ribono-1,4-Lactone"		0.233		wspR	PM2A	3/7/16					
F8	Sebacic Acid		0.278		wspR	PM2A	3/7/16					
F9	Sorbic Acid		0.165		wspR	PM2A	3/7/16					
F10	Succinamic Acid		0.221		wspR	PM2A	3/7/16					
F11	D-Tartaric Acid		0.448		wspR	PM2A	3/7/16					
F12	L-Tartaric Acid		0.342		wspR	PM2A	3/7/16					
G1	Acetamide		0.264		wspR	PM2A	3/7/16					
G2	L-Alaninamide		0.24		wspR	PM2A	3/7/16					
G3	N-Acetyl-L-Glutamic Acid		0.268		wspR	PM2A	3/7/16					
G4	L-Arginine		0.329		wspR	PM2A	3/7/16					
G5	Glycine		0.228		wspR	PM2A	3/7/16					
G6	L-Histidine		0.274		wspR	PM2A	3/7/16					
G7	L-Homoserine		0.139		wspR	PM2A	3/7/16					
G8	Hydroxy-L-Proline		0.37		wspR	PM2A	3/7/16					
G9	L-Isoleucine		0.328		wspR	PM2A	3/7/16					
G10	L-Leucine		0.216		wspR	PM2A	3/7/16					
G11	L-Lysine		0.306		wspR	PM2A	3/7/16					
G12	L-Methionine		0.288		wspR	PM2A	3/7/16					
H1	L-Ornithine		0.421		wspR	PM2A	3/7/16					
H2	Phenylalanine		0.206		wspR	PM2A	3/7/16					
H3	L-Pyroglutamic Acid		0.27		wspR	PM2A	3/7/16					
H4	L-Valine		0.228		wspR	PM2A	3/7/16					
H5	"D,L-Carnitine"		0.299		wspR	PM2A	3/7/16					
H6	Sec-Butylamine		0.345		wspR	PM2A	3/7/16					
H7	"D,L-Octopamine"		0.302		wspR	PM2A	3/7/16					
H8	Putrescine		0.293		wspR	PM2A	3/7/16					
H9	Dihydroxy Acetone		0.193		wspR	PM2A	3/7/16					
H10	"2,3-Butanediol"		0.236		wspR	PM2A	3/7/16					
H11	"2,3-Butanone"		0.167		wspR	PM2A	3/7/16					
H12	3-Hydroxy 2-Butanone		0.272		wspR	PM2A	3/7/16					
A1	Negative Control		0.434		3039	PM2A	3/7/16					
A2	Chondroitin Sulfate C		0.301		3039	PM2A	3/7/16					
A3	a-Cyclodextrin		0.461		3039	PM2A	3/7/16					
A4	b-Cyclodextrin		0.481		3039	PM2A	3/7/16					
A5	g-Cyclodextrin		0.416		3039	PM2A	3/7/16					
A6	Dextrin		0.077		3039	PM2A	3/7/16					
A7	Gelatin		0.305		3039	PM2A	3/7/16					
A8	Glycogen		0.126		3039	PM2A	3/7/16					
A9	Inulin		0.325		3039	PM2A	3/7/16					
A10	Laminarin		0.235		3039	PM2A	3/7/16					
A11	Mannan		0.078		3039	PM2A	3/7/16					
A12	Pectin		0.192		3039	PM2A	3/7/16					
B1	N-Acetyl-D-Galactosamine		0.455		3039	PM2A	3/7/16					
B2	N-Acetyl-Neuraminic Acid		0.504		3039	PM2A	3/7/16					
B3	b-D-Allose		0.462		3039	PM2A	3/7/16					
B4	Amygdalin		0.375		3039	PM2A	3/7/16					
B5	D-Arabinose		0.442		3039	PM2A	3/7/16					
B6	D-Arabitol		0.375		3039	PM2A	3/7/16					
B7	L-Arabitol		0.373		3039	PM2A	3/7/16					
B8	Arbutin		0.384		3039	PM2A	3/7/16					
B9	2-Deoxy-D-Ribose		0.283		3039	PM2A	3/7/16					
B10	I-Erythritol		0.306		3039	PM2A	3/7/16					
B11	D-Fucose		0.355		3039	PM2A	3/7/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.387		3039	PM2A	3/7/16					
C1	Gentiobiose		0.433		3039	PM2A	3/7/16					
C2	L-Glucose		0.488		3039	PM2A	3/7/16					
C3	Lactitol		0.416		3039	PM2A	3/7/16					
C4	D-Melezitose		0.409		3039	PM2A	3/7/16					
C5	Maltitol		0.373		3039	PM2A	3/7/16					
C6	a-Methyl-D-Glucoside		0.402		3039	PM2A	3/7/16					
C7	b-Methyl-D-Gactoside		0.395		3039	PM2A	3/7/16					
C8	3-Methyl-Glucose		0.399		3039	PM2A	3/7/16					
C9	b-Methyl-D-Glucuronic Acid		0.368		3039	PM2A	3/7/16					
C10	a-Methyl-D-Mannoside		0.381		3039	PM2A	3/7/16					
C11	b-Methyl-D-Xyloside		0.335		3039	PM2A	3/7/16					
C12	Palatinose		0.396		3039	PM2A	3/7/16					
D1	D-Raffinose		0.396		3039	PM2A	3/7/16					
D2	Salicin		0.406		3039	PM2A	3/7/16					
D3	Sedoheptulosa		0.421		3039	PM2A	3/7/16					
D4	L-Sorbose		0.4		3039	PM2A	3/7/16					
D5	Stachyose		0.379		3039	PM2A	3/7/16					
D6	D-Tagatose		0.37		3039	PM2A	3/7/16					
D7	Turanose		0.401		3039	PM2A	3/7/16					
D8	Xylitol		0.392		3039	PM2A	3/7/16					
D9	N-Acetyl-D-Glucosaminatol		0.35		3039	PM2A	3/7/16					
D10	g-Amino Butyric Acid		0.34		3039	PM2A	3/7/16					
D11	d-Amino Valeric Acid		0.266		3039	PM2A	3/7/16					
D12	Butyric Acid		0.664		3039	PM2A	3/7/16					
E1	Capric Acid		0.509		3039	PM2A	3/7/16					
E2	Caproic Acid		0.384		3039	PM2A	3/7/16					
E3	Citraconic Acid		0.594		3039	PM2A	3/7/16					
E4	Citramalic Acid		0.481		3039	PM2A	3/7/16					
E5	D-Glucosamine		0.343		3039	PM2A	3/7/16					
E6	2-Hydroxy Benzoic Acid		0.524		3039	PM2A	3/7/16					
E7	4-Hydroxy Benzoic Acid		0.377		3039	PM2A	3/7/16					
E8	b-Hydroxy Butyric Acid		0.466		3039	PM2A	3/7/16					
E9	g-Hydroxy Butyric Acid		0.42		3039	PM2A	3/7/16					
E10	a-Keto Valeric Acid		0.556		3039	PM2A	3/7/16					
E11	Itaconic Acid		0.533		3039	PM2A	3/7/16					
E12	5-Keto-D-Gluconic Acid		0.455		3039	PM2A	3/7/16					
F1	D-Lactic Acid Methyl Ester		0.336		3039	PM2A	3/7/16					
F2	Malonic Acid		0.538		3039	PM2A	3/7/16					
F3	Melibionic Acid		0.298		3039	PM2A	3/7/16					
F4	Oxalic Acid		0.39		3039	PM2A	3/7/16					
F5	Oxalomalic Acid		0.407		3039	PM2A	3/7/16					
F6	Quinic Acid		0.442		3039	PM2A	3/7/16					
F7	"D-Ribono-1,4-Lactone"		0.362		3039	PM2A	3/7/16					
F8	Sebacic Acid		0.364		3039	PM2A	3/7/16					
F9	Sorbic Acid		0.304		3039	PM2A	3/7/16					
F10	Succinamic Acid		0.367		3039	PM2A	3/7/16					
F11	D-Tartaric Acid		0.553		3039	PM2A	3/7/16					
F12	L-Tartaric Acid		0.514		3039	PM2A	3/7/16					
G1	Acetamide		0.428		3039	PM2A	3/7/16					
G2	L-Alaninamide		0.441		3039	PM2A	3/7/16					
G3	N-Acetyl-L-Glutamic Acid		0.452		3039	PM2A	3/7/16					
G4	L-Arginine		0.503		3039	PM2A	3/7/16					
G5	Glycine		0.28		3039	PM2A	3/7/16					
G6	L-Histidine		0.404		3039	PM2A	3/7/16					
G7	L-Homoserine		0.161		3039	PM2A	3/7/16					
G8	Hydroxy-L-Proline		0.465		3039	PM2A	3/7/16					
G9	L-Isoleucine		0.675		3039	PM2A	3/7/16					
G10	L-Leucine		0.416		3039	PM2A	3/7/16					
G11	L-Lysine		0.354		3039	PM2A	3/7/16					
G12	L-Methionine		0.482		3039	PM2A	3/7/16					
H1	L-Ornithine		0.667		3039	PM2A	3/7/16					
H2	Phenylalanine		0.441		3039	PM2A	3/7/16					
H3	L-Pyroglutamic Acid		0.495		3039	PM2A	3/7/16					
H4	L-Valine		0.559		3039	PM2A	3/7/16					
H5	"D,L-Carnitine"		0.48		3039	PM2A	3/7/16					
H6	Sec-Butylamine		0.518		3039	PM2A	3/7/16					
H7	"D,L-Octopamine"		0.421		3039	PM2A	3/7/16					
H8	Putrescine		0.457		3039	PM2A	3/7/16					
H9	Dihydroxy Acetone		0.477		3039	PM2A	3/7/16					
H10	"2,3-Butanediol"		0.426		3039	PM2A	3/7/16					
H11	"2,3-Butanone"		0.302		3039	PM2A	3/7/16					
H12	3-Hydroxy 2-Butanone		0.461		3039	PM2A	3/7/16					
A1	Negative Control		0.252		2295	PM2A	3/7/16					
A2	Chondroitin Sulfate C		0.299		2295	PM2A	3/7/16					
A3	a-Cyclodextrin		0.364		2295	PM2A	3/7/16					
A4	b-Cyclodextrin		0.326		2295	PM2A	3/7/16					
A5	g-Cyclodextrin		0.213		2295	PM2A	3/7/16					
A6	Dextrin		0.098		2295	PM2A	3/7/16					
A7	Gelatin		0.191		2295	PM2A	3/7/16					
A8	Glycogen		0.148		2295	PM2A	3/7/16					
A9	Inulin		0.232		2295	PM2A	3/7/16					
A10	Laminarin		0.268		2295	PM2A	3/7/16					
A11	Mannan		0.128		2295	PM2A	3/7/16					
A12	Pectin		0.247		2295	PM2A	3/7/16					
B1	N-Acetyl-D-Galactosamine		0.316		2295	PM2A	3/7/16					
B2	N-Acetyl-Neuraminic Acid		0.253		2295	PM2A	3/7/16					
B3	b-D-Allose		0.262		2295	PM2A	3/7/16					
B4	Amygdalin		0.245		2295	PM2A	3/7/16					
B5	D-Arabinose		0.201		2295	PM2A	3/7/16					
B6	D-Arabitol		0.398		2295	PM2A	3/7/16					
B7	L-Arabitol		0.246		2295	PM2A	3/7/16					
B8	Arbutin		0.273		2295	PM2A	3/7/16					
B9	2-Deoxy-D-Ribose		0.235		2295	PM2A	3/7/16					
B10	I-Erythritol		0.264		2295	PM2A	3/7/16					
B11	D-Fucose		0.286		2295	PM2A	3/7/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.4		2295	PM2A	3/7/16					
C1	Gentiobiose		0.262		2295	PM2A	3/7/16					
C2	L-Glucose		0.238		2295	PM2A	3/7/16					
C3	Lactitol		0.229		2295	PM2A	3/7/16					
C4	D-Melezitose		0.23		2295	PM2A	3/7/16					
C5	Maltitol		0.215		2295	PM2A	3/7/16					
C6	a-Methyl-D-Glucoside		0.236		2295	PM2A	3/7/16					
C7	b-Methyl-D-Gactoside		0.241		2295	PM2A	3/7/16					
C8	3-Methyl-Glucose		0.313		2295	PM2A	3/7/16					
C9	b-Methyl-D-Glucuronic Acid		0.262		2295	PM2A	3/7/16					
C10	a-Methyl-D-Mannoside		0.28		2295	PM2A	3/7/16					
C11	b-Methyl-D-Xyloside		0.268		2295	PM2A	3/7/16					
C12	Palatinose		0.294		2295	PM2A	3/7/16					
D1	D-Raffinose		0.282		2295	PM2A	3/7/16					
D2	Salicin		0.231		2295	PM2A	3/7/16					
D3	Sedoheptulosa		0.254		2295	PM2A	3/7/16					
D4	L-Sorbose		0.223		2295	PM2A	3/7/16					
D5	Stachyose		0.23		2295	PM2A	3/7/16					
D6	D-Tagatose		0.203		2295	PM2A	3/7/16					
D7	Turanose		0.242		2295	PM2A	3/7/16					
D8	Xylitol		0.262		2295	PM2A	3/7/16					
D9	N-Acetyl-D-Glucosaminatol		0.267		2295	PM2A	3/7/16					
D10	g-Amino Butyric Acid		0.342		2295	PM2A	3/7/16					
D11	d-Amino Valeric Acid		0.256		2295	PM2A	3/7/16					
D12	Butyric Acid		0.514		2295	PM2A	3/7/16					
E1	Capric Acid		0.482		2295	PM2A	3/7/16					
E2	Caproic Acid		0.296		2295	PM2A	3/7/16					
E3	Citraconic Acid		0.423		2295	PM2A	3/7/16					
E4	Citramalic Acid		0.4		2295	PM2A	3/7/16					
E5	D-Glucosamine		0.201		2295	PM2A	3/7/16					
E6	2-Hydroxy Benzoic Acid		0.449		2295	PM2A	3/7/16					
E7	4-Hydroxy Benzoic Acid		0.288		2295	PM2A	3/7/16					
E8	b-Hydroxy Butyric Acid		0.391		2295	PM2A	3/7/16					
E9	g-Hydroxy Butyric Acid		0.258		2295	PM2A	3/7/16					
E10	a-Keto Valeric Acid		0.448		2295	PM2A	3/7/16					
E11	Itaconic Acid		0.445		2295	PM2A	3/7/16					
E12	5-Keto-D-Gluconic Acid		0.343		2295	PM2A	3/7/16					
F1	D-Lactic Acid Methyl Ester		0.244		2295	PM2A	3/7/16					
F2	Malonic Acid		0.374		2295	PM2A	3/7/16					
F3	Melibionic Acid		0.193		2295	PM2A	3/7/16					
F4	Oxalic Acid		0.333		2295	PM2A	3/7/16					
F5	Oxalomalic Acid		0.375		2295	PM2A	3/7/16					
F6	Quinic Acid		0.367		2295	PM2A	3/7/16					
F7	"D-Ribono-1,4-Lactone"		0.195		2295	PM2A	3/7/16					
F8	Sebacic Acid		0.316		2295	PM2A	3/7/16					
F9	Sorbic Acid		0.24		2295	PM2A	3/7/16					
F10	Succinamic Acid		0.286		2295	PM2A	3/7/16					
F11	D-Tartaric Acid		0.469		2295	PM2A	3/7/16					
F12	L-Tartaric Acid		0.393		2295	PM2A	3/7/16					
G1	Acetamide		0.299		2295	PM2A	3/7/16					
G2	L-Alaninamide		0.236		2295	PM2A	3/7/16					
G3	N-Acetyl-L-Glutamic Acid		0.292		2295	PM2A	3/7/16					
G4	L-Arginine		0.497		2295	PM2A	3/7/16					
G5	Glycine		0.298		2295	PM2A	3/7/16					
G6	L-Histidine		0.366		2295	PM2A	3/7/16					
G7	L-Homoserine		0.166		2295	PM2A	3/7/16					
G8	Hydroxy-L-Proline		0.483		2295	PM2A	3/7/16					
G9	L-Isoleucine		0.483		2295	PM2A	3/7/16					
G10	L-Leucine		0.346		2295	PM2A	3/7/16					
G11	L-Lysine		0.353		2295	PM2A	3/7/16					
G12	L-Methionine		0.347		2295	PM2A	3/7/16					
H1	L-Ornithine		0.494		2295	PM2A	3/7/16					
H2	Phenylalanine		0.293		2295	PM2A	3/7/16					
H3	L-Pyroglutamic Acid		0.39		2295	PM2A	3/7/16					
H4	L-Valine		0.416		2295	PM2A	3/7/16					
H5	"D,L-Carnitine"		0.332		2295	PM2A	3/7/16					
H6	Sec-Butylamine		0.419		2295	PM2A	3/7/16					
H7	"D,L-Octopamine"		0.359		2295	PM2A	3/7/16					
H8	Putrescine		0.412		2295	PM2A	3/7/16					
H9	Dihydroxy Acetone		0.335		2295	PM2A	3/7/16					
H10	"2,3-Butanediol"		0.306		2295	PM2A	3/7/16					
H11	"2,3-Butanone"		0.229		2295	PM2A	3/7/16					
H12	3-Hydroxy 2-Butanone		0.301		2295	PM2A	3/7/16					
A1	Negative Control		0.356		0958	PM2A	3/7/16					
A2	Chondroitin Sulfate C		0.296		0958	PM2A	3/7/16					
A3	a-Cyclodextrin		0.423		0958	PM2A	3/7/16					
A4	b-Cyclodextrin		0.392		0958	PM2A	3/7/16					
A5	g-Cyclodextrin		0.35		0958	PM2A	3/7/16					
A6	Dextrin		0.072		0958	PM2A	3/7/16					
A7	Gelatin		0.145		0958	PM2A	3/7/16					
A8	Glycogen		0.12		0958	PM2A	3/7/16					
A9	Inulin		0.278		0958	PM2A	3/7/16					
A10	Laminarin		0.245		0958	PM2A	3/7/16					
A11	Mannan		0.108		0958	PM2A	3/7/16					
A12	Pectin		0.216		0958	PM2A	3/7/16					
B1	N-Acetyl-D-Galactosamine		0.359		0958	PM2A	3/7/16					
B2	N-Acetyl-Neuraminic Acid		0.414		0958	PM2A	3/7/16					
B3	b-D-Allose		0.411		0958	PM2A	3/7/16					
B4	Amygdalin		0.278		0958	PM2A	3/7/16					
B5	D-Arabinose		0.375		0958	PM2A	3/7/16					
B6	D-Arabitol		0.378		0958	PM2A	3/7/16					
B7	L-Arabitol		0.403		0958	PM2A	3/7/16					
B8	Arbutin		0.416		0958	PM2A	3/7/16					
B9	2-Deoxy-D-Ribose		0.221		0958	PM2A	3/7/16					
B10	I-Erythritol		0.375		0958	PM2A	3/7/16					
B11	D-Fucose		0.403		0958	PM2A	3/7/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.282		0958	PM2A	3/7/16					
C1	Gentiobiose		0.367		0958	PM2A	3/7/16					
C2	L-Glucose		0.447		0958	PM2A	3/7/16					
C3	Lactitol		0.391		0958	PM2A	3/7/16					
C4	D-Melezitose		0.36		0958	PM2A	3/7/16					
C5	Maltitol		0.372		0958	PM2A	3/7/16					
C6	a-Methyl-D-Glucoside		0.406		0958	PM2A	3/7/16					
C7	b-Methyl-D-Gactoside		0.398		0958	PM2A	3/7/16					
C8	3-Methyl-Glucose		0.353		0958	PM2A	3/7/16					
C9	b-Methyl-D-Glucuronic Acid		0.371		0958	PM2A	3/7/16					
C10	a-Methyl-D-Mannoside		0.43		0958	PM2A	3/7/16					
C11	b-Methyl-D-Xyloside		0.417		0958	PM2A	3/7/16					
C12	Palatinose		0.361		0958	PM2A	3/7/16					
D1	D-Raffinose		0.338		0958	PM2A	3/7/16					
D2	Salicin		0.347		0958	PM2A	3/7/16					
D3	Sedoheptulosa		0.381		0958	PM2A	3/7/16					
D4	L-Sorbose		0.363		0958	PM2A	3/7/16					
D5	Stachyose		0.357		0958	PM2A	3/7/16					
D6	D-Tagatose		0.327		0958	PM2A	3/7/16					
D7	Turanose		0.379		0958	PM2A	3/7/16					
D8	Xylitol		0.389		0958	PM2A	3/7/16					
D9	N-Acetyl-D-Glucosaminatol		0.324		0958	PM2A	3/7/16					
D10	g-Amino Butyric Acid		0.37		0958	PM2A	3/7/16					
