Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
E9	Adonitol		0.26		wspR	PM1	3/7/16					
E10	Maltotriose		0.271		wspR	PM1	3/7/16					
E11	2-Deoxy Adenosine		0.231		wspR	PM1	3/7/16					
E12	Adenosine		0.212		wspR	PM1	3/7/16					
F1	Glycil-L-Aspartic Acid		0.323		wspR	PM1	3/7/16					
F2	Citric Acid		0.409		wspR	PM1	3/7/16					
F3	M-Inositol		0.329		wspR	PM1	3/7/16					
F4	D-Threonine		0.384		wspR	PM1	3/7/16					
F5	Fumaric Acid		0.32		wspR	PM1	3/7/16					
F6	Bromo Succinic Acid		0.331		wspR	PM1	3/7/16					
F7	Propionic Acid		0.361		wspR	PM1	3/7/16					
F8	Mucic Acid		0.205		wspR	PM1	3/7/16					
F9	Glycolic Acid		0.32		wspR	PM1	3/7/16					
F10	Glyoxylic Acid		0.384		wspR	PM1	3/7/16					
F11	D-Cellobiose		0.283		wspR	PM1	3/7/16					
F12	Inosine		0.241		wspR	PM1	3/7/16					
G1	Glycil-L-Glutamic Acid		0.296		wspR	PM1	3/7/16					
G2	Tricarballylic Acid		0.445		wspR	PM1	3/7/16					
G3	L-Serine		0.365		wspR	PM1	3/7/16					
G4	L-Threonine		0.375		wspR	PM1	3/7/16					
G5	L-Alanine		0.291		wspR	PM1	3/7/16					
G6	L-Alanyl-Glycine		0.287		wspR	PM1	3/7/16					
G7	Acetoacetic Acid		0.296		wspR	PM1	3/7/16					
G8	N-Acetyl-b-D-Mannosamine		0.289		wspR	PM1	3/7/16					
G9	Mono Methyl Succinate		0.304		wspR	PM1	3/7/16					
G10	Methyl Pyruvate		0.214		wspR	PM1	3/7/16					
G11	D-Malic Acid		0.408		wspR	PM1	3/7/16					
G12	L-Malic Acid		0.293		wspR	PM1	3/7/16					
H1	Glycil-L-Proline		0.285		wspR	PM1	3/7/16					
H2	p-Hydroxy Phenyl Acetic Acid		0.338		wspR	PM1	3/7/16					
H3	m-Hydroxy Phenyl Acetic Acid		0.32		wspR	PM1	3/7/16					
H4	Tyramine		0.403		wspR	PM1	3/7/16					
H5	D-Psicose		0.318		wspR	PM1	3/7/16					
H6	L-Lyxose		0.314		wspR	PM1	3/7/16					
H7	Glucuronamide		0.263		wspR	PM1	3/7/16					
H8	Pyruvic Acid		0.276		wspR	PM1	3/7/16					
H9	L-Galactonic Acid-g-Lactone		0.274		wspR	PM1	3/7/16					
H10	D-Galacturonic Acid		0.337		wspR	PM1	3/7/16					
H11	Phenylethyl-amine		0.348		wspR	PM1	3/7/16					
H12	2-Aminoethanol		0.347		wspR	PM1	3/7/16					
A1	Negative Control		0.449		3039	PM1	3/7/16					
A2	L-Arabinose		0.478		3039	PM1	3/7/16					
A3	N-Acetyl-D-Glucosamine		0.374		3039	PM1	3/7/16					
A4	D-Saccharic Acid		0.56		3039	PM1	3/7/16					
A5	Succinic Acid		0.441		3039	PM1	3/7/16					
A6	D-Galactose		0.35		3039	PM1	3/7/16					
A7	L-Aspartic Acid		0.421		3039	PM1	3/7/16					
A8	L-Proline		0.354		3039	PM1	3/7/16					
A9	D-Alanine		0.318		3039	PM1	3/7/16					
A10	D-Trehalose		0.312		3039	PM1	3/7/16					
A11	D-Mannose		0.38		3039	PM1	3/7/16					
A12	Dulcitol		0.374		3039	PM1	3/7/16					
B1	D-Serine		0.306		3039	PM1	3/7/16					
B2	D-Sorbitol		0.374		3039	PM1	3/7/16					
B3	Glycerol		0.327		3039	PM1	3/7/16					
B4	L-Fucose		0.404		3039	PM1	3/7/16					
B5	D-Glucuronic Acid		0.416		3039	PM1	3/7/16					
B6	D-Gluconic Acid		0.381		3039	PM1	3/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.314		3039	PM1	3/7/16					
B8	D-Xylose		0.415		3039	PM1	3/7/16					
B9	L-Lactic Acid		0.337		3039	PM1	3/7/16					
B10	Formic Acid		0.334		3039	PM1	3/7/16					
B11	D-Mannitol		0.404		3039	PM1	3/7/16					
B12	L-Glutamic Acid		0.401		3039	PM1	3/7/16					
C1	D-Glucose-6-Phosphate		0.54		3039	PM1	3/7/16					
C2	D-Galactonic Acid-g-Lactone		0.444		3039	PM1	3/7/16					
C3	"D,L-Malic Acid"		0.398		3039	PM1	3/7/16					
C4	D-Ribose		0.424		3039	PM1	3/7/16					
C5	Tween 20		0.021		3039	PM1	3/7/16					
C6	L-Rhamnose		0.315		3039	PM1	3/7/16					
C7	D-Fructose		0.314		3039	PM1	3/7/16					
C8	Acetic Acid		0.441		3039	PM1	3/7/16					
C9	a-D-Glucose		0.421		3039	PM1	3/7/16					
C10	Maltose		0.292		3039	PM1	3/7/16					
C11	D-Melibiose		0.302		3039	PM1	3/7/16					
C12	Thymidine		0.366		3039	PM1	3/7/16					
D1	L-Asparagine		0.485		3039	PM1	3/7/16					
D2	D-Aspartic Acid		0.381		3039	PM1	3/7/16					
D3	D-Glucosaminic Acid		0.404		3039	PM1	3/7/16					
D4	"1,2-Propanediol"		0.314		3039	PM1	3/7/16					
D5	Tween 40		0.022		3039	PM1	3/7/16					
D6	a-Keto-Glutaric Acid		0.292		3039	PM1	3/7/16					
D7	a-Keto-Butyric Acid		0.566		3039	PM1	3/7/16					
D8	a-Methyl-D-Galactoside		0.269		3039	PM1	3/7/16					
D9	a-D-Lactose		0.29		3039	PM1	3/7/16					
D10	Lactulose		0.283		3039	PM1	3/7/16					
D11	Sucrose		0.262		3039	PM1	3/7/16					
D12	Uridine		0.238		3039	PM1	3/7/16					
E1	L-Glutamine		0.644		3039	PM1	3/7/16					
E2	M-Tartaric Acid		0.602		3039	PM1	3/7/16					
E3	D-Glucose-1-Phosphate		0.432		3039	PM1	3/7/16					
E4	D-Fructose-6-Phosphate		0.322		3039	PM1	3/7/16					
E5	Tween 80		0.024		3039	PM1	3/7/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.328		3039	PM1	3/7/16					
E7	a-Hydroxy Butyric Acid		0.552		3039	PM1	3/7/16					
E8	b-Methyl-D-Glucoside		0.33		3039	PM1	3/7/16					
E9	Adonitol		0.317		3039	PM1	3/7/16					
E10	Maltotriose		0.285		3039	PM1	3/7/16					
E11	2-Deoxy Adenosine		0.263		3039	PM1	3/7/16					
E12	Adenosine		0.215		3039	PM1	3/7/16					
F1	Glycil-L-Aspartic Acid		0.449		3039	PM1	3/7/16					
F2	Citric Acid		0.486		3039	PM1	3/7/16					
F3	M-Inositol		0.36		3039	PM1	3/7/16					
F4	D-Threonine		0.482		3039	PM1	3/7/16					
F5	Fumaric Acid		0.354		3039	PM1	3/7/16					
F6	Bromo Succinic Acid		0.35		3039	PM1	3/7/16					
F7	Propionic Acid		0.568		3039	PM1	3/7/16					
F8	Mucic Acid		0.241		3039	PM1	3/7/16					
F9	Glycolic Acid		0.496		3039	PM1	3/7/16					
F10	Glyoxylic Acid		0.458		3039	PM1	3/7/16					
F11	D-Cellobiose		0.293		3039	PM1	3/7/16					
F12	Inosine		0.274		3039	PM1	3/7/16					
G1	Glycil-L-Glutamic Acid		0.437		3039	PM1	3/7/16					
G2	Tricarballylic Acid		0.525		3039	PM1	3/7/16					
G3	L-Serine		0.537		3039	PM1	3/7/16					
G4	L-Threonine		0.508		3039	PM1	3/7/16					
G5	L-Alanine		0.361		3039	PM1	3/7/16					
G6	L-Alanyl-Glycine		0.23		3039	PM1	3/7/16					
G7	Acetoacetic Acid		0.332		3039	PM1	3/7/16					
G8	N-Acetyl-b-D-Mannosamine		0.293		3039	PM1	3/7/16					
G9	Mono Methyl Succinate		0.445		3039	PM1	3/7/16					
G10	Methyl Pyruvate		0.211		3039	PM1	3/7/16					
G11	D-Malic Acid		0.543		3039	PM1	3/7/16					
G12	L-Malic Acid		0.392		3039	PM1	3/7/16					
H1	Glycil-L-Proline		0.38		3039	PM1	3/7/16					
H2	p-Hydroxy Phenyl Acetic Acid		0.416		3039	PM1	3/7/16					
H3	m-Hydroxy Phenyl Acetic Acid		0.476		3039	PM1	3/7/16					
H4	Tyramine		0.525		3039	PM1	3/7/16					
H5	D-Psicose		0.401		3039	PM1	3/7/16					
H6	L-Lyxose		0.453		3039	PM1	3/7/16					
H7	Glucuronamide		0.301		3039	PM1	3/7/16					
H8	Pyruvic Acid		0.348		3039	PM1	3/7/16					
H9	L-Galactonic Acid-g-Lactone		0.375		3039	PM1	3/7/16					
H10	D-Galacturonic Acid		0.406		3039	PM1	3/7/16					
H11	Phenylethyl-amine		0.488		3039	PM1	3/7/16					
H12	2-Aminoethanol		0.474		3039	PM1	3/7/16					
A1	Negative Control		0.376		2295	PM1	3/7/16					
A2	L-Arabinose		0.495		2295	PM1	3/7/16					
A3	N-Acetyl-D-Glucosamine		0.358		2295	PM1	3/7/16					
A4	D-Saccharic Acid		0.526		2295	PM1	3/7/16					
A5	Succinic Acid		0.573		2295	PM1	3/7/16					
A6	D-Galactose		0.434		2295	PM1	3/7/16					
A7	L-Aspartic Acid		0.618		2295	PM1	3/7/16					
A8	L-Proline		0.435		2295	PM1	3/7/16					
A9	D-Alanine		0.348		2295	PM1	3/7/16					
A10	D-Trehalose		0.357		2295	PM1	3/7/16					
A11	D-Mannose		0.381		2295	PM1	3/7/16					
A12	Dulcitol		0.34		2295	PM1	3/7/16					
B1	D-Serine		0.159		2295	PM1	3/7/16					
B2	D-Sorbitol		0.361		2295	PM1	3/7/16					
B3	Glycerol		0.331		2295	PM1	3/7/16					
B4	L-Fucose		0.351		2295	PM1	3/7/16					
B5	D-Glucuronic Acid		0.375		2295	PM1	3/7/16					
B6	D-Gluconic Acid		0.579		2295	PM1	3/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.331		2295	PM1	3/7/16					
B8	D-Xylose		0.465		2295	PM1	3/7/16					
B9	L-Lactic Acid		0.459		2295	PM1	3/7/16					
B10	Formic Acid		0.369		2295	PM1	3/7/16					
B11	D-Mannitol		0.494		2295	PM1	3/7/16					
B12	L-Glutamic Acid		0.422		2295	PM1	3/7/16					
C1	D-Glucose-6-Phosphate		0.448		2295	PM1	3/7/16					
C2	D-Galactonic Acid-g-Lactone		0.469		2295	PM1	3/7/16					
C3	"D,L-Malic Acid"		0.514		2295	PM1	3/7/16					
C4	D-Ribose		0.396		2295	PM1	3/7/16					
C5	Tween 20		0.016		2295	PM1	3/7/16					
C6	L-Rhamnose		0.359		2295	PM1	3/7/16					
C7	D-Fructose		0.317		2295	PM1	3/7/16					
C8	Acetic Acid		0.498		2295	PM1	3/7/16					
C9	a-D-Glucose		0.515		2295	PM1	3/7/16					
C10	Maltose		0.355		2295	PM1	3/7/16					
C11	D-Melibiose		0.351		2295	PM1	3/7/16					
C12	Thymidine		0.161		2295	PM1	3/7/16					
D1	L-Asparagine		0.465		2295	PM1	3/7/16					
D2	D-Aspartic Acid		0.321		2295	PM1	3/7/16					
D3	D-Glucosaminic Acid		0.469		2295	PM1	3/7/16					
D4	"1,2-Propanediol"		0.32		2295	PM1	3/7/16					
D5	Tween 40		0.021		2295	PM1	3/7/16					
D6	a-Keto-Glutaric Acid		0.459		2295	PM1	3/7/16					
D7	a-Keto-Butyric Acid		0.576		2295	PM1	3/7/16					
D8	a-Methyl-D-Galactoside		0.346		2295	PM1	3/7/16					
D9	a-D-Lactose		0.336		2295	PM1	3/7/16					
D10	Lactulose		0.355		2295	PM1	3/7/16					
D11	Sucrose		0.341		2295	PM1	3/7/16					
D12	Uridine		0.29		2295	PM1	3/7/16					
E1	L-Glutamine		0.577		2295	PM1	3/7/16					
E2	M-Tartaric Acid		0.542		2295	PM1	3/7/16					
E3	D-Glucose-1-Phosphate		0.366		2295	PM1	3/7/16					
E4	D-Fructose-6-Phosphate		0.359		2295	PM1	3/7/16					
E5	Tween 80		0.015		2295	PM1	3/7/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.349		2295	PM1	3/7/16					
E7	a-Hydroxy Butyric Acid		0.661		2295	PM1	3/7/16					
E8	b-Methyl-D-Glucoside		0.341		2295	PM1	3/7/16					
E9	Adonitol		0.338		2295	PM1	3/7/16					
E10	Maltotriose		0.355		2295	PM1	3/7/16					
E11	2-Deoxy Adenosine		0.325		2295	PM1	3/7/16					
E12	Adenosine		0.168		2295	PM1	3/7/16					
F1	Glycil-L-Aspartic Acid		0.388		2295	PM1	3/7/16					
F2	Citric Acid		0.44		2295	PM1	3/7/16					
F3	M-Inositol		0.348		2295	PM1	3/7/16					
F4	D-Threonine		0.497		2295	PM1	3/7/16					
F5	Fumaric Acid		0.449		2295	PM1	3/7/16					
F6	Bromo Succinic Acid		0.386		2295	PM1	3/7/16					
F7	Propionic Acid		0.677		2295	PM1	3/7/16					
F8	Mucic Acid		0.322		2295	PM1	3/7/16					
F9	Glycolic Acid		0.445		2295	PM1	3/7/16					
F10	Glyoxylic Acid		0.454		2295	PM1	3/7/16					
F11	D-Cellobiose		0.356		2295	PM1	3/7/16					
F12	Inosine		0.156		2295	PM1	3/7/16					
G1	Glycil-L-Glutamic Acid		0.368		2295	PM1	3/7/16					
G2	Tricarballylic Acid		0.449		2295	PM1	3/7/16					
G3	L-Serine		0.598		2295	PM1	3/7/16					
G4	L-Threonine		0.431		2295	PM1	3/7/16					
G5	L-Alanine		0.427		2295	PM1	3/7/16					
G6	L-Alanyl-Glycine		0.224		2295	PM1	3/7/16					
G7	Acetoacetic Acid		0.285		2295	PM1	3/7/16					
G8	N-Acetyl-b-D-Mannosamine		0.333		2295	PM1	3/7/16					
G9	Mono Methyl Succinate		0.478		2295	PM1	3/7/16					
G10	Methyl Pyruvate		0.325		2295	PM1	3/7/16					
G11	D-Malic Acid		0.576		2295	PM1	3/7/16					
G12	L-Malic Acid		0.466		2295	PM1	3/7/16					
H1	Glycil-L-Proline		0.267		2295	PM1	3/7/16					
H2	p-Hydroxy Phenyl Acetic Acid		0.366		2295	PM1	3/7/16					
H3	m-Hydroxy Phenyl Acetic Acid		0.402		2295	PM1	3/7/16					
H4	Tyramine		0.462		2295	PM1	3/7/16					
H5	D-Psicose		0.34		2295	PM1	3/7/16					
H6	L-Lyxose		0.418		2295	PM1	3/7/16					
H7	Glucuronamide		0.268		2295	PM1	3/7/16					
H8	Pyruvic Acid		0.406		2295	PM1	3/7/16					
H9	L-Galactonic Acid-g-Lactone		0.36		2295	PM1	3/7/16					
H10	D-Galacturonic Acid		0.397		2295	PM1	3/7/16					
H11	Phenylethyl-amine		0.449		2295	PM1	3/7/16					
H12	2-Aminoethanol		0.431		2295	PM1	3/7/16					
A1	Negative Control		0.383		0958	PM1	3/7/16					
A2	L-Arabinose		0.453		0958	PM1	3/7/16					
A3	N-Acetyl-D-Glucosamine		0.386		0958	PM1	3/7/16					
A4	D-Saccharic Acid		0.584		0958	PM1	3/7/16					
A5	Succinic Acid		0.484		0958	PM1	3/7/16					
A6	D-Galactose		0.464		0958	PM1	3/7/16					
A7	L-Aspartic Acid		0.724		0958	PM1	3/7/16					
A8	L-Proline		0.441		0958	PM1	3/7/16					
A9	D-Alanine		0.33		0958	PM1	3/7/16					
A10	D-Trehalose		0.429		0958	PM1	3/7/16					
A11	D-Mannose		0.448		0958	PM1	3/7/16					
A12	Dulcitol		0.503		0958	PM1	3/7/16					
B1	D-Serine		0.229		0958	PM1	3/7/16					
B2	D-Sorbitol		0.385		0958	PM1	3/7/16					
B3	Glycerol		0.327		0958	PM1	3/7/16					
B4	L-Fucose		0.394		0958	PM1	3/7/16					
B5	D-Glucuronic Acid		0.402		0958	PM1	3/7/16					
B6	D-Gluconic Acid		0.628		0958	PM1	3/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.434		0958	PM1	3/7/16					
B8	D-Xylose		0.459		0958	PM1	3/7/16					
B9	L-Lactic Acid		0.477		0958	PM1	3/7/16					
B10	Formic Acid		0.44		0958	PM1	3/7/16					
B11	D-Mannitol		0.558		0958	PM1	3/7/16					
B12	L-Glutamic Acid		0.553		0958	PM1	3/7/16					
C1	D-Glucose-6-Phosphate		0.463		0958	PM1	3/7/16					
C2	D-Galactonic Acid-g-Lactone		0.512		0958	PM1	3/7/16					
C3	"D,L-Malic Acid"		0.555		0958	PM1	3/7/16					
C4	D-Ribose		0.393		0958	PM1	3/7/16					
C5	Tween 20		0.025		0958	PM1	3/7/16					
C6	L-Rhamnose		0.405		0958	PM1	3/7/16					
C7	D-Fructose		0.447		0958	PM1	3/7/16					
C8	Acetic Acid		0.466		0958	PM1	3/7/16					
C9	a-D-Glucose		0.543		0958	PM1	3/7/16					
C10	Maltose		0.451		0958	PM1	3/7/16					
C11	D-Melibiose		0.387		0958	PM1	3/7/16					
C12	Thymidine		0.556		0958	PM1	3/7/16					
D1	L-Asparagine		0.463		0958	PM1	3/7/16					
D2	D-Aspartic Acid		0.234		0958	PM1	3/7/16					
D3	D-Glucosaminic Acid		0.548		0958	PM1	3/7/16					
D4	"1,2-Propanediol"		0.373		0958	PM1	3/7/16					
D5	Tween 40		0.023		0958	PM1	3/7/16					
D6	a-Keto-Glutaric Acid		0.419		0958	PM1	3/7/16					
D7	a-Keto-Butyric Acid		0.672		0958	PM1	3/7/16					
D8	a-Methyl-D-Galactoside		0.374		0958	PM1	3/7/16					
D9	a-D-Lactose		0.402		0958	PM1	3/7/16					
D10	Lactulose		0.408		0958	PM1	3/7/16					
D11	Sucrose		0.402		0958	PM1	3/7/16					
D12	Uridine		0.455		0958	PM1	3/7/16					
E1	L-Glutamine		0.54		0958	PM1	3/7/16					
E2	M-Tartaric Acid		0.617		0958	PM1	3/7/16					
E3	D-Glucose-1-Phosphate		0.411		0958	PM1	3/7/16					
E4	D-Fructose-6-Phosphate		0.36		0958	PM1	3/7/16					
E5	Tween 80		0.022		0958	PM1	3/7/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.428		0958	PM1	3/7/16					
E7	a-Hydroxy Butyric Acid		0.702		0958	PM1	3/7/16					
E8	b-Methyl-D-Glucoside		0.425		0958	PM1	3/7/16					
E9	Adonitol		0.392		0958	PM1	3/7/16					
E10	Maltotriose		0.392		0958	PM1	3/7/16					
E11	2-Deoxy Adenosine		0.333		0958	PM1	3/7/16					
E12	Adenosine		0.404		0958	PM1	3/7/16					
F1	Glycil-L-Aspartic Acid		0.406		0958	PM1	3/7/16					
F2	Citric Acid		0.525		0958	PM1	3/7/16					
F3	M-Inositol		0.418		0958	PM1	3/7/16					
