Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.61		WT	PM1	5/4/17
E7	a-Hydroxy Butyric Acid		0.671		WT	PM1	5/4/17
E8	b-Methyl-D-Glucoside		0.544		WT	PM1	5/4/17
E9	Adonitol		0.503		WT	PM1	5/4/17
E10	Maltotriose		0.595		WT	PM1	5/4/17
E11	2-Deoxy Adenosine		0.606		WT	PM1	5/4/17
E12	Adenosine		0.494		WT	PM1	5/4/17
F1	Glycil-L-Aspartic Acid		0.471		WT	PM1	5/4/17
F2	Citric Acid		0.515		WT	PM1	5/4/17
F3	M-Inositol		0.492		WT	PM1	5/4/17
F4	D-Threonine		0.616		WT	PM1	5/4/17
F5	Fumaric Acid		0.381		WT	PM1	5/4/17
F6	Bromo Succinic Acid		0.712		WT	PM1	5/4/17
F7	Propionic Acid		0.637		WT	PM1	5/4/17
F8	Mucic Acid		0.34		WT	PM1	5/4/17
F9	Glycolic Acid		0.502		WT	PM1	5/4/17
F10	Glyoxylic Acid		0.796		WT	PM1	5/4/17
F11	D-Cellobiose		0.604		WT	PM1	5/4/17
F12	Inosine		0.521		WT	PM1	5/4/17
G1	Glycil-L-Glutamic Acid		0.41		WT	PM1	5/4/17
G2	Tricarballylic Acid		0.576		WT	PM1	5/4/17
G3	L-Serine		0.528		WT	PM1	5/4/17
G4	L-Threonine		0.592		WT	PM1	5/4/17
G5	L-Alanine		0.514		WT	PM1	5/4/17
G6	L-Alanyl-Glycine		0.489		WT	PM1	5/4/17
G7	Acetoacetic Acid		0.569		WT	PM1	5/4/17
G8	N-Acetyl-b-D-Mannosamine		0.562		WT	PM1	5/4/17
G9	Mono Methyl Succinate		0.649		WT	PM1	5/4/17
G10	Methyl Pyruvate		0.431		WT	PM1	5/4/17
G11	D-Malic Acid		0.705		WT	PM1	5/4/17
G12	L-Malic Acid		0.595		WT	PM1	5/4/17
H1	Glycil-L-Proline		0.275		WT	PM1	5/4/17
H2	p-Hydroxy Phenyl Acetic Acid		0.392		WT	PM1	5/4/17
H3	m-Hydroxy Phenyl Acetic Acid		0.436		WT	PM1	5/4/17
H4	Tyramine		0.473		WT	PM1	5/4/17
H5	D-Psicose		0.427		WT	PM1	5/4/17
H6	L-Lyxose		0.521		WT	PM1	5/4/17
H7	Glucuronamide		0.413		WT	PM1	5/4/17
H8	Pyruvic Acid		0.554		WT	PM1	5/4/17
H9	L-Galactonic Acid-g-Lactone		0.588		WT	PM1	5/4/17
H10	D-Galacturonic Acid		0.573		WT	PM1	5/4/17
H11	Phenylethyl-amine		0.528		WT	PM1	5/4/17
H12	2-Aminoethanol		0.602		WT	PM1	5/4/17
A1	Negative Control		0.428		WT	PM2A	5/4/17
A2	Chondroitin Sulfate C		0.383		WT	PM2A	5/4/17
A3	a-Cyclodextrin		0.778		WT	PM2A	5/4/17
A4	b-Cyclodextrin		0.636		WT	PM2A	5/4/17
A5	g-Cyclodextrin		0.474		WT	PM2A	5/4/17
A6	Dextrin		0.208		WT	PM2A	5/4/17
A7	Gelatin		0.216		WT	PM2A	5/4/17
A8	Glycogen		0.162		WT	PM2A	5/4/17
A9	Inulin		0.459		WT	PM2A	5/4/17
A10	Laminarin		0.465		WT	PM2A	5/4/17
A11	Mannan		0.1		WT	PM2A	5/4/17
A12	Pectin		0.349		WT	PM2A	5/4/17
B1	N-Acetyl-D-Galactosamine		0.44		WT	PM2A	5/4/17
B2	N-Acetyl-Neuraminic Acid		0.473		WT	PM2A	5/4/17
B3	b-D-Allose		0.634		WT	PM2A	5/4/17
B4	Amygdalin		0.397		WT	PM2A	5/4/17
B5	D-Arabinose		0.637		WT	PM2A	5/4/17
B6	D-Arabitol		0.634		WT	PM2A	5/4/17
B7	L-Arabitol		0.477		WT	PM2A	5/4/17
B8	Arbutin		0.456		WT	PM2A	5/4/17
B9	2-Deoxy-D-Ribose		0.494		WT	PM2A	5/4/17
B10	I-Erythritol		0.505		WT	PM2A	5/4/17
B11	D-Fucose		0.533		WT	PM2A	5/4/17
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.556		WT	PM2A	5/4/17
C1	Gentiobiose		0.426		WT	PM2A	5/4/17
C2	L-Glucose		0.554		WT	PM2A	5/4/17
C3	Lactitol		0.491		WT	PM2A	5/4/17
C4	D-Melezitose		0.526		WT	PM2A	5/4/17
C5	Maltitol		0.478		WT	PM2A	5/4/17
C6	a-Methyl-D-Glucoside		0.52		WT	PM2A	5/4/17
C7	b-Methyl-D-Gactoside		0.483		WT	PM2A	5/4/17
C8	3-Methyl-Glucose		0.488		WT	PM2A	5/4/17
C9	b-Methyl-D-Glucuronic Acid		0.51		WT	PM2A	5/4/17
C10	a-Methyl-D-Mannoside		0.516		WT	PM2A	5/4/17
C11	b-Methyl-D-Xyloside		0.563		WT	PM2A	5/4/17
C12	Palatinose		0.606		WT	PM2A	5/4/17
D1	D-Raffinose		0.389		WT	PM2A	5/4/17
D2	Salicin		0.427		WT	PM2A	5/4/17
D3	Sedoheptulosa		0.477		WT	PM2A	5/4/17
D4	L-Sorbose		0.517		WT	PM2A	5/4/17
D5	Stachyose		0.442		WT	PM2A	5/4/17
D6	D-Tagatose		0.548		WT	PM2A	5/4/17
D7	Turanose		0.442		WT	PM2A	5/4/17
D8	Xylitol		0.437		WT	PM2A	5/4/17
D9	N-Acetyl-D-Glucosaminatol		0.502		WT	PM2A	5/4/17
D10	g-Amino Butyric Acid		0.524		WT	PM2A	5/4/17
D11	d-Amino Valeric Acid		0.539		WT	PM2A	5/4/17
D12	Butyric Acid		0.606		WT	PM2A	5/4/17
E1	Capric Acid		0.416		WT	PM2A	5/4/17
E2	Caproic Acid		0.455		WT	PM2A	5/4/17
E3	Citraconic Acid		0.704		WT	PM2A	5/4/17
E4	Citramalic Acid		0.55		WT	PM2A	5/4/17
E5	D-Glucosamine		0.441		WT	PM2A	5/4/17
E6	2-Hydroxy Benzoic Acid		0.619		WT	PM2A	5/4/17
E7	4-Hydroxy Benzoic Acid		0.504		WT	PM2A	5/4/17
E8	b-Hydroxy Butyric Acid		0.497		WT	PM2A	5/4/17
E9	g-Hydroxy Butyric Acid		0.531		WT	PM2A	5/4/17
E10	a-Keto Valeric Acid		0.494		WT	PM2A	5/4/17
E11	Itaconic Acid		0.74		WT	PM2A	5/4/17
E12	5-Keto-D-Gluconic Acid		0.581		WT	PM2A	5/4/17
F1	D-Lactic Acid Methyl Ester		0.239		WT	PM2A	5/4/17
F2	Malonic Acid		0.504		WT	PM2A	5/4/17
F3	Melibionic Acid		0.452		WT	PM2A	5/4/17
F4	Oxalic Acid		0.57		WT	PM2A	5/4/17
F5	Oxalomalic Acid		0.658		WT	PM2A	5/4/17
F6	Quinic Acid		0.43		WT	PM2A	5/4/17
F7	"D-Ribono-1,4-Lactone"		0.458		WT	PM2A	5/4/17
F8	Sebacic Acid		0.481		WT	PM2A	5/4/17
F9	Sorbic Acid		0.234		WT	PM2A	5/4/17
F10	Succinamic Acid		0.46		WT	PM2A	5/4/17
F11	D-Tartaric Acid		0.745		WT	PM2A	5/4/17
F12	L-Tartaric Acid		0.655		WT	PM2A	5/4/17
G1	Acetamide		0.326		WT	PM2A	5/4/17
G2	L-Alaninamide		0.348		WT	PM2A	5/4/17
G3	N-Acetyl-L-Glutamic Acid		0.458		WT	PM2A	5/4/17
G4	L-Arginine		0.747		WT	PM2A	5/4/17
G5	Glycine		0.595		WT	PM2A	5/4/17
G6	L-Histidine		0.554		WT	PM2A	5/4/17
G7	L-Homoserine		0.297		WT	PM2A	5/4/17
G8	Hydroxy-L-Proline		0.567		WT	PM2A	5/4/17
G9	L-Isoleucine		0.74		WT	PM2A	5/4/17
G10	L-Leucine		0.564		WT	PM2A	5/4/17
G11	L-Lysine		0.663		WT	PM2A	5/4/17
G12	L-Methionine		0.587		WT	PM2A	5/4/17
H1	L-Ornithine		0.498		WT	PM2A	5/4/17
H2	Phenylalanine		0.386		WT	PM2A	5/4/17
H3	L-Pyroglutamic Acid		0.533		WT	PM2A	5/4/17
H4	L-Valine		0.593		WT	PM2A	5/4/17
H5	"D,L-Carnitine"		0.472		WT	PM2A	5/4/17
H6	Sec-Butylamine		0.629		WT	PM2A	5/4/17
H7	"D,L-Octopamine"		0.488		WT	PM2A	5/4/17
H8	Putrescine		0.491		WT	PM2A	5/4/17
H9	Dihydroxy Acetone		0.513		WT	PM2A	5/4/17
H10	"2,3-Butanediol"		0.479		WT	PM2A	5/4/17
H11	"2,3-Butanone"		0.46		WT	PM2A	5/4/17
H12	3-Hydroxy 2-Butanone		0.505		WT	PM2A	5/4/17
A1	Negative Control		0.361		4451	PM1	5/4/17
A2	L-Arabinose		0.733		4451	PM1	5/4/17
A3	N-Acetyl-D-Glucosamine		0.499		4451	PM1	5/4/17
A4	D-Saccharic Acid		0.661		4451	PM1	5/4/17
A5	Succinic Acid		0.517		4451	PM1	5/4/17
A6	D-Galactose		0.582		4451	PM1	5/4/17
A7	L-Aspartic Acid		0.545		4451	PM1	5/4/17
A8	L-Proline		0.564		4451	PM1	5/4/17
A9	D-Alanine		0.506		4451	PM1	5/4/17
A10	D-Trehalose		0.439		4451	PM1	5/4/17
A11	D-Mannose		0.59		4451	PM1	5/4/17
A12	Dulcitol		0.387		4451	PM1	5/4/17
B1	D-Serine		0.367		4451	PM1	5/4/17
B2	D-Sorbitol		0.496		4451	PM1	5/4/17
B3	Glycerol		0.547		4451	PM1	5/4/17
B4	L-Fucose		0.533		4451	PM1	5/4/17
B5	D-Glucuronic Acid		0.488		4451	PM1	5/4/17
B6	D-Gluconic Acid		0.668		4451	PM1	5/4/17
B7	"D,L-a-Glycerol-Phosphate"		0.418		4451	PM1	5/4/17
B8	D-Xylose		0.793		4451	PM1	5/4/17
B9	L-Lactic Acid		0.577		4451	PM1	5/4/17
B10	Formic Acid		0.54		4451	PM1	5/4/17
B11	D-Mannitol		0.7		4451	PM1	5/4/17
B12	L-Glutamic Acid		0.548		4451	PM1	5/4/17
C1	D-Glucose-6-Phosphate		0.438		4451	PM1	5/4/17
C2	D-Galactonic Acid-g-Lactone		0.588		4451	PM1	5/4/17
C3	"D,L-Malic Acid"		0.553		4451	PM1	5/4/17
C4	D-Ribose		0.722		4451	PM1	5/4/17
C5	Tween 20		0.03		4451	PM1	5/4/17
C6	L-Rhamnose		0.569		4451	PM1	5/4/17
C7	D-Fructose		0.522		4451	PM1	5/4/17
C8	Acetic Acid		0.606		4451	PM1	5/4/17
C9	a-D-Glucose		0.614		4451	PM1	5/4/17
C10	Maltose		0.455		4451	PM1	5/4/17
C11	D-Melibiose		0.609		4451	PM1	5/4/17
C12	Thymidine		0.436		4451	PM1	5/4/17
D1	L-Asparagine		0.524		4451	PM1	5/4/17
D2	D-Aspartic Acid		0.426		4451	PM1	5/4/17
D3	D-Glucosaminic Acid		0.58		4451	PM1	5/4/17
D4	"1,2-Propanediol"		0.424		4451	PM1	5/4/17
D5	Tween 40		0.034		4451	PM1	5/4/17
D6	a-Keto-Glutaric Acid		0.431		4451	PM1	5/4/17
D7	a-Keto-Butyric Acid		0.619		4451	PM1	5/4/17
D8	a-Methyl-D-Galactoside		0.47		4451	PM1	5/4/17
D9	a-D-Lactose		0.449		4451	PM1	5/4/17
D10	Lactulose		0.446		4451	PM1	5/4/17
D11	Sucrose		0.487		4451	PM1	5/4/17
D12	Uridine		0.431		4451	PM1	5/4/17
E1	L-Glutamine		0.527		4451	PM1	5/4/17
E2	M-Tartaric Acid		0.707		4451	PM1	5/4/17
E3	D-Glucose-1-Phosphate		0.535		4451	PM1	5/4/17
E4	D-Fructose-6-Phosphate		0.517		4451	PM1	5/4/17
E5	Tween 80		0.029		4451	PM1	5/4/17
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.432		4451	PM1	5/4/17
E7	a-Hydroxy Butyric Acid		0.741		4451	PM1	5/4/17
E8	b-Methyl-D-Glucoside		0.493		4451	PM1	5/4/17
E9	Adonitol		0.434		4451	PM1	5/4/17
E10	Maltotriose		0.429		4451	PM1	5/4/17
E11	2-Deoxy Adenosine		0.45		4451	PM1	5/4/17
E12	Adenosine		0.353		4451	PM1	5/4/17
F1	Glycil-L-Aspartic Acid		0.445		4451	PM1	5/4/17
F2	Citric Acid		0.703		4451	PM1	5/4/17
F3	M-Inositol		0.452		4451	PM1	5/4/17
F4	D-Threonine		0.664		4451	PM1	5/4/17
F5	Fumaric Acid		0.53		4451	PM1	5/4/17
F6	Bromo Succinic Acid		0.519		4451	PM1	5/4/17
F7	Propionic Acid		0.615		4451	PM1	5/4/17
F8	Mucic Acid		0.463		4451	PM1	5/4/17
F9	Glycolic Acid		0.479		4451	PM1	5/4/17
F10	Glyoxylic Acid		0.765		4451	PM1	5/4/17
F11	D-Cellobiose		0.466		4451	PM1	5/4/17
F12	Inosine		0.404		4451	PM1	5/4/17
G1	Glycil-L-Glutamic Acid		0.434		4451	PM1	5/4/17
G2	Tricarballylic Acid		0.645		4451	PM1	5/4/17
G3	L-Serine		0.633		4451	PM1	5/4/17
G4	L-Threonine		0.654		4451	PM1	5/4/17
G5	L-Alanine		0.534		4451	PM1	5/4/17
G6	L-Alanyl-Glycine		0.424		4451	PM1	5/4/17
G7	Acetoacetic Acid		0.462		4451	PM1	5/4/17
G8	N-Acetyl-b-D-Mannosamine		0.526		4451	PM1	5/4/17
G9	Mono Methyl Succinate		0.585		4451	PM1	5/4/17
G10	Methyl Pyruvate		0.267		4451	PM1	5/4/17
G11	D-Malic Acid		0.624		4451	PM1	5/4/17
G12	L-Malic Acid		0.533		4451	PM1	5/4/17
H1	Glycil-L-Proline		0.417		4451	PM1	5/4/17
H2	p-Hydroxy Phenyl Acetic Acid		0.522		4451	PM1	5/4/17
H3	m-Hydroxy Phenyl Acetic Acid		0.523		4451	PM1	5/4/17
H4	Tyramine		0.595		4451	PM1	5/4/17
H5	D-Psicose		0.447		4451	PM1	5/4/17
H6	L-Lyxose		0.66		4451	PM1	5/4/17
H7	Glucuronamide		0.519		4451	PM1	5/4/17
H8	Pyruvic Acid		0.531		4451	PM1	5/4/17
H9	L-Galactonic Acid-g-Lactone		0.592		4451	PM1	5/4/17
H10	D-Galacturonic Acid		0.517		4451	PM1	5/4/17
H11	Phenylethyl-amine		0.527		4451	PM1	5/4/17
H12	2-Aminoethanol		0.6156		4451	PM1	5/4/17
A1	Negative Control		0.307		4451	PM2A	5/4/17
A2	Chondroitin Sulfate C		0.344		4451	PM2A	5/4/17
A3	a-Cyclodextrin		0.782		4451	PM2A	5/4/17
A4	b-Cyclodextrin		0.726		4451	PM2A	5/4/17
A5	g-Cyclodextrin		0.414		4451	PM2A	5/4/17
A6	Dextrin		0.182		4451	PM2A	5/4/17
A7	Gelatin		0.199		4451	PM2A	5/4/17
A8	Glycogen		0.113		4451	PM2A	5/4/17
A9	Inulin		0.407		4451	PM2A	5/4/17
A10	Laminarin		0.416		4451	PM2A	5/4/17
A11	Mannan		0.1		4451	PM2A	5/4/17
A12	Pectin		0.232		4451	PM2A	5/4/17
B1	N-Acetyl-D-Galactosamine		0.387		4451	PM2A	5/4/17
B2	N-Acetyl-Neuraminic Acid		0.568		4451	PM2A	5/4/17
B3	b-D-Allose		0.715		4451	PM2A	5/4/17
B4	Amygdalin		0.356		4451	PM2A	5/4/17
B5	D-Arabinose		0.674		4451	PM2A	5/4/17
B6	D-Arabitol		0.737		4451	PM2A	5/4/17
B7	L-Arabitol		0.453		4451	PM2A	5/4/17
B8	Arbutin		0.607		4451	PM2A	5/4/17
B9	2-Deoxy-D-Ribose		0.658		4451	PM2A	5/4/17
B10	I-Erythritol		0.54		4451	PM2A	5/4/17
B11	D-Fucose		0.581		4451	PM2A	5/4/17
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.595		4451	PM2A	5/4/17
C1	Gentiobiose		0.418		4451	PM2A	5/4/17
C2	L-Glucose		0.564		4451	PM2A	5/4/17
C3	Lactitol		0.535		4451	PM2A	5/4/17
C4	D-Melezitose		0.474		4451	PM2A	5/4/17
C5	Maltitol		0.506		4451	PM2A	5/4/17
C6	a-Methyl-D-Glucoside		0.518		4451	PM2A	5/4/17
C7	b-Methyl-D-Gactoside		0.42		4451	PM2A	5/4/17
C8	3-Methyl-Glucose		0.518		4451	PM2A	5/4/17
C9	b-Methyl-D-Glucuronic Acid		0.637		4451	PM2A	5/4/17
C10	a-Methyl-D-Mannoside		0.532		4451	PM2A	5/4/17
C11	b-Methyl-D-Xyloside		0.535		4451	PM2A	5/4/17
C12	Palatinose		0.505		4451	PM2A	5/4/17
D1	D-Raffinose		0.353		4451	PM2A	5/4/17
D2	Salicin		0.427		4451	PM2A	5/4/17
D3	Sedoheptulosa		0.425		4451	PM2A	5/4/17
D4	L-Sorbose		0.484		4451	PM2A	5/4/17
D5	Stachyose		0.476		4451	PM2A	5/4/17
D6	D-Tagatose		0.503		4451	PM2A	5/4/17
D7	Turanose		0.416		4451	PM2A	5/4/17
D8	Xylitol		0.494		4451	PM2A	5/4/17
D9	N-Acetyl-D-Glucosaminatol		0.603		4451	PM2A	5/4/17
D10	g-Amino Butyric Acid		0.507		4451	PM2A	5/4/17
D11	d-Amino Valeric Acid		0.531		4451	PM2A	5/4/17
D12	Butyric Acid		0.634		4451	PM2A	5/4/17
E1	Capric Acid		0.327		4451	PM2A	5/4/17
E2	Caproic Acid		0.467		4451	PM2A	5/4/17
E3	Citraconic Acid		0.764		4451	PM2A	5/4/17
E4	Citramalic Acid		0.557		4451	PM2A	5/4/17
E5	D-Glucosamine		0.411		4451	PM2A	5/4/17
E6	2-Hydroxy Benzoic Acid		0.502		4451	PM2A	5/4/17
E7	4-Hydroxy Benzoic Acid		0.458		4451	PM2A	5/4/17
E8	b-Hydroxy Butyric Acid		0.596		4451	PM2A	5/4/17
E9	g-Hydroxy Butyric Acid		0.671		4451	PM2A	5/4/17
E10	a-Keto Valeric Acid		0.619		4451	PM2A	5/4/17
E11	Itaconic Acid		0.795		4451	PM2A	5/4/17
E12	5-Keto-D-Gluconic Acid		0.633		4451	PM2A	5/4/17
F1	D-Lactic Acid Methyl Ester		0.217		4451	PM2A	5/4/17
F2	Malonic Acid		0.561		4451	PM2A	5/4/17
F3	Melibionic Acid		0.416		4451	PM2A	5/4/17
F4	Oxalic Acid		0.537		4451	PM2A	5/4/17
F5	Oxalomalic Acid		0.69		4451	PM2A	5/4/17
F6	Quinic Acid		0.433		4451	PM2A	5/4/17
F7	"D-Ribono-1,4-Lactone"		0.421		4451	PM2A	5/4/17
F8	Sebacic Acid		0.541		4451	PM2A	5/4/17
F9	Sorbic Acid		0.239		4451	PM2A	5/4/17
F10	Succinamic Acid		0.521		4451	PM2A	5/4/17
F11	D-Tartaric Acid		0.814		4451	PM2A	5/4/17
F12	L-Tartaric Acid		0.639		4451	PM2A	5/4/17
G1	Acetamide		0.336		4451	PM2A	5/4/17
G2	L-Alaninamide		0.404		4451	PM2A	5/4/17
G3	N-Acetyl-L-Glutamic Acid		0.535		4451	PM2A	5/4/17
G4	L-Arginine		0.64		4451	PM2A	5/4/17
G5	Glycine		0.637		4451	PM2A	5/4/17
G6	L-Histidine		0.521		4451	PM2A	5/4/17
G7	L-Homoserine		0.253		4451	PM2A	5/4/17
G8	Hydroxy-L-Proline		0.597		4451	PM2A	5/4/17
G9	L-Isoleucine		0.734		4451	PM2A	5/4/17
G10	L-Leucine		0.556		4451	PM2A	5/4/17
G11	L-Lysine		0.688		4451	PM2A	5/4/17
G12	L-Methionine		0.597		4451	PM2A	5/4/17
H1	L-Ornithine		0.607		4451	PM2A	5/4/17
H2	Phenylalanine		0.402		4451	PM2A	5/4/17
H3	L-Pyroglutamic Acid		0.511		4451	PM2A	5/4/17
H4	L-Valine		0.562		4451	PM2A	5/4/17
H5	"D,L-Carnitine"		0.506		4451	PM2A	5/4/17
H6	Sec-Butylamine		0.6		4451	PM2A	5/4/17
H7	"D,L-Octopamine"		0.448		4451	PM2A	5/4/17
H8	Putrescine		0.43		4451	PM2A	5/4/17
H9	Dihydroxy Acetone		0.448		4451	PM2A	5/4/17
H10	"2,3-Butanediol"		0.497		4451	PM2A	5/4/17
H11	"2,3-Butanone"		0.48		4451	PM2A	5/4/17
H12	3-Hydroxy 2-Butanone		0.4547		4451	PM2A	5/4/17
A1	Negative Control		0.221		1532	PM1	5/4/17
A2	L-Arabinose		0.277		1532	PM1	5/4/17
A3	N-Acetyl-D-Glucosamine		0.25		1532	PM1	5/4/17
A4	D-Saccharic Acid		0.388		1532	PM1	5/4/17
A5	Succinic Acid		0.366		1532	PM1	5/4/17
A6	D-Galactose		0.287		1532	PM1	5/4/17
A7	L-Aspartic Acid		0.393		1532	PM1	5/4/17
A8	L-Proline		0.387		1532	PM1	5/4/17
A9	D-Alanine		0.35		1532	PM1	5/4/17
A10	D-Trehalose		0.27		1532	PM1	5/4/17
A11	D-Mannose		0.35		1532	PM1	5/4/17
A12	Dulcitol		0.295		1532	PM1	5/4/17
B1	D-Serine		0.156		1532	PM1	5/4/17
B2	D-Sorbitol		0.252		1532	PM1	5/4/17
B3	Glycerol		0.223		1532	PM1	5/4/17
B4	L-Fucose		0.281		1532	PM1	5/4/17
B5	D-Glucuronic Acid		0.257		1532	PM1	5/4/17
B6	D-Gluconic Acid		0.417		1532	PM1	5/4/17
B7	"D,L-a-Glycerol-Phosphate"		0.283		1532	PM1	5/4/17
B8	D-Xylose		0.256		1532	PM1	5/4/17
B9	L-Lactic Acid		0.369		1532	PM1	5/4/17
B10	Formic Acid		0.33		1532	PM1	5/4/17
B11	D-Mannitol		0.332		1532	PM1	5/4/17
B12	L-Glutamic Acid		0.412		1532	PM1	5/4/17
C1	D-Glucose-6-Phosphate		0.234		1532	PM1	5/4/17
C2	D-Galactonic Acid-g-Lactone		0.293		1532	PM1	5/4/17
C3	"D,L-Malic Acid"		0.523		1532	PM1	5/4/17
C4	D-Ribose		0.257		1532	PM1	5/4/17
C5	Tween 20		0.024		1532	PM1	5/4/17
C6	L-Rhamnose		0.25		1532	PM1	5/4/17
C7	D-Fructose		0.271		1532	PM1	5/4/17
C8	Acetic Acid		0.344		1532	PM1	5/4/17
C9	a-D-Glucose		0.353		1532	PM1	5/4/17
C10	Maltose		0.273		1532	PM1	5/4/17
C11	D-Melibiose		0.283		1532	PM1	5/4/17
C12	Thymidine		0.272		1532	PM1	5/4/17
D1	L-Asparagine		0.294		1532	PM1	5/4/17
D2	D-Aspartic Acid		0.207		1532	PM1	5/4/17
D3	D-Glucosaminic Acid		0.304		1532	PM1	5/4/17
D4	"1,2-Propanediol"		0.22		1532	PM1	5/4/17
D5	Tween 40		0.037		1532	PM1	5/4/17
D6	a-Keto-Glutaric Acid		0.405		1532	PM1	5/4/17
D7	a-Keto-Butyric Acid		0.186		1532	PM1	5/4/17
D8	a-Methyl-D-Galactoside		0.254		1532	PM1	5/4/17
D9	a-D-Lactose		0.264		1532	PM1	5/4/17
D10	Lactulose		0.274		1532	PM1	5/4/17
D11	Sucrose		0.27		1532	PM1	5/4/17
D12	Uridine		0.26		1532	PM1	5/4/17
E1	L-Glutamine		0.288		1532	PM1	5/4/17
E2	M-Tartaric Acid		0.274		1532	PM1	5/4/17
E3	D-Glucose-1-Phosphate		0.258		1532	PM1	5/4/17
E4	D-Fructose-6-Phosphate		0.231		1532	PM1	5/4/17
E5	Tween 80		0.028		1532	PM1	5/4/17
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.272		1532	PM1	5/4/17
E7	a-Hydroxy Butyric Acid		0.242		1532	PM1	5/4/17
E8	b-Methyl-D-Glucoside		0.249		1532	PM1	5/4/17
E9	Adonitol		0.251		1532	PM1	5/4/17
E10	Maltotriose		0.293		1532	PM1	5/4/17
E11	2-Deoxy Adenosine		0.278		1532	PM1	5/4/17
E12	Adenosine		0.238		1532	PM1	5/4/17
F1	Glycil-L-Aspartic Acid		0.263		1532	PM1	5/4/17
F2	Citric Acid		0.52		1532	PM1	5/4/17
F3	M-Inositol		0.242		1532	PM1	5/4/17
F4	D-Threonine		0.218		1532	PM1	5/4/17
F5	Fumaric Acid		0.382		1532	PM1	5/4/17
F6	Bromo Succinic Acid		0.547		1532	PM1	5/4/17
F7	Propionic Acid		0.351		1532	PM1	5/4/17
F8	Mucic Acid		0.393		1532	PM1	5/4/17
F9	Glycolic Acid		0.273		1532	PM1	5/4/17
F10	Glyoxylic Acid		0.566		1532	PM1	5/4/17
F11	D-Cellobiose		0.271		1532	PM1	5/4/17
F12	Inosine		0.281		1532	PM1	5/4/17
G1	Glycil-L-Glutamic Acid		0.288		1532	PM1	5/4/17
G2	Tricarballylic Acid		0.299		1532	PM1	5/4/17
