Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
H10	"2,3-Butanediol"		0.339		4150	PM2A	3/8/16
H11	"2,3-Butanone"		0.126		4150	PM2A	3/8/16
H12	3-Hydroxy 2-Butanone		0.399		4150	PM2A	3/8/16
A1	Negative Control		0.341		2709	PM2A	3/8/16
A2	Chondroitin Sulfate C		0.265		2709	PM2A	3/8/16
A3	a-Cyclodextrin		0.358		2709	PM2A	3/8/16
A4	b-Cyclodextrin		0.367		2709	PM2A	3/8/16
A5	g-Cyclodextrin		0.302		2709	PM2A	3/8/16
A6	Dextrin		0.096		2709	PM2A	3/8/16
A7	Gelatin		0.153		2709	PM2A	3/8/16
A8	Glycogen		0.144		2709	PM2A	3/8/16
A9	Inulin		0.195		2709	PM2A	3/8/16
A10	Laminarin		0.203		2709	PM2A	3/8/16
A11	Mannan		0.064		2709	PM2A	3/8/16
A12	Pectin		0.184		2709	PM2A	3/8/16
B1	N-Acetyl-D-Galactosamine		0.326		2709	PM2A	3/8/16
B2	N-Acetyl-Neuraminic Acid		0.35		2709	PM2A	3/8/16
B3	b-D-Allose		0.299		2709	PM2A	3/8/16
B4	Amygdalin		0.245		2709	PM2A	3/8/16
B5	D-Arabinose		0.261		2709	PM2A	3/8/16
B6	D-Arabitol		0.476		2709	PM2A	3/8/16
B7	L-Arabitol		0.322		2709	PM2A	3/8/16
B8	Arbutin		0.359		2709	PM2A	3/8/16
B9	2-Deoxy-D-Ribose		0.176		2709	PM2A	3/8/16
B10	I-Erythritol		0.433		2709	PM2A	3/8/16
B11	D-Fucose		0.424		2709	PM2A	3/8/16
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.251		2709	PM2A	3/8/16
C1	Gentiobiose		0.3		2709	PM2A	3/8/16
C2	L-Glucose		0.411		2709	PM2A	3/8/16
C3	Lactitol		0.292		2709	PM2A	3/8/16
C4	D-Melezitose		0.268		2709	PM2A	3/8/16
C5	Maltitol		0.304		2709	PM2A	3/8/16
C6	a-Methyl-D-Glucoside		0.338		2709	PM2A	3/8/16
C7	b-Methyl-D-Gactoside		0.32		2709	PM2A	3/8/16
C8	3-Methyl-Glucose		0.361		2709	PM2A	3/8/16
C9	b-Methyl-D-Glucuronic Acid		0.364		2709	PM2A	3/8/16
C10	a-Methyl-D-Mannoside		0.411		2709	PM2A	3/8/16
C11	b-Methyl-D-Xyloside		0.394		2709	PM2A	3/8/16
C12	Palatinose		0.321		2709	PM2A	3/8/16
D1	D-Raffinose		0.318		2709	PM2A	3/8/16
D2	Salicin		0.247		2709	PM2A	3/8/16
D3	Sedoheptulosa		0.292		2709	PM2A	3/8/16
D4	L-Sorbose		0.292		2709	PM2A	3/8/16
D5	Stachyose		0.278		2709	PM2A	3/8/16
D6	D-Tagatose		0.201		2709	PM2A	3/8/16
D7	Turanose		0.287		2709	PM2A	3/8/16
D8	Xylitol		0.32		2709	PM2A	3/8/16
D9	N-Acetyl-D-Glucosaminatol		0.256		2709	PM2A	3/8/16
D10	g-Amino Butyric Acid		0.519		2709	PM2A	3/8/16
D11	d-Amino Valeric Acid		0.451		2709	PM2A	3/8/16
D12	Butyric Acid		0.476		2709	PM2A	3/8/16
E1	Capric Acid		0.336		2709	PM2A	3/8/16
E2	Caproic Acid		0.303		2709	PM2A	3/8/16
E3	Citraconic Acid		0.444		2709	PM2A	3/8/16
E4	Citramalic Acid		0.528		2709	PM2A	3/8/16
E5	D-Glucosamine		0.212		2709	PM2A	3/8/16
E6	2-Hydroxy Benzoic Acid		0.33		2709	PM2A	3/8/16
E7	4-Hydroxy Benzoic Acid		0.314		2709	PM2A	3/8/16
E8	b-Hydroxy Butyric Acid		0.467		2709	PM2A	3/8/16
E9	g-Hydroxy Butyric Acid		0.328		2709	PM2A	3/8/16
E10	a-Keto Valeric Acid		0.558		2709	PM2A	3/8/16
E11	Itaconic Acid		0.553		2709	PM2A	3/8/16
E12	5-Keto-D-Gluconic Acid		0.445		2709	PM2A	3/8/16
F1	D-Lactic Acid Methyl Ester		0.25		2709	PM2A	3/8/16
F2	Malonic Acid		0.443		2709	PM2A	3/8/16
F3	Melibionic Acid		0.193		2709	PM2A	3/8/16
F4	Oxalic Acid		0.322		2709	PM2A	3/8/16
F5	Oxalomalic Acid		0.383		2709	PM2A	3/8/16
F6	Quinic Acid		0.4		2709	PM2A	3/8/16
F7	"D-Ribono-1,4-Lactone"		0.265		2709	PM2A	3/8/16
F8	Sebacic Acid		0.336		2709	PM2A	3/8/16
F9	Sorbic Acid		0.175		2709	PM2A	3/8/16
F10	Succinamic Acid		0.362		2709	PM2A	3/8/16
F11	D-Tartaric Acid		0.628		2709	PM2A	3/8/16
F12	L-Tartaric Acid		0.477		2709	PM2A	3/8/16
G1	Acetamide		0.325		2709	PM2A	3/8/16
G2	L-Alaninamide		0.366		2709	PM2A	3/8/16
G3	N-Acetyl-L-Glutamic Acid		0.409		2709	PM2A	3/8/16
G4	L-Arginine		0.571		2709	PM2A	3/8/16
G5	Glycine		0.445		2709	PM2A	3/8/16
G6	L-Histidine		0.474		2709	PM2A	3/8/16
G7	L-Homoserine		0.093		2709	PM2A	3/8/16
G8	Hydroxy-L-Proline		0.566		2709	PM2A	3/8/16
G9	L-Isoleucine		0.548		2709	PM2A	3/8/16
G10	L-Leucine		0.538		2709	PM2A	3/8/16
G11	L-Lysine		0.44		2709	PM2A	3/8/16
G12	L-Methionine		0.417		2709	PM2A	3/8/16
H1	L-Ornithine		0.598		2709	PM2A	3/8/16
H2	Phenylalanine		0.393		2709	PM2A	3/8/16
H3	L-Pyroglutamic Acid		0.495		2709	PM2A	3/8/16
H4	L-Valine		0.573		2709	PM2A	3/8/16
H5	"D,L-Carnitine"		0.43		2709	PM2A	3/8/16
H6	Sec-Butylamine		0.38		2709	PM2A	3/8/16
H7	"D,L-Octopamine"		0.367		2709	PM2A	3/8/16
H8	Putrescine		0.468		2709	PM2A	3/8/16
H9	Dihydroxy Acetone		0.209		2709	PM2A	3/8/16
H10	"2,3-Butanediol"		0.365		2709	PM2A	3/8/16
H11	"2,3-Butanone"		0.159		2709	PM2A	3/8/16
H12	3-Hydroxy 2-Butanone		0.322		2709	PM2A	3/8/16
A1	Negative Control		0.633		4487	PM2A	3/8/16
A2	Chondroitin Sulfate C		0.505		4487	PM2A	3/8/16
A3	a-Cyclodextrin		0.661		4487	PM2A	3/8/16
A4	b-Cyclodextrin		0.697		4487	PM2A	3/8/16
A5	g-Cyclodextrin		0.637		4487	PM2A	3/8/16
A6	Dextrin		0.257		4487	PM2A	3/8/16
A7	Gelatin		0.43		4487	PM2A	3/8/16
A8	Glycogen		0.371		4487	PM2A	3/8/16
A9	Inulin		0.485		4487	PM2A	3/8/16
A10	Laminarin		0.445		4487	PM2A	3/8/16
A11	Mannan		0.163		4487	PM2A	3/8/16
A12	Pectin		0.433		4487	PM2A	3/8/16
B1	N-Acetyl-D-Galactosamine		0.608		4487	PM2A	3/8/16
B2	N-Acetyl-Neuraminic Acid		0.569		4487	PM2A	3/8/16
B3	b-D-Allose		0.555		4487	PM2A	3/8/16
B4	Amygdalin		0.536		4487	PM2A	3/8/16
B5	D-Arabinose		0.556		4487	PM2A	3/8/16
B6	D-Arabitol		0.598		4487	PM2A	3/8/16
B7	L-Arabitol		0.569		4487	PM2A	3/8/16
B8	Arbutin		0.505		4487	PM2A	3/8/16
B9	2-Deoxy-D-Ribose		0.403		4487	PM2A	3/8/16
B10	I-Erythritol		0.511		4487	PM2A	3/8/16
B11	D-Fucose		0.52		4487	PM2A	3/8/16
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.437		4487	PM2A	3/8/16
C1	Gentiobiose		0.62		4487	PM2A	3/8/16
C2	L-Glucose		0.603		4487	PM2A	3/8/16
C3	Lactitol		0.58		4487	PM2A	3/8/16
C4	D-Melezitose		0.596		4487	PM2A	3/8/16
C5	Maltitol		0.573		4487	PM2A	3/8/16
C6	a-Methyl-D-Glucoside		0.487		4487	PM2A	3/8/16
C7	b-Methyl-D-Gactoside		0.562		4487	PM2A	3/8/16
C8	3-Methyl-Glucose		0.429		4487	PM2A	3/8/16
C9	b-Methyl-D-Glucuronic Acid		0.533		4487	PM2A	3/8/16
C10	a-Methyl-D-Mannoside		0.514		4487	PM2A	3/8/16
C11	b-Methyl-D-Xyloside		0.506		4487	PM2A	3/8/16
C12	Palatinose		0.509		4487	PM2A	3/8/16
D1	D-Raffinose		0.636		4487	PM2A	3/8/16
D2	Salicin		0.491		4487	PM2A	3/8/16
D3	Sedoheptulosa		0.548		4487	PM2A	3/8/16
D4	L-Sorbose		0.52		4487	PM2A	3/8/16
D5	Stachyose		0.547		4487	PM2A	3/8/16
D6	D-Tagatose		0.471		4487	PM2A	3/8/16
D7	Turanose		0.512		4487	PM2A	3/8/16
D8	Xylitol		0.484		4487	PM2A	3/8/16
D9	N-Acetyl-D-Glucosaminatol		0.455		4487	PM2A	3/8/16
D10	g-Amino Butyric Acid		0.584		4487	PM2A	3/8/16
D11	d-Amino Valeric Acid		0.503		4487	PM2A	3/8/16
D12	Butyric Acid		0.717		4487	PM2A	3/8/16
E1	Capric Acid		0.894		4487	PM2A	3/8/16
E2	Caproic Acid		0.471		4487	PM2A	3/8/16
E3	Citraconic Acid		0.659		4487	PM2A	3/8/16
E4	Citramalic Acid		0.642		4487	PM2A	3/8/16
E5	D-Glucosamine		0.324		4487	PM2A	3/8/16
E6	2-Hydroxy Benzoic Acid		0.467		4487	PM2A	3/8/16
E7	4-Hydroxy Benzoic Acid		0.518		4487	PM2A	3/8/16
E8	b-Hydroxy Butyric Acid		0.638		4487	PM2A	3/8/16
E9	g-Hydroxy Butyric Acid		0.552		4487	PM2A	3/8/16
E10	a-Keto Valeric Acid		0.458		4487	PM2A	3/8/16
E11	Itaconic Acid		0.664		4487	PM2A	3/8/16
E12	5-Keto-D-Gluconic Acid		0.707		4487	PM2A	3/8/16
F1	D-Lactic Acid Methyl Ester		0.51		4487	PM2A	3/8/16
F2	Malonic Acid		0.707		4487	PM2A	3/8/16
F3	Melibionic Acid		0.343		4487	PM2A	3/8/16
F4	Oxalic Acid		0.606		4487	PM2A	3/8/16
F5	Oxalomalic Acid		0.626		4487	PM2A	3/8/16
F6	Quinic Acid		0.633		4487	PM2A	3/8/16
F7	"D-Ribono-1,4-Lactone"		0.359		4487	PM2A	3/8/16
F8	Sebacic Acid		0.466		4487	PM2A	3/8/16
F9	Sorbic Acid		0.372		4487	PM2A	3/8/16
F10	Succinamic Acid		0.475		4487	PM2A	3/8/16
F11	D-Tartaric Acid		0.68		4487	PM2A	3/8/16
F12	L-Tartaric Acid		0.733		4487	PM2A	3/8/16
G1	Acetamide		0.73		4487	PM2A	3/8/16
G2	L-Alaninamide		0.51		4487	PM2A	3/8/16
G3	N-Acetyl-L-Glutamic Acid		0.551		4487	PM2A	3/8/16
G4	L-Arginine		0.842		4487	PM2A	3/8/16
G5	Glycine		0.538		4487	PM2A	3/8/16
G6	L-Histidine		0.636		4487	PM2A	3/8/16
G7	L-Homoserine		0.15		4487	PM2A	3/8/16
G8	Hydroxy-L-Proline		0.727		4487	PM2A	3/8/16
G9	L-Isoleucine		0.78		4487	PM2A	3/8/16
G10	L-Leucine		0.625		4487	PM2A	3/8/16
G11	L-Lysine		0.608		4487	PM2A	3/8/16
G12	L-Methionine		0.757		4487	PM2A	3/8/16
H1	L-Ornithine		0.839		4487	PM2A	3/8/16
H2	Phenylalanine		0.682		4487	PM2A	3/8/16
H3	L-Pyroglutamic Acid		0.691		4487	PM2A	3/8/16
H4	L-Valine		0.767		4487	PM2A	3/8/16
H5	"D,L-Carnitine"		0.684		4487	PM2A	3/8/16
H6	Sec-Butylamine		0.651		4487	PM2A	3/8/16
H7	"D,L-Octopamine"		0.617		4487	PM2A	3/8/16
H8	Putrescine		0.602		4487	PM2A	3/8/16
H9	Dihydroxy Acetone		0.43		4487	PM2A	3/8/16
H10	"2,3-Butanediol"		0.565		4487	PM2A	3/8/16
H11	"2,3-Butanone"		0.45		4487	PM2A	3/8/16
H12	3-Hydroxy 2-Butanone		0.604		4487	PM2A	3/8/16
A1	Negative Control		0.2003		5168	PM2A	3/8/16
A2	Chondroitin Sulfate C		0.2183		5168	PM2A	3/8/16
A3	a-Cyclodextrin		0.3238		5168	PM2A	3/8/16
A4	b-Cyclodextrin		0.2424		5168	PM2A	3/8/16
A5	g-Cyclodextrin		0.2049		5168	PM2A	3/8/16
A6	Dextrin		0.0425		5168	PM2A	3/8/16
A7	Gelatin		0.115		5168	PM2A	3/8/16
A8	Glycogen		0.0879		5168	PM2A	3/8/16
A9	Inulin		0.176		5168	PM2A	3/8/16
A10	Laminarin		0.138		5168	PM2A	3/8/16
A11	Mannan		0.0476		5168	PM2A	3/8/16
A12	Pectin		0.1396		5168	PM2A	3/8/16
B1	N-Acetyl-D-Galactosamine		0.2937		5168	PM2A	3/8/16
B2	N-Acetyl-Neuraminic Acid		0.2805		5168	PM2A	3/8/16
B3	b-D-Allose		0.2957		5168	PM2A	3/8/16
B4	Amygdalin		0.2013		5168	PM2A	3/8/16
B5	D-Arabinose		0.2286		5168	PM2A	3/8/16
B6	D-Arabitol		0.3993		5168	PM2A	3/8/16
B7	L-Arabitol		0.3004		5168	PM2A	3/8/16
B8	Arbutin		0.2877		5168	PM2A	3/8/16
B9	2-Deoxy-D-Ribose		0.145		5168	PM2A	3/8/16
B10	I-Erythritol		0.3252		5168	PM2A	3/8/16
B11	D-Fucose		0.391		5168	PM2A	3/8/16
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.2964		5168	PM2A	3/8/16
C1	Gentiobiose		0.2525		5168	PM2A	3/8/16
C2	L-Glucose		0.3515		5168	PM2A	3/8/16
C3	Lactitol		0.2738		5168	PM2A	3/8/16
C4	D-Melezitose		0.2578		5168	PM2A	3/8/16
C5	Maltitol		0.2516		5168	PM2A	3/8/16
C6	a-Methyl-D-Glucoside		0.297		5168	PM2A	3/8/16
C7	b-Methyl-D-Gactoside		0.2936		5168	PM2A	3/8/16
C8	3-Methyl-Glucose		0.2173		5168	PM2A	3/8/16
C9	b-Methyl-D-Glucuronic Acid		0.2775		5168	PM2A	3/8/16
C10	a-Methyl-D-Mannoside		0.3223		5168	PM2A	3/8/16
C11	b-Methyl-D-Xyloside		0.323		5168	PM2A	3/8/16
C12	Palatinose		0.3097		5168	PM2A	3/8/16
D1	D-Raffinose		0.276		5168	PM2A	3/8/16
D2	Salicin		0.2489		5168	PM2A	3/8/16
D3	Sedoheptulosa		0.2802		5168	PM2A	3/8/16
D4	L-Sorbose		0.2493		5168	PM2A	3/8/16
D5	Stachyose		0.2445		5168	PM2A	3/8/16
D6	D-Tagatose		0.2034		5168	PM2A	3/8/16
D7	Turanose		0.2507		5168	PM2A	3/8/16
D8	Xylitol		0.243		5168	PM2A	3/8/16
D9	N-Acetyl-D-Glucosaminatol		0.2196		5168	PM2A	3/8/16
D10	g-Amino Butyric Acid		0.3653		5168	PM2A	3/8/16
D11	d-Amino Valeric Acid		0.3608		5168	PM2A	3/8/16
D12	Butyric Acid		0.4947		5168	PM2A	3/8/16
E1	Capric Acid		0.2604		5168	PM2A	3/8/16
E2	Caproic Acid		0.2383		5168	PM2A	3/8/16
E3	Citraconic Acid		0.4703		5168	PM2A	3/8/16
E4	Citramalic Acid		0.3877		5168	PM2A	3/8/16
E5	D-Glucosamine		0.1958		5168	PM2A	3/8/16
E6	2-Hydroxy Benzoic Acid		0.3648		5168	PM2A	3/8/16
E7	4-Hydroxy Benzoic Acid		0.325		5168	PM2A	3/8/16
E8	b-Hydroxy Butyric Acid		0.3598		5168	PM2A	3/8/16
E9	g-Hydroxy Butyric Acid		0.3201		5168	PM2A	3/8/16
E10	a-Keto Valeric Acid		0.4739		5168	PM2A	3/8/16
E11	Itaconic Acid		0.5752		5168	PM2A	3/8/16
E12	5-Keto-D-Gluconic Acid		0.3889		5168	PM2A	3/8/16
F1	D-Lactic Acid Methyl Ester		0.199		5168	PM2A	3/8/16
F2	Malonic Acid		0.4022		5168	PM2A	3/8/16
F3	Melibionic Acid		0.1626		5168	PM2A	3/8/16
F4	Oxalic Acid		0.2889		5168	PM2A	3/8/16
F5	Oxalomalic Acid		0.3577		5168	PM2A	3/8/16
F6	Quinic Acid		0.3454		5168	PM2A	3/8/16
