Gene,Environment,K10,K10 low phosphate,Arginine,M63 Arginine,Xylopyranoside,L Methionine,D Saccharic Acid,D Arabinose,Pyruviate ,Citrate,One G P
rapA,Solid,57.5,343,93,106,127,141,39,51,52,299,54
gcbB,Solid,72,85,100,110,130,101,191,166,193,154,140
Pfl01_1887,Solid,159.5,132,135,223,234,159,317,460,591,267,484
Pfl01_2049,Solid,279.5,215,212,240,302,227,453,686,591,376,471
Pfl01_2170,Solid,48,57,39,60,78,75,26,25,37,32,48
Pfl01_2176,Solid,92,105,105,119,119,107,86,166,195,118,163
Pfl01_2295,Solid,112.5,106,95,94,93,104,73,49,57,131,64
Pfl01_2297,Solid,38,58,42,46,53,46,26,21,33,32,36
Pfl01_2525,Solid,67,65,58,83,97,91,63,39,48,45,69
Pfl01_2709,Solid,70,70,56,66,67,76,68,74,109,54,89
Pfl01_2920,Solid,83.5,83,77,91,108,122,89,132,108,100,117
Pfl01_3039,Solid,25,30,25,32,37,39,3,23,20,27,28
Pfl01_3508,Solid,20.5,21,29,28,37,36,26,21,26,27,15
Pfl01_3550,Solid,100.5,109,78,85,91,106,68,94,78,63,74
Pfl01_3800,Solid,135.5,141,107,129,136,127,139,218,182,149,173
Pfl01_3972,Solid,49,69,51,67,85,80,31,64,63,63,41
Pfl01_4084,Solid,372,354,304,427,633,343,874,1375,1036,579,881
Pfl01_4086,Solid,88,117,109,146,157,136,133,208,202,149,153
Pfl01_4307,Solid,47,55,69,64,97,99,29,57,33,59,43
Pfl01_4451,Solid,58,63,64,73,82,93,39,33,54,68,38
Pfl01_4487,Solid,83.5,80,83,114,139,75,201,255,210,136,171
Pfl01_4551,Solid,79.5,107,96,121,147,140,99,148,109,54,92
Pfl01_4552,Solid,72.5,101,81,85,111,110,26,43,30,14,25
gcbC,Solid,28.5,35,27,42,37,43,10,31,17,23,33
Pfl01_4876,Solid,129,100,85,120,98,103,123,144,117,113,143
Pfl01_5150,Solid,175,159,171,306,293,179,426,822,920,299,497
Pfl01_5168,Solid,238.5,198,165,263,261,185,392,325,337,163,260
Pfl01_5255,Solid,113.5,115,113,153,171,175,86,162,124,86,132
Pfl01_5518,Solid,45.5,56,58,65,53,57,68,58,72,32,66
Pfl01_5643,Solid,81,68,70,73,65,75,92,33,54,18,36
Pfl01_0958,Solid,71.5,82,82,77,100,127,60,123,76,231,158
Pfl01_1532,Solid,1839.5,1130,1239,1459,1766,883,3660,3768,4045,1634,2922
Pfl01_3860,Solid,1081,777,819,757,595,545,1554,1759,1593,1308,1638
Pfl01_4008,Solid,483.5,416,656,797,698,455,874,2106,2071,1362,2002
Pfl01_4150,Solid,1209,1132,1186,1187,943,644,2072,2673,2557,2594,2374
Pfl01_4257,Solid,534,409,287,376,491,229,1146,972,1101,385,884
Pfl01_4884,Solid,98,123,163,180,232,173,249,575,565,326,377
Pfl01_5111,Solid,104.5,132,76,62,69,66,107,49,56,18,71
