Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
A6	Dextrin		0.1074		0264	PM2A	3/1/16					
A7	Gelatin		0.2774		0264	PM2A	3/1/16					
A8	Glycogen		0.2057		0264	PM2A	3/1/16					
A9	Inulin		0.4476		0264	PM2A	3/1/16					
A10	Laminarin		0.425		0264	PM2A	3/1/16					
A11	Mannan		0.1162		0264	PM2A	3/1/16					
A12	Pectin		0.3911		0264	PM2A	3/1/16					
B1	N-Acetyl-D-Galactosamine		0.5492		0264	PM2A	3/1/16					
B2	N-Acetyl-Neuraminic Acid		0.5308		0264	PM2A	3/1/16					
B3	b-D-Allose		0.5628		0264	PM2A	3/1/16					
B4	Amygdalin		0.4005		0264	PM2A	3/1/16					
B5	D-Arabinose		0.5856		0264	PM2A	3/1/16					
B6	D-Arabitol		0.5807		0264	PM2A	3/1/16					
B7	L-Arabitol		0.4563		0264	PM2A	3/1/16					
B8	Arbutin		0.5286		0264	PM2A	3/1/16					
B9	2-Deoxy-D-Ribose		0.3887		0264	PM2A	3/1/16					
B10	I-Erythritol		0.4515		0264	PM2A	3/1/16					
B11	D-Fucose		0.5308		0264	PM2A	3/1/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.5387		0264	PM2A	3/1/16					
C1	Gentiobiose		0.4709		0264	PM2A	3/1/16					
C2	L-Glucose		0.4629		0264	PM2A	3/1/16					
C3	Lactitol		0.4741		0264	PM2A	3/1/16					
C4	D-Melezitose		0.4563		0264	PM2A	3/1/16					
C5	Maltitol		0.4976		0264	PM2A	3/1/16					
C6	a-Methyl-D-Glucoside		0.5122		0264	PM2A	3/1/16					
C7	b-Methyl-D-Gactoside		0.5118		0264	PM2A	3/1/16					
C8	3-Methyl-Glucose		0.5272		0264	PM2A	3/1/16					
C9	b-Methyl-D-Glucuronic Acid		0.3941		0264	PM2A	3/1/16					
C10	a-Methyl-D-Mannoside		0.4559		0264	PM2A	3/1/16					
C11	b-Methyl-D-Xyloside		0.5282		0264	PM2A	3/1/16					
C12	Palatinose		0.623		0264	PM2A	3/1/16					
D1	D-Raffinose		0.4805		0264	PM2A	3/1/16					
D2	Salicin		0.4881		0264	PM2A	3/1/16					
D3	Sedoheptulosa		0.5129		0264	PM2A	3/1/16					
D4	L-Sorbose		0.5227		0264	PM2A	3/1/16					
D5	Stachyose		0.4939		0264	PM2A	3/1/16					
D6	D-Tagatose		0.4855		0264	PM2A	3/1/16					
D7	Turanose		0.4533		0264	PM2A	3/1/16					
D8	Xylitol		0.5242		0264	PM2A	3/1/16					
D9	N-Acetyl-D-Glucosaminatol		0.4435		0264	PM2A	3/1/16					
D10	g-Amino Butyric Acid		0.5776		0264	PM2A	3/1/16					
D11	d-Amino Valeric Acid		0.4179		0264	PM2A	3/1/16					
D12	Butyric Acid		0.7326		0264	PM2A	3/1/16					
E1	Capric Acid		0.6023		0264	PM2A	3/1/16					
E2	Caproic Acid		0.4793		0264	PM2A	3/1/16					
E3	Citraconic Acid		0.8404		0264	PM2A	3/1/16					
E4	Citramalic Acid		0.8364		0264	PM2A	3/1/16					
E5	D-Glucosamine		0.4814		0264	PM2A	3/1/16					
E6	2-Hydroxy Benzoic Acid		0.8281		0264	PM2A	3/1/16					
E7	4-Hydroxy Benzoic Acid		0.5708		0264	PM2A	3/1/16					
E8	b-Hydroxy Butyric Acid		0.6289		0264	PM2A	3/1/16					
E9	g-Hydroxy Butyric Acid		0.4607		0264	PM2A	3/1/16					
E10	a-Keto Valeric Acid		0.7741		0264	PM2A	3/1/16					
E11	Itaconic Acid		0.7591		0264	PM2A	3/1/16					
E12	5-Keto-D-Gluconic Acid		0.555		0264	PM2A	3/1/16					
F1	D-Lactic Acid Methyl Ester		0.3468		0264	PM2A	3/1/16					
F2	Malonic Acid		0.609		0264	PM2A	3/1/16					
F3	Melibionic Acid		0.3572		0264	PM2A	3/1/16					
F4	Oxalic Acid		0.5276		0264	PM2A	3/1/16					
F5	Oxalomalic Acid		0.6713		0264	PM2A	3/1/16					
F6	Quinic Acid		0.5532		0264	PM2A	3/1/16					
F7	"D-Ribono-1,4-Lactone"		0.4807		0264	PM2A	3/1/16					
F8	Sebacic Acid		0.5835		0264	PM2A	3/1/16					
F9	Sorbic Acid		0.334		0264	PM2A	3/1/16					
F10	Succinamic Acid		0.4001		0264	PM2A	3/1/16					
F11	D-Tartaric Acid		0.793		0264	PM2A	3/1/16					
F12	L-Tartaric Acid		0.6442		0264	PM2A	3/1/16					
G1	Acetamide		0.4193		0264	PM2A	3/1/16					
G2	L-Alaninamide		0.4756		0264	PM2A	3/1/16					
G3	N-Acetyl-L-Glutamic Acid		0.487		0264	PM2A	3/1/16					
G4	L-Arginine		0.694		0264	PM2A	3/1/16					
G5	Glycine		0.353		0264	PM2A	3/1/16					
G6	L-Histidine		0.6574		0264	PM2A	3/1/16					
G7	L-Homoserine		0.131		0264	PM2A	3/1/16					
G8	Hydroxy-L-Proline		0.7329		0264	PM2A	3/1/16					
G9	L-Isoleucine		0.8677		0264	PM2A	3/1/16					
G10	L-Leucine		0.4822		0264	PM2A	3/1/16					
G11	L-Lysine		0.6446		0264	PM2A	3/1/16					
G12	L-Methionine		0.597		0264	PM2A	3/1/16					
H1	L-Ornithine		0.8412		0264	PM2A	3/1/16					
H2	Phenylalanine		0.4318		0264	PM2A	3/1/16					
H3	L-Pyroglutamic Acid		0.5665		0264	PM2A	3/1/16					
H4	L-Valine		0.4976		0264	PM2A	3/1/16					
H5	"D,L-Carnitine"		0.5538		0264	PM2A	3/1/16					
H6	Sec-Butylamine		0.5521		0264	PM2A	3/1/16					
H7	"D,L-Octopamine"		0.5218		0264	PM2A	3/1/16					
H8	Putrescine		0.5813		0264	PM2A	3/1/16					
H9	Dihydroxy Acetone		0.4985		0264	PM2A	3/1/16					
H10	"2,3-Butanediol"		0.4992		0264	PM2A	3/1/16					
H11	"2,3-Butanone"		0.3404		0264	PM2A	3/1/16					
H12	3-Hydroxy 2-Butanone		0.4714		0264	PM2A	3/1/16					
A1	Negative Control		0.2293		0623	PM2A	3/1/16					
A2	Chondroitin Sulfate C		0.1095		0623	PM2A	3/1/16					
A3	a-Cyclodextrin		0.3135		0623	PM2A	3/1/16					
A4	b-Cyclodextrin		0.2411		0623	PM2A	3/1/16					
A5	g-Cyclodextrin		0.2777		0623	PM2A	3/1/16					
A6	Dextrin		0.0326		0623	PM2A	3/1/16					
A7	Gelatin		0.0599		0623	PM2A	3/1/16					
A8	Glycogen		0.0461		0623	PM2A	3/1/16					
A9	Inulin		0.242		0623	PM2A	3/1/16					
A10	Laminarin		0.132		0623	PM2A	3/1/16					
A11	Mannan		0.0371		0623	PM2A	3/1/16					
A12	Pectin		0.0618		0623	PM2A	3/1/16					
B1	N-Acetyl-D-Galactosamine		0.2592		0623	PM2A	3/1/16					
B2	N-Acetyl-Neuraminic Acid		0.2789		0623	PM2A	3/1/16					
B3	b-D-Allose		0.3141		0623	PM2A	3/1/16					
B4	Amygdalin		0.168		0623	PM2A	3/1/16					
B5	D-Arabinose		0.2827		0623	PM2A	3/1/16					
B6	D-Arabitol		0.2912		0623	PM2A	3/1/16					
B7	L-Arabitol		0.2493		0623	PM2A	3/1/16					
B8	Arbutin		0.2368		0623	PM2A	3/1/16					
B9	2-Deoxy-D-Ribose		0.1094		0623	PM2A	3/1/16					
B10	I-Erythritol		0.2696		0623	PM2A	3/1/16					
B11	D-Fucose		0.2732		0623	PM2A	3/1/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.29		0623	PM2A	3/1/16					
C1	Gentiobiose		0.2559		0623	PM2A	3/1/16					
C2	L-Glucose		0.2993		0623	PM2A	3/1/16					
C3	Lactitol		0.246		0623	PM2A	3/1/16					
C4	D-Melezitose		0.2684		0623	PM2A	3/1/16					
C5	Maltitol		0.2216		0623	PM2A	3/1/16					
C6	a-Methyl-D-Glucoside		0.2471		0623	PM2A	3/1/16					
C7	b-Methyl-D-Gactoside		0.2471		0623	PM2A	3/1/16					
C8	3-Methyl-Glucose		0.2629		0623	PM2A	3/1/16					
C9	b-Methyl-D-Glucuronic Acid		0.2516		0623	PM2A	3/1/16					
C10	a-Methyl-D-Mannoside		0.2452		0623	PM2A	3/1/16					
C11	b-Methyl-D-Xyloside		0.2726		0623	PM2A	3/1/16					
C12	Palatinose		0.3296		0623	PM2A	3/1/16					
D1	D-Raffinose		0.2347		0623	PM2A	3/1/16					
D2	Salicin		0.2337		0623	PM2A	3/1/16					
D3	Sedoheptulosa		0.2485		0623	PM2A	3/1/16					
D4	L-Sorbose		0.2605		0623	PM2A	3/1/16					
D5	Stachyose		0.2196		0623	PM2A	3/1/16					
D6	D-Tagatose		0.271		0623	PM2A	3/1/16					
D7	Turanose		0.2186		0623	PM2A	3/1/16					
D8	Xylitol		0.2547		0623	PM2A	3/1/16					
D9	N-Acetyl-D-Glucosaminatol		0.2112		0623	PM2A	3/1/16					
D10	g-Amino Butyric Acid		0.1963		0623	PM2A	3/1/16					
D11	d-Amino Valeric Acid		0.2419		0623	PM2A	3/1/16					
D12	Butyric Acid		0.2978		0623	PM2A	3/1/16					
E1	Capric Acid		0.0714		0623	PM2A	3/1/16					
E2	Caproic Acid		0.1534		0623	PM2A	3/1/16					
E3	Citraconic Acid		0.4836		0623	PM2A	3/1/16					
E4	Citramalic Acid		0.2459		0623	PM2A	3/1/16					
E5	D-Glucosamine		0.2332		0623	PM2A	3/1/16					
E6	2-Hydroxy Benzoic Acid		0.2466		0623	PM2A	3/1/16					
E7	4-Hydroxy Benzoic Acid		0.3197		0623	PM2A	3/1/16					
E8	b-Hydroxy Butyric Acid		0.2144		0623	PM2A	3/1/16					
E9	g-Hydroxy Butyric Acid		0.2325		0623	PM2A	3/1/16					
E10	a-Keto Valeric Acid		0.4119		0623	PM2A	3/1/16					
E11	Itaconic Acid		0.3186		0623	PM2A	3/1/16					
E12	5-Keto-D-Gluconic Acid		0.2434		0623	PM2A	3/1/16					
F1	D-Lactic Acid Methyl Ester		0.2213		0623	PM2A	3/1/16					
F2	Malonic Acid		0.2611		0623	PM2A	3/1/16					
F3	Melibionic Acid		0.298		0623	PM2A	3/1/16					
F4	Oxalic Acid		0.2743		0623	PM2A	3/1/16					
F5	Oxalomalic Acid		0.2936		0623	PM2A	3/1/16					
F6	Quinic Acid		0.2024		0623	PM2A	3/1/16					
F7	"D-Ribono-1,4-Lactone"		0.2731		0623	PM2A	3/1/16					
F8	Sebacic Acid		0.2577		0623	PM2A	3/1/16					
F9	Sorbic Acid		0.072		0623	PM2A	3/1/16					
F10	Succinamic Acid		0.2442		0623	PM2A	3/1/16					
F11	D-Tartaric Acid		0.3601		0623	PM2A	3/1/16					
F12	L-Tartaric Acid		0.3115		0623	PM2A	3/1/16					
G1	Acetamide		0.2326		0623	PM2A	3/1/16					
G2	L-Alaninamide		0.2458		0623	PM2A	3/1/16					
G3	N-Acetyl-L-Glutamic Acid		0.3151		0623	PM2A	3/1/16					
G4	L-Arginine		0.2948		0623	PM2A	3/1/16					
G5	Glycine		0.319		0623	PM2A	3/1/16					
G6	L-Histidine		0.2001		0623	PM2A	3/1/16					
G7	L-Homoserine		0.0636		0623	PM2A	3/1/16					
G8	Hydroxy-L-Proline		0.2788		0623	PM2A	3/1/16					
G9	L-Isoleucine		0.3673		0623	PM2A	3/1/16					
G10	L-Leucine		0.2403		0623	PM2A	3/1/16					
G11	L-Lysine		0.2687		0623	PM2A	3/1/16					
G12	L-Methionine		0.2555		0623	PM2A	3/1/16					
H1	L-Ornithine		0.3582		0623	PM2A	3/1/16					
H2	Phenylalanine		0.1936		0623	PM2A	3/1/16					
H3	L-Pyroglutamic Acid		0.2116		0623	PM2A	3/1/16					
H4	L-Valine		0.2653		0623	PM2A	3/1/16					
H5	"D,L-Carnitine"		0.2662		0623	PM2A	3/1/16					
H6	Sec-Butylamine		0.3259		0623	PM2A	3/1/16					
H7	"D,L-Octopamine"		0.3422		0623	PM2A	3/1/16					
H8	Putrescine		0.2757		0623	PM2A	3/1/16					
H9	Dihydroxy Acetone		0.1684		0623	PM2A	3/1/16					
H10	"2,3-Butanediol"		0.2951		0623	PM2A	3/1/16					
H11	"2,3-Butanone"		0.0994		0623	PM2A	3/1/16					
H12	3-Hydroxy 2-Butanone		0.258		0623	PM2A	3/1/16					
A1	Negative Control		0.5101		4876	PM2A	3/1/16					
A2	Chondroitin Sulfate C		0.376		4876	PM2A	3/1/16					
A3	a-Cyclodextrin		0.6296		4876	PM2A	3/1/16					
A4	b-Cyclodextrin		0.4931		4876	PM2A	3/1/16					
A5	g-Cyclodextrin		0.4413		4876	PM2A	3/1/16					
A6	Dextrin		0.1149		4876	PM2A	3/1/16					
A7	Gelatin		0.2636		4876	PM2A	3/1/16					
A8	Glycogen		0.189		4876	PM2A	3/1/16					
A9	Inulin		0.3853		4876	PM2A	3/1/16					
A10	Laminarin		0.4635		4876	PM2A	3/1/16					
A11	Mannan		0.1357		4876	PM2A	3/1/16					
A12	Pectin		0.3797		4876	PM2A	3/1/16					
B1	N-Acetyl-D-Galactosamine		0.5851		4876	PM2A	3/1/16					
B2	N-Acetyl-Neuraminic Acid		0.5089		4876	PM2A	3/1/16					
B3	b-D-Allose		0.5337		4876	PM2A	3/1/16					
B4	Amygdalin		0.396		4876	PM2A	3/1/16					
B5	D-Arabinose		0.4698		4876	PM2A	3/1/16					
B6	D-Arabitol		0.7142		4876	PM2A	3/1/16					
B7	L-Arabitol		0.5686		4876	PM2A	3/1/16					
B8	Arbutin		0.5512		4876	PM2A	3/1/16					
B9	2-Deoxy-D-Ribose		0.341		4876	PM2A	3/1/16					
B10	I-Erythritol		0.5325		4876	PM2A	3/1/16					
B11	D-Fucose		0.6179		4876	PM2A	3/1/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.5431		4876	PM2A	3/1/16					
C1	Gentiobiose		0.4934		4876	PM2A	3/1/16					
C2	L-Glucose		0.5452		4876	PM2A	3/1/16					
C3	Lactitol		0.5092		4876	PM2A	3/1/16					
C4	D-Melezitose		0.4683		4876	PM2A	3/1/16					
C5	Maltitol		0.4608		4876	PM2A	3/1/16					
C6	a-Methyl-D-Glucoside		0.504		4876	PM2A	3/1/16					
C7	b-Methyl-D-Gactoside		0.5575		4876	PM2A	3/1/16					
C8	3-Methyl-Glucose		0.5237		4876	PM2A	3/1/16					
C9	b-Methyl-D-Glucuronic Acid		0.4489		4876	PM2A	3/1/16					
C10	a-Methyl-D-Mannoside		0.5238		4876	PM2A	3/1/16					
C11	b-Methyl-D-Xyloside		0.5574		4876	PM2A	3/1/16					
C12	Palatinose		0.5575		4876	PM2A	3/1/16					
D1	D-Raffinose		0.516		4876	PM2A	3/1/16					
D2	Salicin		0.4276		4876	PM2A	3/1/16					
D3	Sedoheptulosa		0.5041		4876	PM2A	3/1/16					
D4	L-Sorbose		0.434		4876	PM2A	3/1/16					
D5	Stachyose		0.441		4876	PM2A	3/1/16					
D6	D-Tagatose		0.4007		4876	PM2A	3/1/16					
D7	Turanose		0.4808		4876	PM2A	3/1/16					
D8	Xylitol		0.4436		4876	PM2A	3/1/16					
D9	N-Acetyl-D-Glucosaminatol		0.4828		4876	PM2A	3/1/16					
D10	g-Amino Butyric Acid		0.5295		4876	PM2A	3/1/16					
D11	d-Amino Valeric Acid		0.5074		4876	PM2A	3/1/16					
D12	Butyric Acid		0.8103		4876	PM2A	3/1/16					
E1	Capric Acid		0.3702		4876	PM2A	3/1/16					
E2	Caproic Acid		0.5081		4876	PM2A	3/1/16					
E3	Citraconic Acid		0.7336		4876	PM2A	3/1/16					
E4	Citramalic Acid		0.5305		4876	PM2A	3/1/16					
E5	D-Glucosamine		0.3958		4876	PM2A	3/1/16					
E6	2-Hydroxy Benzoic Acid		0.9806		4876	PM2A	3/1/16					
E7	4-Hydroxy Benzoic Acid		0.7174		4876	PM2A	3/1/16					
E8	b-Hydroxy Butyric Acid		0.51		4876	PM2A	3/1/16					
E9	g-Hydroxy Butyric Acid		0.5276		4876	PM2A	3/1/16					
E10	a-Keto Valeric Acid		0.6012		4876	PM2A	3/1/16					
E11	Itaconic Acid		0.7606		4876	PM2A	3/1/16					
E12	5-Keto-D-Gluconic Acid		0.4783		4876	PM2A	3/1/16					
F1	D-Lactic Acid Methyl Ester		0.41		4876	PM2A	3/1/16					
F2	Malonic Acid		0.6008		4876	PM2A	3/1/16					
F3	Melibionic Acid		0.2876		4876	PM2A	3/1/16					
F4	Oxalic Acid		0.4272		4876	PM2A	3/1/16					
F5	Oxalomalic Acid		0.61		4876	PM2A	3/1/16					
F6	Quinic Acid		0.6205		4876	PM2A	3/1/16					
F7	"D-Ribono-1,4-Lactone"		0.4586		4876	PM2A	3/1/16					
F8	Sebacic Acid		0.5966		4876	PM2A	3/1/16					
F9	Sorbic Acid		0.3031		4876	PM2A	3/1/16					
F10	Succinamic Acid		0.5285		4876	PM2A	3/1/16					
F11	D-Tartaric Acid		0.8751		4876	PM2A	3/1/16					
F12	L-Tartaric Acid		0.7316		4876	PM2A	3/1/16					
G1	Acetamide		0.5028		4876	PM2A	3/1/16					
G2	L-Alaninamide		0.4853		4876	PM2A	3/1/16					
G3	N-Acetyl-L-Glutamic Acid		0.504		4876	PM2A	3/1/16					
G4	L-Arginine		0.6604		4876	PM2A	3/1/16					
G5	Glycine		0.5383		4876	PM2A	3/1/16					
G6	L-Histidine		0.677		4876	PM2A	3/1/16					
G7	L-Homoserine		0.0874		4876	PM2A	3/1/16					
G8	Hydroxy-L-Proline		0.6198		4876	PM2A	3/1/16					
G9	L-Isoleucine		0.8037		4876	PM2A	3/1/16					
G10	L-Leucine		0.6569		4876	PM2A	3/1/16					
G11	L-Lysine		0.6947		4876	PM2A	3/1/16					
G12	L-Methionine		0.6801		4876	PM2A	3/1/16					
H1	L-Ornithine		0.7376		4876	PM2A	3/1/16					
H2	Phenylalanine		0.4378		4876	PM2A	3/1/16					
H3	L-Pyroglutamic Acid		0.5264		4876	PM2A	3/1/16					
H4	L-Valine		0.5703		4876	PM2A	3/1/16					
H5	"D,L-Carnitine"		0.5394		4876	PM2A	3/1/16					
H6	Sec-Butylamine		0.6027		4876	PM2A	3/1/16					
H7	"D,L-Octopamine"		0.5243		4876	PM2A	3/1/16					
H8	Putrescine		0.6101		4876	PM2A	3/1/16					
H9	Dihydroxy Acetone		0.3985		4876	PM2A	3/1/16					
H10	"2,3-Butanediol"		0.5373		4876	PM2A	3/1/16					
H11	"2,3-Butanone"		0.339		4876	PM2A	3/1/16					
H12	3-Hydroxy 2-Butanone		0.5496		4876	PM2A	3/1/16					
A1	Negative Control		0.3251		2920	PM2A	3/1/16					
A2	Chondroitin Sulfate C		0.2629		2920	PM2A	3/1/16					
A3	a-Cyclodextrin		0.4338		2920	PM2A	3/1/16					
A4	b-Cyclodextrin		0.3704		2920	PM2A	3/1/16					
A5	g-Cyclodextrin		0.3201		2920	PM2A	3/1/16					
A6	Dextrin		0.0719		2920	PM2A	3/1/16					
A7	Gelatin		0.2188		2920	PM2A	3/1/16					
A8	Glycogen		0.1729		2920	PM2A	3/1/16					
A9	Inulin		0.3142		2920	PM2A	3/1/16					
A10	Laminarin		0.3309		2920	PM2A	3/1/16					
A11	Mannan		0.0894		2920	PM2A	3/1/16					
A12	Pectin		0.2276		2920	PM2A	3/1/16					
B1	N-Acetyl-D-Galactosamine		0.3459		2920	PM2A	3/1/16					
B2	N-Acetyl-Neuraminic Acid		0.3195		2920	PM2A	3/1/16					
B3	b-D-Allose		0.3465		2920	PM2A	3/1/16					
B4	Amygdalin		0.2843		2920	PM2A	3/1/16					
B5	D-Arabinose		0.3757		2920	PM2A	3/1/16					
B6	D-Arabitol		0.4709		2920	PM2A	3/1/16					
B7	L-Arabitol		0.2881		2920	PM2A	3/1/16					
B8	Arbutin		0.3116		2920	PM2A	3/1/16					
B9	2-Deoxy-D-Ribose		0.2626		2920	PM2A	3/1/16					
B10	I-Erythritol		0.2637		2920	PM2A	3/1/16					
B11	D-Fucose		0.3367		2920	PM2A	3/1/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.3829		2920	PM2A	3/1/16					
C1	Gentiobiose		0.3138		2920	PM2A	3/1/16					
C2	L-Glucose		0.34		2920	PM2A	3/1/16					
C3	Lactitol		0.2909		2920	PM2A	3/1/16					
C4	D-Melezitose		0.2896		2920	PM2A	3/1/16					
C5	Maltitol		0.2895		2920	PM2A	3/1/16					
C6	a-Methyl-D-Glucoside		0.2742		2920	PM2A	3/1/16					
C7	b-Methyl-D-Gactoside		0.2734		2920	PM2A	3/1/16					
C8	3-Methyl-Glucose		0.381		2920	PM2A	3/1/16					
C9	b-Methyl-D-Glucuronic Acid		0.2666		2920	PM2A	3/1/16					
C10	a-Methyl-D-Mannoside		0.2651		2920	PM2A	3/1/16					
C11	b-Methyl-D-Xyloside		0.2865		2920	PM2A	3/1/16					
C12	Palatinose		0.3899		2920	PM2A	3/1/16					
D1	D-Raffinose		0.3129		2920	PM2A	3/1/16					
D2	Salicin		0.3127		2920	PM2A	3/1/16					
