Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
E12	Adenosine		0.1874		WT	PM1	5/7/16					
F1	Glycil-L-Aspartic Acid		0.2191		WT	PM1	5/7/16					
F2	Citric Acid		0.2389		WT	PM1	5/7/16					
F3	M-Inositol		0.1999		WT	PM1	5/7/16					
F4	D-Threonine		0.3194		WT	PM1	5/7/16					
F5	Fumaric Acid		0.2679		WT	PM1	5/7/16					
F6	Bromo Succinic Acid		0.1964		WT	PM1	5/7/16					
F7	Propionic Acid		0.315		WT	PM1	5/7/16					
F8	Mucic Acid		0.158		WT	PM1	5/7/16					
F9	Glycolic Acid		0.1988		WT	PM1	5/7/16					
F10	Glyoxylic Acid		0.2128		WT	PM1	5/7/16					
F11	D-Cellobiose		0.2497		WT	PM1	5/7/16					
F12	Inosine		0.1956		WT	PM1	5/7/16					
G1	Glycil-L-Glutamic Acid		0.2377		WT	PM1	5/7/16					
G2	Tricarballylic Acid		0.245		WT	PM1	5/7/16					
G3	L-Serine		0.2862		WT	PM1	5/7/16					
G4	L-Threonine		0.3627		WT	PM1	5/7/16					
G5	L-Alanine		0.2203		WT	PM1	5/7/16					
G6	L-Alanyl-Glycine		0.2031		WT	PM1	5/7/16					
G7	Acetoacetic Acid		0.2251		WT	PM1	5/7/16					
G8	N-Acetyl-b-D-Mannosamine		0.2406		WT	PM1	5/7/16					
G9	Mono Methyl Succinate		0.2089		WT	PM1	5/7/16					
G10	Methyl Pyruvate		0.1805		WT	PM1	5/7/16					
G11	D-Malic Acid		0.2754		WT	PM1	5/7/16					
G12	L-Malic Acid		0.2366		WT	PM1	5/7/16					
H1	Glycil-L-Proline		0.2081		WT	PM1	5/7/16					
H2	p-Hydroxy Phenyl Acetic Acid		0.2052		WT	PM1	5/7/16					
H3	m-Hydroxy Phenyl Acetic Acid		0.235		WT	PM1	5/7/16					
H4	Tyramine		0.3551		WT	PM1	5/7/16					
H5	D-Psicose		0.2761		WT	PM1	5/7/16					
H6	L-Lyxose		0.2567		WT	PM1	5/7/16					
H7	Glucuronamide		0.2469		WT	PM1	5/7/16					
H8	Pyruvic Acid		0.2248		WT	PM1	5/7/16					
H9	L-Galactonic Acid-g-Lactone		0.2504		WT	PM1	5/7/16					
H10	D-Galacturonic Acid		0.2653		WT	PM1	5/7/16					
H11	Phenylethyl-amine		0.3019		WT	PM1	5/7/16					
H12	2-Aminoethanol		0.3302		WT	PM1	5/7/16					
A1	Negative Control		0.3123		GcbC	PM1	5/7/16					
A2	L-Arabinose		0.3725		GcbC	PM1	5/7/16					
A3	N-Acetyl-D-Glucosamine		0.2898		GcbC	PM1	5/7/16					
A4	D-Saccharic Acid		0.3882		GcbC	PM1	5/7/16					
A5	Succinic Acid		0.322		GcbC	PM1	5/7/16					
A6	D-Galactose		0.3548		GcbC	PM1	5/7/16					
A7	L-Aspartic Acid		0.4582		GcbC	PM1	5/7/16					
A8	L-Proline		0.2831		GcbC	PM1	5/7/16					
A9	D-Alanine		0.268		GcbC	PM1	5/7/16					
A10	D-Trehalose		0.3123		GcbC	PM1	5/7/16					
A11	D-Mannose		0.3662		GcbC	PM1	5/7/16					
A12	Dulcitol		0.2971		GcbC	PM1	5/7/16					
B1	D-Serine		0.2052		GcbC	PM1	5/7/16					
B2	D-Sorbitol		0.3036		GcbC	PM1	5/7/16					
B3	Glycerol		0.3121		GcbC	PM1	5/7/16					
B4	L-Fucose		0.2879		GcbC	PM1	5/7/16					
B5	D-Glucuronic Acid		0.2702		GcbC	PM1	5/7/16					
B6	D-Gluconic Acid		0.4402		GcbC	PM1	5/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.2931		GcbC	PM1	5/7/16					
B8	D-Xylose		0.3583		GcbC	PM1	5/7/16					
B9	L-Lactic Acid		0.3269		GcbC	PM1	5/7/16					
B10	Formic Acid		0.2949		GcbC	PM1	5/7/16					
B11	D-Mannitol		0.4302		GcbC	PM1	5/7/16					
B12	L-Glutamic Acid		0.3481		GcbC	PM1	5/7/16					
C1	D-Glucose-6-Phosphate		0.3723		GcbC	PM1	5/7/16					
C2	D-Galactonic Acid-g-Lactone		0.4092		GcbC	PM1	5/7/16					
C3	"D,L-Malic Acid"		0.3884		GcbC	PM1	5/7/16					
C4	D-Ribose		0.3178		GcbC	PM1	5/7/16					
C5	Tween 20		0.0222		GcbC	PM1	5/7/16					
C6	L-Rhamnose		0.3246		GcbC	PM1	5/7/16					
C7	D-Fructose		0.291		GcbC	PM1	5/7/16					
C8	Acetic Acid		0.2972		GcbC	PM1	5/7/16					
C9	a-D-Glucose		0.4245		GcbC	PM1	5/7/16					
C10	Maltose		0.3012		GcbC	PM1	5/7/16					
C11	D-Melibiose		0.2919		GcbC	PM1	5/7/16					
C12	Thymidine		0.318		GcbC	PM1	5/7/16					
D1	L-Asparagine		0.3394		GcbC	PM1	5/7/16					
D2	D-Aspartic Acid		0.2517		GcbC	PM1	5/7/16					
D3	D-Glucosaminic Acid		0.3579		GcbC	PM1	5/7/16					
D4	"1,2-Propanediol"		0.2639		GcbC	PM1	5/7/16					
D5	Tween 40		0.1816		GcbC	PM1	5/7/16					
D6	a-Keto-Glutaric Acid		0.4593		GcbC	PM1	5/7/16					
D7	a-Keto-Butyric Acid		0.3746		GcbC	PM1	5/7/16					
D8	a-Methyl-D-Galactoside		0.2788		GcbC	PM1	5/7/16					
D9	a-D-Lactose		0.2791		GcbC	PM1	5/7/16					
D10	Lactulose		0.3035		GcbC	PM1	5/7/16					
D11	Sucrose		0.295		GcbC	PM1	5/7/16					
D12	Uridine		0.28		GcbC	PM1	5/7/16					
E1	L-Glutamine		0.3109		GcbC	PM1	5/7/16					
E2	M-Tartaric Acid		0.5148		GcbC	PM1	5/7/16					
E3	D-Glucose-1-Phosphate		0.3189		GcbC	PM1	5/7/16					
E4	D-Fructose-6-Phosphate		0.254		GcbC	PM1	5/7/16					
E5	Tween 80		0.0151		GcbC	PM1	5/7/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.2987		GcbC	PM1	5/7/16					
E7	a-Hydroxy Butyric Acid		0.412		GcbC	PM1	5/7/16					
E8	b-Methyl-D-Glucoside		0.3071		GcbC	PM1	5/7/16					
E9	Adonitol		0.2845		GcbC	PM1	5/7/16					
E10	Maltotriose		0.2952		GcbC	PM1	5/7/16					
E11	2-Deoxy Adenosine		0.2699		GcbC	PM1	5/7/16					
E12	Adenosine		0.2413		GcbC	PM1	5/7/16					
F1	Glycil-L-Aspartic Acid		0.3144		GcbC	PM1	5/7/16					
F2	Citric Acid		0.3624		GcbC	PM1	5/7/16					
F3	M-Inositol		0.3129		GcbC	PM1	5/7/16					
F4	D-Threonine		0.36		GcbC	PM1	5/7/16					
F5	Fumaric Acid		0.3164		GcbC	PM1	5/7/16					
F6	Bromo Succinic Acid		0.3076		GcbC	PM1	5/7/16					
F7	Propionic Acid		0.3669		GcbC	PM1	5/7/16					
F8	Mucic Acid		0.2346		GcbC	PM1	5/7/16					
F9	Glycolic Acid		0.2881		GcbC	PM1	5/7/16					
F10	Glyoxylic Acid		0.4016		GcbC	PM1	5/7/16					
F11	D-Cellobiose		0.2891		GcbC	PM1	5/7/16					
F12	Inosine		0.2747		GcbC	PM1	5/7/16					
G1	Glycil-L-Glutamic Acid		0.323		GcbC	PM1	5/7/16					
G2	Tricarballylic Acid		0.3319		GcbC	PM1	5/7/16					
G3	L-Serine		0.3189		GcbC	PM1	5/7/16					
G4	L-Threonine		0.3948		GcbC	PM1	5/7/16					
G5	L-Alanine		0.2823		GcbC	PM1	5/7/16					
G6	L-Alanyl-Glycine		0.2672		GcbC	PM1	5/7/16					
G7	Acetoacetic Acid		0.2658		GcbC	PM1	5/7/16					
G8	N-Acetyl-b-D-Mannosamine		0.2858		GcbC	PM1	5/7/16					
G9	Mono Methyl Succinate		0.2568		GcbC	PM1	5/7/16					
G10	Methyl Pyruvate		0.246		GcbC	PM1	5/7/16					
G11	D-Malic Acid		0.3597		GcbC	PM1	5/7/16					
G12	L-Malic Acid		0.2805		GcbC	PM1	5/7/16					
H1	Glycil-L-Proline		0.2826		GcbC	PM1	5/7/16					
H2	p-Hydroxy Phenyl Acetic Acid		0.2853		GcbC	PM1	5/7/16					
H3	m-Hydroxy Phenyl Acetic Acid		0.2913		GcbC	PM1	5/7/16					
H4	Tyramine		0.3002		GcbC	PM1	5/7/16					
H5	D-Psicose		0.3071		GcbC	PM1	5/7/16					
H6	L-Lyxose		0.2719		GcbC	PM1	5/7/16					
H7	Glucuronamide		0.2982		GcbC	PM1	5/7/16					
H8	Pyruvic Acid		0.3024		GcbC	PM1	5/7/16					
H9	L-Galactonic Acid-g-Lactone		0.2812		GcbC	PM1	5/7/16					
H10	D-Galacturonic Acid		0.3183		GcbC	PM1	5/7/16					
H11	Phenylethyl-amine		0.376		GcbC	PM1	5/7/16					
H12	2-Aminoethanol		0.3035		GcbC	PM1	5/7/16					
A1	Negative Control		0.3981		4086	PM1	5/7/16					
A2	L-Arabinose		0.5281		4086	PM1	5/7/16					
A3	N-Acetyl-D-Glucosamine		0.3096		4086	PM1	5/7/16					
A4	D-Saccharic Acid		0.5481		4086	PM1	5/7/16					
A5	Succinic Acid		0.4214		4086	PM1	5/7/16					
A6	D-Galactose		0.4821		4086	PM1	5/7/16					
A7	L-Aspartic Acid		0.5666		4086	PM1	5/7/16					
A8	L-Proline		0.4006		4086	PM1	5/7/16					
A9	D-Alanine		0.3712		4086	PM1	5/7/16					
A10	D-Trehalose		0.402		4086	PM1	5/7/16					
A11	D-Mannose		0.4944		4086	PM1	5/7/16					
A12	Dulcitol		0.3838		4086	PM1	5/7/16					
B1	D-Serine		0.3822		4086	PM1	5/7/16					
B2	D-Sorbitol		0.4247		4086	PM1	5/7/16					
B3	Glycerol		0.4201		4086	PM1	5/7/16					
B4	L-Fucose		0.4677		4086	PM1	5/7/16					
B5	D-Glucuronic Acid		0.4135		4086	PM1	5/7/16					
B6	D-Gluconic Acid		0.549		4086	PM1	5/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.4625		4086	PM1	5/7/16					
B8	D-Xylose		0.5736		4086	PM1	5/7/16					
B9	L-Lactic Acid		0.4405		4086	PM1	5/7/16					
B10	Formic Acid		0.3746		4086	PM1	5/7/16					
B11	D-Mannitol		0.5303		4086	PM1	5/7/16					
B12	L-Glutamic Acid		0.4013		4086	PM1	5/7/16					
C1	D-Glucose-6-Phosphate		0.4833		4086	PM1	5/7/16					
C2	D-Galactonic Acid-g-Lactone		0.5352		4086	PM1	5/7/16					
C3	"D,L-Malic Acid"		0.3882		4086	PM1	5/7/16					
C4	D-Ribose		0.4586		4086	PM1	5/7/16					
C5	Tween 20		0.0369		4086	PM1	5/7/16					
C6	L-Rhamnose		0.3687		4086	PM1	5/7/16					
C7	D-Fructose		0.5052		4086	PM1	5/7/16					
C8	Acetic Acid		0.4218		4086	PM1	5/7/16					
C9	a-D-Glucose		0.5367		4086	PM1	5/7/16					
C10	Maltose		0.3937		4086	PM1	5/7/16					
C11	D-Melibiose		0.4127		4086	PM1	5/7/16					
C12	Thymidine		0.4214		4086	PM1	5/7/16					
D1	L-Asparagine		0.384		4086	PM1	5/7/16					
D2	D-Aspartic Acid		0.6216		4086	PM1	5/7/16					
D3	D-Glucosaminic Acid		0.5384		4086	PM1	5/7/16					
D4	"1,2-Propanediol"		0.4055		4086	PM1	5/7/16					
D5	Tween 40		0.1144		4086	PM1	5/7/16					
D6	a-Keto-Glutaric Acid		0.4281		4086	PM1	5/7/16					
D7	a-Keto-Butyric Acid		0.542		4086	PM1	5/7/16					
D8	a-Methyl-D-Galactoside		0.408		4086	PM1	5/7/16					
D9	a-D-Lactose		0.4158		4086	PM1	5/7/16					
D10	Lactulose		0.4303		4086	PM1	5/7/16					
D11	Sucrose		0.4224		4086	PM1	5/7/16					
D12	Uridine		0.3325		4086	PM1	5/7/16					
E1	L-Glutamine		0.4566		4086	PM1	5/7/16					
E2	M-Tartaric Acid		0.7983		4086	PM1	5/7/16					
E3	D-Glucose-1-Phosphate		0.4142		4086	PM1	5/7/16					
E4	D-Fructose-6-Phosphate		0.3937		4086	PM1	5/7/16					
E5	Tween 80		0.0331		4086	PM1	5/7/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.3831		4086	PM1	5/7/16					
E7	a-Hydroxy Butyric Acid		0.5983		4086	PM1	5/7/16					
E8	b-Methyl-D-Glucoside		0.4184		4086	PM1	5/7/16					
E9	Adonitol		0.4426		4086	PM1	5/7/16					
E10	Maltotriose		0.4125		4086	PM1	5/7/16					
E11	2-Deoxy Adenosine		0.3353		4086	PM1	5/7/16					
E12	Adenosine		0.2569		4086	PM1	5/7/16					
F1	Glycil-L-Aspartic Acid		0.3983		4086	PM1	5/7/16					
F2	Citric Acid		0.4277		4086	PM1	5/7/16					
F3	M-Inositol		0.3941		4086	PM1	5/7/16					
F4	D-Threonine		0.4708		4086	PM1	5/7/16					
F5	Fumaric Acid		0.4197		4086	PM1	5/7/16					
F6	Bromo Succinic Acid		0.4229		4086	PM1	5/7/16					
F7	Propionic Acid		0.5296		4086	PM1	5/7/16					
F8	Mucic Acid		0.2398		4086	PM1	5/7/16					
F9	Glycolic Acid		0.4006		4086	PM1	5/7/16					
F10	Glyoxylic Acid		0.3887		4086	PM1	5/7/16					
F11	D-Cellobiose		0.4008		4086	PM1	5/7/16					
F12	Inosine		0.3186		4086	PM1	5/7/16					
G1	Glycil-L-Glutamic Acid		0.4263		4086	PM1	5/7/16					
G2	Tricarballylic Acid		0.4839		4086	PM1	5/7/16					
G3	L-Serine		0.4918		4086	PM1	5/7/16					
G4	L-Threonine		0.5318		4086	PM1	5/7/16					
G5	L-Alanine		0.4105		4086	PM1	5/7/16					
G6	L-Alanyl-Glycine		0.3316		4086	PM1	5/7/16					
G7	Acetoacetic Acid		0.3032		4086	PM1	5/7/16					
G8	N-Acetyl-b-D-Mannosamine		0.3992		4086	PM1	5/7/16					
G9	Mono Methyl Succinate		0.4025		4086	PM1	5/7/16					
G10	Methyl Pyruvate		0.3532		4086	PM1	5/7/16					
G11	D-Malic Acid		0.4187		4086	PM1	5/7/16					
G12	L-Malic Acid		0.3335		4086	PM1	5/7/16					
H1	Glycil-L-Proline		0.3451		4086	PM1	5/7/16					
H2	p-Hydroxy Phenyl Acetic Acid		0.3416		4086	PM1	5/7/16					
H3	m-Hydroxy Phenyl Acetic Acid		0.39		4086	PM1	5/7/16					
H4	Tyramine		0.5413		4086	PM1	5/7/16					
H5	D-Psicose		0.4258		4086	PM1	5/7/16					
H6	L-Lyxose		0.4647		4086	PM1	5/7/16					
H7	Glucuronamide		0.3147		4086	PM1	5/7/16					
H8	Pyruvic Acid		0.3324		4086	PM1	5/7/16					
H9	L-Galactonic Acid-g-Lactone		0.417		4086	PM1	5/7/16					
H10	D-Galacturonic Acid		0.4194		4086	PM1	5/7/16					
H11	Phenylethyl-amine		0.4473		4086	PM1	5/7/16					
H12	2-Aminoethanol		0.4811		4086	PM1	5/7/16					
A1	Negative Control		0.2361		4257	PM1	5/7/16					
A2	L-Arabinose		0.2728		4257	PM1	5/7/16					
A3	N-Acetyl-D-Glucosamine		0.1779		4257	PM1	5/7/16					
A4	D-Saccharic Acid		0.3591		4257	PM1	5/7/16					
A5	Succinic Acid		0.2626		4257	PM1	5/7/16					
A6	D-Galactose		0.2909		4257	PM1	5/7/16					
A7	L-Aspartic Acid		0.4013		4257	PM1	5/7/16					
A8	L-Proline		0.2695		4257	PM1	5/7/16					
A9	D-Alanine		0.2145		4257	PM1	5/7/16					
A10	D-Trehalose		0.2112		4257	PM1	5/7/16					
A11	D-Mannose		0.3566		4257	PM1	5/7/16					
A12	Dulcitol		0.2281		4257	PM1	5/7/16					
B1	D-Serine		0.2502		4257	PM1	5/7/16					
B2	D-Sorbitol		0.2423		4257	PM1	5/7/16					
B3	Glycerol		0.2135		4257	PM1	5/7/16					
B4	L-Fucose		0.2404		4257	PM1	5/7/16					
B5	D-Glucuronic Acid		0.1948		4257	PM1	5/7/16					
B6	D-Gluconic Acid		0.3775		4257	PM1	5/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.2204		4257	PM1	5/7/16					
B8	D-Xylose		0.2902		4257	PM1	5/7/16					
B9	L-Lactic Acid		0.2502		4257	PM1	5/7/16					
B10	Formic Acid		0.2578		4257	PM1	5/7/16					
B11	D-Mannitol		0.3887		4257	PM1	5/7/16					
B12	L-Glutamic Acid		0.3291		4257	PM1	5/7/16					
C1	D-Glucose-6-Phosphate		0.2852		4257	PM1	5/7/16					
C2	D-Galactonic Acid-g-Lactone		0.389		4257	PM1	5/7/16					
C3	"D,L-Malic Acid"		0.2546		4257	PM1	5/7/16					
C4	D-Ribose		0.229		4257	PM1	5/7/16					
C5	Tween 20		0.0293		4257	PM1	5/7/16					
C6	L-Rhamnose		0.2153		4257	PM1	5/7/16					
C7	D-Fructose		0.2483		4257	PM1	5/7/16					
C8	Acetic Acid		0.2472		4257	PM1	5/7/16					
C9	a-D-Glucose		0.3302		4257	PM1	5/7/16					
C10	Maltose		0.2081		4257	PM1	5/7/16					
C11	D-Melibiose		0.2156		4257	PM1	5/7/16					
C12	Thymidine		0.2648		4257	PM1	5/7/16					
D1	L-Asparagine		0.2557		4257	PM1	5/7/16					
D2	D-Aspartic Acid		0.2204		4257	PM1	5/7/16					
D3	D-Glucosaminic Acid		0.3477		4257	PM1	5/7/16					
D4	"1,2-Propanediol"		0.2139		4257	PM1	5/7/16					
D5	Tween 40		0.0945		4257	PM1	5/7/16					
D6	a-Keto-Glutaric Acid		0.2137		4257	PM1	5/7/16					
D7	a-Keto-Butyric Acid		0.2816		4257	PM1	5/7/16					
D8	a-Methyl-D-Galactoside		0.18		4257	PM1	5/7/16					
D9	a-D-Lactose		0.1839		4257	PM1	5/7/16					
D10	Lactulose		0.2043		4257	PM1	5/7/16					
D11	Sucrose		0.2241		4257	PM1	5/7/16					
D12	Uridine		0.1845		4257	PM1	5/7/16					
E1	L-Glutamine		0.2717		4257	PM1	5/7/16					
E2	M-Tartaric Acid		0.3995		4257	PM1	5/7/16					
E3	D-Glucose-1-Phosphate		0.2281		4257	PM1	5/7/16					
E4	D-Fructose-6-Phosphate		0.1794		4257	PM1	5/7/16					
E5	Tween 80		0.0224		4257	PM1	5/7/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.1794		4257	PM1	5/7/16					
E7	a-Hydroxy Butyric Acid		0.3337		4257	PM1	5/7/16					
E8	b-Methyl-D-Glucoside		0.1921		4257	PM1	5/7/16					
E9	Adonitol		0.1937		4257	PM1	5/7/16					
E10	Maltotriose		0.2125		4257	PM1	5/7/16					
E11	2-Deoxy Adenosine		0.1892		4257	PM1	5/7/16					
E12	Adenosine		0.1755		4257	PM1	5/7/16					
F1	Glycil-L-Aspartic Acid		0.2227		4257	PM1	5/7/16					
F2	Citric Acid		0.245		4257	PM1	5/7/16					
F3	M-Inositol		0.1987		4257	PM1	5/7/16					
F4	D-Threonine		0.2697		4257	PM1	5/7/16					
F5	Fumaric Acid		0.2417		4257	PM1	5/7/16					
F6	Bromo Succinic Acid		0.176		4257	PM1	5/7/16					
F7	Propionic Acid		0.2763		4257	PM1	5/7/16					
F8	Mucic Acid		0.164		4257	PM1	5/7/16					
F9	Glycolic Acid		0.1716		4257	PM1	5/7/16					
F10	Glyoxylic Acid		0.2155		4257	PM1	5/7/16					
F11	D-Cellobiose		0.2048		4257	PM1	5/7/16					
F12	Inosine		0.218		4257	PM1	5/7/16					
G1	Glycil-L-Glutamic Acid		0.2482		4257	PM1	5/7/16					
G2	Tricarballylic Acid		0.2099		4257	PM1	5/7/16					
G3	L-Serine		0.311		4257	PM1	5/7/16					
G4	L-Threonine		0.346		4257	PM1	5/7/16					
G5	L-Alanine		0.2425		4257	PM1	5/7/16					
G6	L-Alanyl-Glycine		0.1832		4257	PM1	5/7/16					
G7	Acetoacetic Acid		0.209		4257	PM1	5/7/16					
G8	N-Acetyl-b-D-Mannosamine		0.1896		4257	PM1	5/7/16					
G9	Mono Methyl Succinate		0.2134		4257	PM1	5/7/16					
G10	Methyl Pyruvate		0.192		4257	PM1	5/7/16					
G11	D-Malic Acid		0.2383		4257	PM1	5/7/16					
G12	L-Malic Acid		0.252		4257	PM1	5/7/16					
H1	Glycil-L-Proline		0.1985		4257	PM1	5/7/16					
H2	p-Hydroxy Phenyl Acetic Acid		0.2015		4257	PM1	5/7/16					
H3	m-Hydroxy Phenyl Acetic Acid		0.208		4257	PM1	5/7/16					
H4	Tyramine		0.2466		4257	PM1	5/7/16					
H5	D-Psicose		0.2029		4257	PM1	5/7/16					
H6	L-Lyxose		0.2187		4257	PM1	5/7/16					
H7	Glucuronamide		0.1666		4257	PM1	5/7/16					
H8	Pyruvic Acid		0.1914		4257	PM1	5/7/16					
H9	L-Galactonic Acid-g-Lactone		0.1768		4257	PM1	5/7/16					
H10	D-Galacturonic Acid		0.2242		4257	PM1	5/7/16					
H11	Phenylethyl-amine		0.2341		4257	PM1	5/7/16					
H12	2-Aminoethanol		0.3244		4257	PM1	5/7/16					
A1	Negative Control		0.3113		4884	PM1	5/7/16					
A2	L-Arabinose		0.3983		4884	PM1	5/7/16					
A3	N-Acetyl-D-Glucosamine		0.3064		4884	PM1	5/7/16					
A4	D-Saccharic Acid		0.2966		4884	PM1	5/7/16					
A5	Succinic Acid		0.2841		4884	PM1	5/7/16					
A6	D-Galactose		0.0922		4884	PM1	5/7/16					
A7	L-Aspartic Acid		0.1255		4884	PM1	5/7/16					
A8	L-Proline		0.1188		4884	PM1	5/7/16					
A9	D-Alanine		0.2505		4884	PM1	5/7/16					
A10	D-Trehalose		0.2222		4884	PM1	5/7/16					
A11	D-Mannose		0.0717		4884	PM1	5/7/16					
A12	Dulcitol		0.1333		4884	PM1	5/7/16					
B1	D-Serine		0.3029		4884	PM1	5/7/16					
B2	D-Sorbitol		0.3433		4884	PM1	5/7/16					
B3	Glycerol		0.3388		4884	PM1	5/7/16					
B4	L-Fucose		0.2753		4884	PM1	5/7/16					
B5	D-Glucuronic Acid		0.3118		4884	PM1	5/7/16					
B6	D-Gluconic Acid		0.3781		4884	PM1	5/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.295		4884	PM1	5/7/16					
B8	D-Xylose		0.2969		4884	PM1	5/7/16					
B9	L-Lactic Acid		0.2195		4884	PM1	5/7/16					
B10	Formic Acid		0.308		4884	PM1	5/7/16					
B11	D-Mannitol		0.2774		4884	PM1	5/7/16					
B12	L-Glutamic Acid		0.234		4884	PM1	5/7/16					
C1	D-Glucose-6-Phosphate		0.3188		4884	PM1	5/7/16					
C2	D-Galactonic Acid-g-Lactone		0.3296		4884	PM1	5/7/16					
C3	"D,L-Malic Acid"		0.2881		4884	PM1	5/7/16					
C4	D-Ribose		0.302		4884	PM1	5/7/16					
C5	Tween 20		0.2971		4884	PM1	5/7/16					
C6	L-Rhamnose		0.2922		4884	PM1	5/7/16					
C7	D-Fructose		0.2852		4884	PM1	5/7/16					
C8	Acetic Acid		0.2336		4884	PM1	5/7/16					
C9	a-D-Glucose		0.2689		4884	PM1	5/7/16					
C10	Maltose		0.294		4884	PM1	5/7/16					
C11	D-Melibiose		0.2719		4884	PM1	5/7/16					
C12	Thymidine		0.3067		4884	PM1	5/7/16					
D1	L-Asparagine		0.2822		4884	PM1	5/7/16					
D2	D-Aspartic Acid		0.274		4884	PM1	5/7/16					
D3	D-Glucosaminic Acid		0.2955		4884	PM1	5/7/16					
D4	"1,2-Propanediol"		0.3152		4884	PM1	5/7/16					
D5	Tween 40		0.3018		4884	PM1	5/7/16					
D6	a-Keto-Glutaric Acid		0.3337		4884	PM1	5/7/16					
D7	a-Keto-Butyric Acid		0.299		4884	PM1	5/7/16					
D8	a-Methyl-D-Galactoside		0.3181		4884	PM1	5/7/16					
D9	a-D-Lactose		0.2574		4884	PM1	5/7/16					
