Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.329		WT	PM1	6/12/16 1					
E7	a-Hydroxy Butyric Acid		0.499		WT	PM1	6/12/16 1					
E8	b-Methyl-D-Glucoside		0.292		WT	PM1	6/12/16 1					
E9	Adonitol		0.314		WT	PM1	6/12/16 1					
E10	Maltotriose		0.275		WT	PM1	6/12/16 1					
E11	2-Deoxy Adenosine		0.232		WT	PM1	6/12/16 1					
E12	Adenosine		0.172		WT	PM1	6/12/16 1					
F1	Glycil-L-Aspartic Acid		0.327		WT	PM1	6/12/16 1					
F2	Citric Acid		0.437		WT	PM1	6/12/16 1					
F3	M-Inositol		0.347		WT	PM1	6/12/16 1					
F4	D-Threonine		0.362		WT	PM1	6/12/16 1					
F5	Fumaric Acid		0.358		WT	PM1	6/12/16 1					
F6	Bromo Succinic Acid		0.366		WT	PM1	6/12/16 1					
F7	Propionic Acid		0.36		WT	PM1	6/12/16 1					
F8	Mucic Acid		0.3		WT	PM1	6/12/16 1					
F9	Glycolic Acid		0.345		WT	PM1	6/12/16 1					
F10	Glyoxylic Acid		0.313		WT	PM1	6/12/16 1					
F11	D-Cellobiose		0.253		WT	PM1	6/12/16 1					
F12	Inosine		0.236		WT	PM1	6/12/16 1					
G1	Glycil-L-Glutamic Acid		0.321		WT	PM1	6/12/16 1					
G2	Tricarballylic Acid		0.368		WT	PM1	6/12/16 1					
G3	L-Serine		0.402		WT	PM1	6/12/16 1					
G4	L-Threonine		0.401		WT	PM1	6/12/16 1					
G5	L-Alanine		0.331		WT	PM1	6/12/16 1					
G6	L-Alanyl-Glycine		0.29		WT	PM1	6/12/16 1					
G7	Acetoacetic Acid		0.34		WT	PM1	6/12/16 1					
G8	N-Acetyl-b-D-Mannosamine		0.324		WT	PM1	6/12/16 1					
G9	Mono Methyl Succinate		0.337		WT	PM1	6/12/16 1					
G10	Methyl Pyruvate		0.269		WT	PM1	6/12/16 1					
G11	D-Malic Acid		0.406		WT	PM1	6/12/16 1					
G12	L-Malic Acid		0.352		WT	PM1	6/12/16 1					
H1	Glycil-L-Proline		0.263		WT	PM1	6/12/16 1					
H2	p-Hydroxy Phenyl Acetic Acid		0.288		WT	PM1	6/12/16 1					
H3	m-Hydroxy Phenyl Acetic Acid		0.297		WT	PM1	6/12/16 1					
H4	Tyramine		0.424		WT	PM1	6/12/16 1					
H5	D-Psicose		0.313		WT	PM1	6/12/16 1					
H6	L-Lyxose		0.365		WT	PM1	6/12/16 1					
H7	Glucuronamide		0.309		WT	PM1	6/12/16 1					
H8	Pyruvic Acid		0.341		WT	PM1	6/12/16 1					
H9	L-Galactonic Acid-g-Lactone		0.324		WT	PM1	6/12/16 1					
H10	D-Galacturonic Acid		0.302		WT	PM1	6/12/16 1					
H11	Phenylethyl-amine		0.395		WT	PM1	6/12/16 1					
H12	2-Aminoethanol		0.31		WT	PM1	6/12/16 1					
A1	Negative Control		0.326		WT	PM2A	6/12/16 1					
A2	Chondroitin Sulfate C		0.257		WT	PM2A	6/12/16 1					
A3	a-Cyclodextrin		0.411		WT	PM2A	6/12/16 1					
A4	b-Cyclodextrin		0.407		WT	PM2A	6/12/16 1					
A5	g-Cyclodextrin		0.349		WT	PM2A	6/12/16 1					
A6	Dextrin		0.103		WT	PM2A	6/12/16 1					
A7	Gelatin		0.197		WT	PM2A	6/12/16 1					
A8	Glycogen		0.136		WT	PM2A	6/12/16 1					
A9	Inulin		0.304		WT	PM2A	6/12/16 1					
A10	Laminarin		0.221		WT	PM2A	6/12/16 1					
A11	Mannan		0.109		WT	PM2A	6/12/16 1					
A12	Pectin		0.208		WT	PM2A	6/12/16 1					
B1	N-Acetyl-D-Galactosamine		0.311		WT	PM2A	6/12/16 1					
B2	N-Acetyl-Neuraminic Acid		0.333		WT	PM2A	6/12/16 1					
B3	b-D-Allose		0.371		WT	PM2A	6/12/16 1					
B4	Amygdalin		0.2		WT	PM2A	6/12/16 1					
B5	D-Arabinose		0.383		WT	PM2A	6/12/16 1					
B6	D-Arabitol		0.405		WT	PM2A	6/12/16 1					
B7	L-Arabitol		0.335		WT	PM2A	6/12/16 1					
B8	Arbutin		0.272		WT	PM2A	6/12/16 1					
B9	2-Deoxy-D-Ribose		0.228		WT	PM2A	6/12/16 1					
B10	I-Erythritol		0.295		WT	PM2A	6/12/16 1					
B11	D-Fucose		0.323		WT	PM2A	6/12/16 1					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.177		WT	PM2A	6/12/16 1					
C1	Gentiobiose		0.306		WT	PM2A	6/12/16 1					
C2	L-Glucose		0.361		WT	PM2A	6/12/16 1					
C3	Lactitol		0.301		WT	PM2A	6/12/16 1					
C4	D-Melezitose		0.35		WT	PM2A	6/12/16 1					
C5	Maltitol		0.214		WT	PM2A	6/12/16 1					
C6	a-Methyl-D-Glucoside		0.29		WT	PM2A	6/12/16 1					
C7	b-Methyl-D-Gactoside		0.289		WT	PM2A	6/12/16 1					
C8	3-Methyl-Glucose		0.3		WT	PM2A	6/12/16 1					
C9	b-Methyl-D-Glucuronic Acid		0.273		WT	PM2A	6/12/16 1					
C10	a-Methyl-D-Mannoside		0.314		WT	PM2A	6/12/16 1					
C11	b-Methyl-D-Xyloside		0.321		WT	PM2A	6/12/16 1					
C12	Palatinose		0.351		WT	PM2A	6/12/16 1					
D1	D-Raffinose		0.279		WT	PM2A	6/12/16 1					
D2	Salicin		0.27		WT	PM2A	6/12/16 1					
D3	Sedoheptulosa		0.323		WT	PM2A	6/12/16 1					
D4	L-Sorbose		0.323		WT	PM2A	6/12/16 1					
D5	Stachyose		0.276		WT	PM2A	6/12/16 1					
D6	D-Tagatose		0.35		WT	PM2A	6/12/16 1					
D7	Turanose		0.269		WT	PM2A	6/12/16 1					
D8	Xylitol		0.277		WT	PM2A	6/12/16 1					
D9	N-Acetyl-D-Glucosaminatol		0.242		WT	PM2A	6/12/16 1					
D10	g-Amino Butyric Acid		0.301		WT	PM2A	6/12/16 1					
D11	d-Amino Valeric Acid		0.289		WT	PM2A	6/12/16 1					
D12	Butyric Acid		0.279		WT	PM2A	6/12/16 1					
E1	Capric Acid		0.212		WT	PM2A	6/12/16 1					
E2	Caproic Acid		0.224		WT	PM2A	6/12/16 1					
E3	Citraconic Acid		0.333		WT	PM2A	6/12/16 1					
E4	Citramalic Acid		0.434		WT	PM2A	6/12/16 1					
E5	D-Glucosamine		0.263		WT	PM2A	6/12/16 1					
E6	2-Hydroxy Benzoic Acid		0.777		WT	PM2A	6/12/16 1					
E7	4-Hydroxy Benzoic Acid		0.232		WT	PM2A	6/12/16 1					
E8	b-Hydroxy Butyric Acid		0.31		WT	PM2A	6/12/16 1					
E9	g-Hydroxy Butyric Acid		0.309		WT	PM2A	6/12/16 1					
E10	a-Keto Valeric Acid		0.446		WT	PM2A	6/12/16 1					
E11	Itaconic Acid		0.415		WT	PM2A	6/12/16 1					
E12	5-Keto-D-Gluconic Acid		0.307		WT	PM2A	6/12/16 1					
F1	D-Lactic Acid Methyl Ester		0.294		WT	PM2A	6/12/16 1					
F2	Malonic Acid		0.353		WT	PM2A	6/12/16 1					
F3	Melibionic Acid		0.296		WT	PM2A	6/12/16 1					
F4	Oxalic Acid		0.301		WT	PM2A	6/12/16 1					
F5	Oxalomalic Acid		0.342		WT	PM2A	6/12/16 1					
F6	Quinic Acid		0.357		WT	PM2A	6/12/16 1					
F7	"D-Ribono-1,4-Lactone"		0.279		WT	PM2A	6/12/16 1					
F8	Sebacic Acid		0.28		WT	PM2A	6/12/16 1					
F9	Sorbic Acid		0.287		WT	PM2A	6/12/16 1					
F10	Succinamic Acid		0.23		WT	PM2A	6/12/16 1					
F11	D-Tartaric Acid		0.396		WT	PM2A	6/12/16 1					
F12	L-Tartaric Acid		0.323		WT	PM2A	6/12/16 1					
G1	Acetamide		0.287		WT	PM2A	6/12/16 1					
G2	L-Alaninamide		0.335		WT	PM2A	6/12/16 1					
G3	N-Acetyl-L-Glutamic Acid		0.343		WT	PM2A	6/12/16 1					
G4	L-Arginine		0.435		WT	PM2A	6/12/16 1					
G5	Glycine		0.346		WT	PM2A	6/12/16 1					
G6	L-Histidine		0.35		WT	PM2A	6/12/16 1					
G7	L-Homoserine		0.104		WT	PM2A	6/12/16 1					
G8	Hydroxy-L-Proline		0.457		WT	PM2A	6/12/16 1					
G9	L-Isoleucine		0.517		WT	PM2A	6/12/16 1					
G10	L-Leucine		0.358		WT	PM2A	6/12/16 1					
G11	L-Lysine		0.294		WT	PM2A	6/12/16 1					
G12	L-Methionine		0.326		WT	PM2A	6/12/16 1					
H1	L-Ornithine		0.45		WT	PM2A	6/12/16 1					
H2	Phenylalanine		0.303		WT	PM2A	6/12/16 1					
H3	L-Pyroglutamic Acid		0.384		WT	PM2A	6/12/16 1					
H4	L-Valine		0.364		WT	PM2A	6/12/16 1					
H5	"D,L-Carnitine"		0.313		WT	PM2A	6/12/16 1					
H6	Sec-Butylamine		0.41		WT	PM2A	6/12/16 1					
H7	"D,L-Octopamine"		0.321		WT	PM2A	6/12/16 1					
H8	Putrescine		0.382		WT	PM2A	6/12/16 1					
H9	Dihydroxy Acetone		0.268		WT	PM2A	6/12/16 1					
H10	"2,3-Butanediol"		0.312		WT	PM2A	6/12/16 1					
H11	"2,3-Butanone"		0.199		WT	PM2A	6/12/16 1					
H12	3-Hydroxy 2-Butanone		0.297		WT	PM2A	6/12/16 1					
A1	Negative Control		0.271		WT	PM1	6/12/16 2					
A2	L-Arabinose		0.406		WT	PM1	6/12/16 2					
A3	N-Acetyl-D-Glucosamine		0.247		WT	PM1	6/12/16 2					
A4	D-Saccharic Acid		0.43		WT	PM1	6/12/16 2					
A5	Succinic Acid		0.343		WT	PM1	6/12/16 2					
A6	D-Galactose		0.358		WT	PM1	6/12/16 2					
A7	L-Aspartic Acid		0.451		WT	PM1	6/12/16 2					
A8	L-Proline		0.303		WT	PM1	6/12/16 2					
A9	D-Alanine		0.328		WT	PM1	6/12/16 2					
A10	D-Trehalose		0.261		WT	PM1	6/12/16 2					
A11	D-Mannose		0.388		WT	PM1	6/12/16 2					
A12	Dulcitol		0.28		WT	PM1	6/12/16 2					
B1	D-Serine		0.244		WT	PM1	6/12/16 2					
B2	D-Sorbitol		0.275		WT	PM1	6/12/16 2					
B3	Glycerol		0.259		WT	PM1	6/12/16 2					
B4	L-Fucose		0.275		WT	PM1	6/12/16 2					
B5	D-Glucuronic Acid		0.279		WT	PM1	6/12/16 2					
B6	D-Gluconic Acid		0.487		WT	PM1	6/12/16 2					
B7	"D,L-a-Glycerol-Phosphate"		0.255		WT	PM1	6/12/16 2					
B8	D-Xylose		0.386		WT	PM1	6/12/16 2					
B9	L-Lactic Acid		0.286		WT	PM1	6/12/16 2					
B10	Formic Acid		0.319		WT	PM1	6/12/16 2					
B11	D-Mannitol		0.401		WT	PM1	6/12/16 2					
B12	L-Glutamic Acid		0.355		WT	PM1	6/12/16 2					
C1	D-Glucose-6-Phosphate		0.289		WT	PM1	6/12/16 2					
C2	D-Galactonic Acid-g-Lactone		0.333		WT	PM1	6/12/16 2					
C3	"D,L-Malic Acid"		0.325		WT	PM1	6/12/16 2					
C4	D-Ribose		0.296		WT	PM1	6/12/16 2					
C5	Tween 20		0.013		WT	PM1	6/12/16 2					
C6	L-Rhamnose		0.258		WT	PM1	6/12/16 2					
C7	D-Fructose		0.273		WT	PM1	6/12/16 2					
C8	Acetic Acid		0.295		WT	PM1	6/12/16 2					
C9	a-D-Glucose		0.377		WT	PM1	6/12/16 2					
C10	Maltose		0.267		WT	PM1	6/12/16 2					
C11	D-Melibiose		0.266		WT	PM1	6/12/16 2					
C12	Thymidine		0.275		WT	PM1	6/12/16 2					
D1	L-Asparagine		0.326		WT	PM1	6/12/16 2					
D2	D-Aspartic Acid		0.295		WT	PM1	6/12/16 2					
D3	D-Glucosaminic Acid		0.339		WT	PM1	6/12/16 2					
D4	"1,2-Propanediol"		0.19		WT	PM1	6/12/16 2					
D5	Tween 40		0.025		WT	PM1	6/12/16 2					
D6	a-Keto-Glutaric Acid		0.338		WT	PM1	6/12/16 2					
D7	a-Keto-Butyric Acid		0.416		WT	PM1	6/12/16 2					
D8	a-Methyl-D-Galactoside		0.238		WT	PM1	6/12/16 2					
D9	a-D-Lactose		0.235		WT	PM1	6/12/16 2					
D10	Lactulose		0.253		WT	PM1	6/12/16 2					
D11	Sucrose		0.271		WT	PM1	6/12/16 2					
D12	Uridine		0.229		WT	PM1	6/12/16 2					
E1	L-Glutamine		0.316		WT	PM1	6/12/16 2					
E2	M-Tartaric Acid		0.41		WT	PM1	6/12/16 2					
E3	D-Glucose-1-Phosphate		0.257		WT	PM1	6/12/16 2					
E4	D-Fructose-6-Phosphate		0.252		WT	PM1	6/12/16 2					
E5	Tween 80		0.011		WT	PM1	6/12/16 2					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.299		WT	PM1	6/12/16 2					
E7	a-Hydroxy Butyric Acid		0.428		WT	PM1	6/12/16 2					
E8	b-Methyl-D-Glucoside		0.256		WT	PM1	6/12/16 2					
E9	Adonitol		0.286		WT	PM1	6/12/16 2					
E10	Maltotriose		0.261		WT	PM1	6/12/16 2					
E11	2-Deoxy Adenosine		0.229		WT	PM1	6/12/16 2					
E12	Adenosine		0.213		WT	PM1	6/12/16 2					
F1	Glycil-L-Aspartic Acid		0.257		WT	PM1	6/12/16 2					
F2	Citric Acid		0.369		WT	PM1	6/12/16 2					
F3	M-Inositol		0.288		WT	PM1	6/12/16 2					
F4	D-Threonine		0.262		WT	PM1	6/12/16 2					
F5	Fumaric Acid		0.296		WT	PM1	6/12/16 2					
F6	Bromo Succinic Acid		0.366		WT	PM1	6/12/16 2					
F7	Propionic Acid		0.412		WT	PM1	6/12/16 2					
F8	Mucic Acid		0.292		WT	PM1	6/12/16 2					
F9	Glycolic Acid		0.301		WT	PM1	6/12/16 2					
F10	Glyoxylic Acid		0.335		WT	PM1	6/12/16 2					
F11	D-Cellobiose		0.288		WT	PM1	6/12/16 2					
F12	Inosine		0.246		WT	PM1	6/12/16 2					
G1	Glycil-L-Glutamic Acid		0.284		WT	PM1	6/12/16 2					
G2	Tricarballylic Acid		0.276		WT	PM1	6/12/16 2					
G3	L-Serine		0.402		WT	PM1	6/12/16 2					
G4	L-Threonine		0.372		WT	PM1	6/12/16 2					
G5	L-Alanine		0.322		WT	PM1	6/12/16 2					
G6	L-Alanyl-Glycine		0.299		WT	PM1	6/12/16 2					
G7	Acetoacetic Acid		0.285		WT	PM1	6/12/16 2					
G8	N-Acetyl-b-D-Mannosamine		0.266		WT	PM1	6/12/16 2					
G9	Mono Methyl Succinate		0.294		WT	PM1	6/12/16 2					
G10	Methyl Pyruvate		0.293		WT	PM1	6/12/16 2					
G11	D-Malic Acid		0.344		WT	PM1	6/12/16 2					
G12	L-Malic Acid		0.314		WT	PM1	6/12/16 2					
H1	Glycil-L-Proline		0.233		WT	PM1	6/12/16 2					
H2	p-Hydroxy Phenyl Acetic Acid		0.221		WT	PM1	6/12/16 2					
H3	m-Hydroxy Phenyl Acetic Acid		0.244		WT	PM1	6/12/16 2					
H4	Tyramine		0.364		WT	PM1	6/12/16 2					
H5	D-Psicose		0.308		WT	PM1	6/12/16 2					
H6	L-Lyxose		0.353		WT	PM1	6/12/16 2					
H7	Glucuronamide		0.257		WT	PM1	6/12/16 2					
H8	Pyruvic Acid		0.32		WT	PM1	6/12/16 2					
H9	L-Galactonic Acid-g-Lactone		0.314		WT	PM1	6/12/16 2					
H10	D-Galacturonic Acid		0.328		WT	PM1	6/12/16 2					
H11	Phenylethyl-amine		0.432		WT	PM1	6/12/16 2					
H12	2-Aminoethanol		0.342		WT	PM1	6/12/16 2					
A1	Negative Control		0.306		WT	PM2A	6/12/16 2					
A2	Chondroitin Sulfate C		0.27		WT	PM2A	6/12/16 2					
A3	a-Cyclodextrin		0.436		WT	PM2A	6/12/16 2					
A4	b-Cyclodextrin		0.395		WT	PM2A	6/12/16 2					
A5	g-Cyclodextrin		0.288		WT	PM2A	6/12/16 2					
A6	Dextrin		0.119		WT	PM2A	6/12/16 2					
A7	Gelatin		0.251		WT	PM2A	6/12/16 2					
A8	Glycogen		0.178		WT	PM2A	6/12/16 2					
A9	Inulin		0.308		WT	PM2A	6/12/16 2					
A10	Laminarin		0.262		WT	PM2A	6/12/16 2					
A11	Mannan		0.12		WT	PM2A	6/12/16 2					
A12	Pectin		0.263		WT	PM2A	6/12/16 2					
B1	N-Acetyl-D-Galactosamine		0.341		WT	PM2A	6/12/16 2					
B2	N-Acetyl-Neuraminic Acid		0.356		WT	PM2A	6/12/16 2					
B3	b-D-Allose		0.43		WT	PM2A	6/12/16 2					
B4	Amygdalin		0.234		WT	PM2A	6/12/16 2					
B5	D-Arabinose		0.351		WT	PM2A	6/12/16 2					
B6	D-Arabitol		0.398		WT	PM2A	6/12/16 2					
B7	L-Arabitol		0.345		WT	PM2A	6/12/16 2					
B8	Arbutin		0.344		WT	PM2A	6/12/16 2					
B9	2-Deoxy-D-Ribose		0.273		WT	PM2A	6/12/16 2					
B10	I-Erythritol		0.32		WT	PM2A	6/12/16 2					
B11	D-Fucose		0.393		WT	PM2A	6/12/16 2					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.299		WT	PM2A	6/12/16 2					
C1	Gentiobiose		0.33		WT	PM2A	6/12/16 2					
C2	L-Glucose		0.376		WT	PM2A	6/12/16 2					
C3	Lactitol		0.321		WT	PM2A	6/12/16 2					
C4	D-Melezitose		0.326		WT	PM2A	6/12/16 2					
C5	Maltitol		0.302		WT	PM2A	6/12/16 2					
C6	a-Methyl-D-Glucoside		0.289		WT	PM2A	6/12/16 2					
C7	b-Methyl-D-Gactoside		0.324		WT	PM2A	6/12/16 2					
C8	3-Methyl-Glucose		0.353		WT	PM2A	6/12/16 2					
C9	b-Methyl-D-Glucuronic Acid		0.327		WT	PM2A	6/12/16 2					
C10	a-Methyl-D-Mannoside		0.327		WT	PM2A	6/12/16 2					
C11	b-Methyl-D-Xyloside		0.342		WT	PM2A	6/12/16 2					
C12	Palatinose		0.331		WT	PM2A	6/12/16 2					
D1	D-Raffinose		0.307		WT	PM2A	6/12/16 2					
D2	Salicin		0.295		WT	PM2A	6/12/16 2					
D3	Sedoheptulosa		0.319		WT	PM2A	6/12/16 2					
D4	L-Sorbose		0.321		WT	PM2A	6/12/16 2					
D5	Stachyose		0.27		WT	PM2A	6/12/16 2					
D6	D-Tagatose		0.383		WT	PM2A	6/12/16 2					
D7	Turanose		0.273		WT	PM2A	6/12/16 2					
D8	Xylitol		0.302		WT	PM2A	6/12/16 2					
D9	N-Acetyl-D-Glucosaminatol		0.355		WT	PM2A	6/12/16 2					
D10	g-Amino Butyric Acid		0.304		WT	PM2A	6/12/16 2					
D11	d-Amino Valeric Acid		0.318		WT	PM2A	6/12/16 2					
D12	Butyric Acid		0.389		WT	PM2A	6/12/16 2					
E1	Capric Acid		0.336		WT	PM2A	6/12/16 2					
E2	Caproic Acid		0.293		WT	PM2A	6/12/16 2					
E3	Citraconic Acid		0.434		WT	PM2A	6/12/16 2					
E4	Citramalic Acid		0.408		WT	PM2A	6/12/16 2					
E5	D-Glucosamine		0.278		WT	PM2A	6/12/16 2					
E6	2-Hydroxy Benzoic Acid		0.338		WT	PM2A	6/12/16 2					
E7	4-Hydroxy Benzoic Acid		0.302		WT	PM2A	6/12/16 2					
E8	b-Hydroxy Butyric Acid		0.326		WT	PM2A	6/12/16 2					
E9	g-Hydroxy Butyric Acid		0.366		WT	PM2A	6/12/16 2					
E10	a-Keto Valeric Acid		0.42		WT	PM2A	6/12/16 2					
E11	Itaconic Acid		0.46		WT	PM2A	6/12/16 2					
E12	5-Keto-D-Gluconic Acid		0.331		WT	PM2A	6/12/16 2					
F1	D-Lactic Acid Methyl Ester		0.339		WT	PM2A	6/12/16 2					
F2	Malonic Acid		0.371		WT	PM2A	6/12/16 2					
F3	Melibionic Acid		0.34		WT	PM2A	6/12/16 2					
F4	Oxalic Acid		0.293		WT	PM2A	6/12/16 2					
F5	Oxalomalic Acid		0.348		WT	PM2A	6/12/16 2					
F6	Quinic Acid		0.393		WT	PM2A	6/12/16 2					
F7	"D-Ribono-1,4-Lactone"		0.302		WT	PM2A	6/12/16 2					
F8	Sebacic Acid		0.312		WT	PM2A	6/12/16 2					
F9	Sorbic Acid		0.293		WT	PM2A	6/12/16 2					
F10	Succinamic Acid		0.294		WT	PM2A	6/12/16 2					
F11	D-Tartaric Acid		0.429		WT	PM2A	6/12/16 2					
F12	L-Tartaric Acid		0.373		WT	PM2A	6/12/16 2					
G1	Acetamide		0.359		WT	PM2A	6/12/16 2					
G2	L-Alaninamide		0.321		WT	PM2A	6/12/16 2					
G3	N-Acetyl-L-Glutamic Acid		0.322		WT	PM2A	6/12/16 2					
G4	L-Arginine		0.449		WT	PM2A	6/12/16 2					
G5	Glycine		0.327		WT	PM2A	6/12/16 2					
G6	L-Histidine		0.382		WT	PM2A	6/12/16 2					
G7	L-Homoserine		0.103		WT	PM2A	6/12/16 2					
G8	Hydroxy-L-Proline		0.398		WT	PM2A	6/12/16 2					
G9	L-Isoleucine		0.492		WT	PM2A	6/12/16 2					
G10	L-Leucine		0.389		WT	PM2A	6/12/16 2					
G11	L-Lysine		0.4		WT	PM2A	6/12/16 2					
G12	L-Methionine		0.361		WT	PM2A	6/12/16 2					
H1	L-Ornithine		0.447		WT	PM2A	6/12/16 2					
H2	Phenylalanine		0.284		WT	PM2A	6/12/16 2					
H3	L-Pyroglutamic Acid		0.359		WT	PM2A	6/12/16 2					
H4	L-Valine		0.379		WT	PM2A	6/12/16 2					
H5	"D,L-Carnitine"		0.33		WT	PM2A	6/12/16 2					
H6	Sec-Butylamine		0.421		WT	PM2A	6/12/16 2					
H7	"D,L-Octopamine"		0.329		WT	PM2A	6/12/16 2					
H8	Putrescine		0.404		WT	PM2A	6/12/16 2					
H9	Dihydroxy Acetone		0.3		WT	PM2A	6/12/16 2					
H10	"2,3-Butanediol"		0.345		WT	PM2A	6/12/16 2					
H11	"2,3-Butanone"		0.203		WT	PM2A	6/12/16 2					
H12	3-Hydroxy 2-Butanone		0.348		WT	PM2A	6/12/16 2					
